source_page,extracted_table_index,column_1,column_2,column_3,column_4
3,1,107,Concretions removal,115,132
3,1,108,Bucket handle procedure for lid tumors,345,397
3,1,109,Cheek rotation flap for lid tumors,6210,7142
3,1,110,Orbitotomy,7245,8332
3,1,111,Enucleation,3000,3450
3,1,112,Enucleation with orbital implants and artificial prosthesis,3000,3450
3,1,113,Evisceration,3450,3968
3,1,114,Evisceration with orbital implants and artificial prosthesis,5124,5892
3,1,115,Telecanthus correction,4658,5356
3,1,116,Orbital decompression,5175,5952
3,1,117,Exenteration,5175,5952
3,1,118,Exenteration with skin grafting,6210,7142
3,1,119,Fracture orbital repair,8280,9522
4,1,120,Retinal laser procedures,1350,1553
4,1,121,Retinal detachment surgery (RDS),11500,13225
4,1,122,Retinal detachment surgery (RDS) with scleral buckling,13800,15870
4,1,123,Buckle removal,1150,1323
4,1,124,Silicone oil removal,2800,3220
4,1,125,Anterior retinal cryopexy,1162,1336
4,1,126,Squint correction for one eye,5000,5750
4,1,127,Squint correction for both eyes,6750,7763
4,1,128,Trabeculectomy,6750,7763
4,1,129,Trabeculotomy,6750,7763
4,1,130,Trabeculectomy with Trabeculotomy,9315,10713
4,1,131,Trephination,2300,2645
4,1,132,Goniotomy,345,397
4,1,133,Glaucoma surgery with Glaucoma valves,6750,7763
4,1,134,Cyclocryotherapy,1150,1323
4,1,135,YAG laser iridotomy,1350,1553
4,1,136,YAG laser capsulotomy,984,1131
4,1,137,ALT-Argon laser trabeculoplasty,1346,1547
4,1,138,PDT-Photodymic therapy,3450,3968
4,1,139,TTT- Transpupillary thermal therapy,3000,3450
4,1,140,PTK- Phototherapeutic keratectomy,6750,7763
4,1,141,Argon/diode laser for retinal detatchment,1150,1323
4,1,142,Intralase application for keratoconus,5175,5952
4,1,143,EOG- electro-oculogram,810,932
4,1,144,ERG- Electro-retinogram,794,913
4,1,145,VEP- visually evoked potential,720,828
4,1,146,Vitrectomy- pars plana,11500,13225
4,1,147,Intravitreal injections- of antibiotics,1150,1323
4,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,3000,3450
4,1,149,X Ray orbit,115,132
4,1,150,CT orbit and brain,1600,1840
4,1,151,MRI- Orbit and brain,3450,3968
4,1,152,Dacryocystography,340,391
4,1,153,Orbital angio-graphical studies,1500,1725
4,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
4,1,155,Small Incision Cataract Surgery (SICS) with IOL,5000,5750
4,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,10781,12398
4,1,157,Pars plana lensectomy with/without IOL,9315,10713
4,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6210,7142
4,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),12150,13973
4,1,160,Optic nerve sheathotomy,7500,8625
4,1,161,Iridodialysis repair or papillary reconstruction,5000,5750
5,1,162,Iris cyst removal,850,978
5,1,163,Lid Abscess incision and Drainage,1700,1955
5,1,164,Orbital Abscess incision and Drainage,3000,3450
5,1,165,Biopsy,460,529
5,1,166,Paracentesis,230,265
5,1,167,Scleral graft for scleral melting or perforation,2800,3220
5,1,168,Amniotic membrane grafting,1100,1265
5,1,169,Cyclodiathermy,2300,2645
5,1,170,Intraocular foreign body removal,187,215
5,1,171,Electrolysis,230,265
5,1,172,Perforating injury repair,4500,5175
5,1,173,Botulinum injection for blepharospasm or squint,2500,2875
5,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
5,1,174,Flap Operation per quadrant,360,414
5,1,175,Gingivectomy per quadrant,234,269
5,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900,1035
5,1,177,Reduction & immobilization of fracture-Mandible Under LA,3500,4025
5,1,178,Splints/Circummandibular wiring under LA,510,587
5,1,179,splints/Circummandibular wiring under GA,990,1139
5,1,180,Internal wire fixation/plate fixation of Maxilla under LA,3000,3450
5,1,181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
5,1,182,Internal wire fixation/plate fixation of Mandible under LA,3500,4025
5,1,183,Internal wire fixation/plate fixation of Mandible under GA,4250,4888
5,1,184,Extraction per tooth under LA,80,92
5,1,185,Complicated Extraction per Tooth under LA,100,115
5,1,186,Extraction of impacted tooth under LA,160,184
5,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,939,1080
5,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281
5,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,406,467
5,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,1000,1150
5,1,191,TM joint ankylosis- under GA,7500,8625
5,1,192,Biopsy Intraoral-Soft tissue,374,430
5,1,193,Biopsy Intraoral-Bone,374,430
5,1,194,Hemi-mandibulectomy with graft,21000,24150
5,1,195,Hemi-mandibulectomy without graft,21000,24150
5,1,196,Segmental-mandibulectomy with graft,3400,3910
5,1,197,Segmental-mandibulectomy without graft,990,1139
5,1,198,Maxillectomy- Total with graft,2500,2875
5,1,199,Maxillectomy- Total without graft,1950,2243
5,1,200,Maxillectomy- partial with graft,3000,3450
6,1,201,Maxillectomy- partial without graft,2500,2875
6,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
6,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
6,1,204,Pre-prosthetic surgery - ridge augmentation,1200,1380
6,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
6,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
6,1,207,Apicoectomy- Single root,500,575
6,1,208,Apicoectomy-Multiple roots,650,748
6,1,209,Metal Crown-per unit,500,575
6,1,210,Metal Crown with Acrylic facing per unit,700,805
6,1,211,Complete single denture-metal based,1500,1725
6,1,212,Complete denture- acrylic based per arch,950,1093
6,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
6,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
6,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
6,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
6,1,217,Amalgam restoration-per tooth,200,230
6,1,218,Composite Restoration-per tooth-anterior tooth,250,288
6,1,219,Glass Ionomer filling-per tooth,200,230
6,1,220,Scaling & polishing,300,345
6,1,221,Removable Orthodontics appliance- per Arch,700,805
6,1,222,Fixed Orthodontics-per Arch,1150,1323
6,1,223,Space maintainers-Fixed,500,575
6,1,224,Habit breaking appliances-removable,800,920
6,1,225,Habit breaking appliances-Fixed,1500,1725
6,1,226,Expansion plate,1000,1150
6,1,227,Feeding appliance for cleft palate,1500,1725
6,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3500,4025
6,1,229,Functional orthodontic appliances,3000,3450
6,1,230,Obturator (Maxillo-facial),1500,1725
6,1,231,Occlusal night guard(splint),800,920
6,1,,TREATMENT PROCEDURE ENT,,
6,1,232,Pure Tone Audiogram,172,198
6,1,233,Impedence with stepedeal reflex,230,265
6,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152
6,1,235,Multiple hearing assessment test to Adults,115,132
6,1,236,Speech Discrimination Score,90,103
6,1,237,Speech Assessment,120,138
6,1,238,Speech therapy per session of 30-40 minutes,131,151
6,1,239,Cold Calorie Test for Vestibular function,172,198
6,1,240,Removal of foreign body From Nose,345,397
6,1,241,Removal of foreign body From Ear,230,265
7,1,242,Syringing (Ear),166,191
7,1,243,Polyp removal under LA,518,595
7,1,244,Polyp removal under GA,850,978
7,1,245,Peritonsillar abscess Drainage under LA,1449,1666
7,1,246,Myringoplasty,6900,7935
7,1,247,Staepedectomy,9200,10580
7,1,248,Myringotomy with Grommet insertion,4600,5290
7,1,249,Tympanotomy,7763,8927
7,1,250,Tympanoplasty,13000,14950
7,1,251,Mastoidectomy,14950,17193
7,1,252,Otoplasty,16100,18515
7,1,253,Labyrinthectomy,13800,15870
7,1,254,Skull Base surgery,25000,28750
7,1,255,Facial Nerve Decompression,17250,19838
7,1,256,Septoplasty,5750,6613
7,1,257,Submucous Resection,7314,8411
7,1,258,Septo-rhinoplasty,16100,18515
7,1,259,Rhinoplasty- Non-cosmetic,11500,13225
7,1,260,Fracture Reduction of Nasal Bone,4250,5000
7,1,261,Intra nasal Diathermy,1150,1323
7,1,262,Turbinectomy,5750,6613
7,1,263,Endoscopic Dacryocystorhinostomy (DCR),13000,14950
7,1,264,Endoscopic Surgery,13800,15870
7,1,265,Septal Perforation Repair,13800,15870
7,1,266,Antrum Puncture,950,1093
7,1,267,Lateral Rhinotomy,1000,1150
7,1,268,Cranio-facial resection,25500,29325
7,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626,12220
7,1,270,Angiofibroma Excision,17000,19550
7,1,271,Endoscopic Hypophysectomy,21500,24725
7,1,272,Endoscopic Optic Nerve Decompression,32775,37691
7,1,273,Decompression of Orbit,25500,29325
7,1,274,Punch/Wedge biopsy,674,775
7,1,275,Tonsillectomy,5000,5750
7,1,276,Uvulo-palatoplasty,15000,17250
7,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
7,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
7,1,279,Polyp removal ear,748,860
7,1,280,Polyp removal Nose(Septal polyp),748,860
7,1,281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)""",2415,2777
8,1,282,Endolymphatic sac decompression,2875,3306
8,1,283,Diagnostic endoscopy under GA,2300,2645
8,1,284,Young's operation for Atrophic rhinitis,6900,7935
8,1,285,Vidian neurectomy for vasomotor Rhinitis,10350,11903
8,1,286,Nasal Packing-anterior,345,397
8,1,287,Nasal Packing-posterior,805,926
8,1,288,Ranula Excision,6843,7869
8,1,289,Tongue Tie excision,1500,1725
8,1,290,Sub Mandibular Duct Lithotomy,269,309
8,1,291,Adenoidectomy,5640,6486
8,1,292,Palatopharyngoplasty,8165,9390
8,1,293,Pharyngoplasty,17193,19772
8,1,294,Styloidectomy,9200,10580
8,1,295,Direct laryngoscopy including Biopsy under GA,5000,5750
8,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
