source_page,extracted_table_index,column_1,column_2,column_3,column_4
1,1,34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
1,1,35,Removal of corneal foreign body,104,120
1,1,36,Cauterization of ulcer/subconjunctival injection in one eye,69,79
1,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,124,143
1,1,38,Corneal grafting—Penetrating keratoplasty,5175,5951
1,1,39,Corneal grafting—Lamellar keratoplasty,5000,5750
1,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,621,714
1,1,41,Bandage contact lenses for corneal perforation,414,476
1,1,42,Scleral grafting or conjunctival flap for corneal perforation,2070,2381
1,1,43,Keratoconus correction with therapeutic contact lenses,1200,1380
1,1,44,Ultraviolet (UV) - radiation for cross-linking for keratoconus,1800,2070
2,1,45,EDTA for band shaped keratopathy,777,894
2,1,46,Arcuate keratotomy for astigmatism,2520,2898
2,1,47,Re-suturing (Primary suturing) of corneal wound,1035,1190
2,1,48,Penetrating keratoplasty with glaucoma surgery,12144,13966
2,1,49,Penetrating keratoplasty --- with vitrectomy,10930,12570
2,1,50,Penetrating keratoplasty with IOL implantation,12290,14134
2,1,51,DALK- Deep anterior lamellar keratoplasty,15525,17854
2,1,52,Keratoprosthesis stage I and II,10350,11903
2,1,53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,16675,19176
2,1,54,ALTK- Automated lamellar therapeutic keratoplasty,14850,17078
2,1,55,Probing and Syringing of lacrimal sac- in one eye,62,71
2,1,56,Probing and Syringing of lacrimal sac- in both eye,124,143
2,1,57,Dacryocystorhinostomy—Plain,2588,2976
2,1,58,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,8775,10091
2,1,59,Dacryocystorhinostomy—conjunctival with implant,8500,9775
2,1,60,Caliculoplasty,2070,2381
2,1,61,Dacryocystectomy,1725,1984
2,1,62,Punctal plugs for dry eyes,130,150
2,1,63,Refraction,36,41
2,1,64,Indirect Ophthalmoscopy,60,69
2,1,65,Orthoptic check-up- with synoptophore,40,46
2,1,66,Lees’ charting or Hess’ charting,100,115
2,1,67,Orthoptic exercises,50,58
2,1,68,Pleoptic exercises,50,58
2,1,69,Perimetry/field test—Goldman,130,150
2,1,70,Perimetry/field test— automated,130,150
2,1,71,Fluorescein angiography for fundus or iris,828,952
2,1,72,Ultrasound A- Scan,777,894
2,1,73,Ultrasound B- Scan,230,265
2,1,74,Fundus Photo Test,200,230
2,1,75,Indocyanin green angiography,828,952
2,1,76,Corneal endothelial cell count with specular microscopy,207,238
2,1,77,Corneal topography,298,343
2,1,78,Corneal pachymetry,207,238
2,1,79,Auto-refraction,32,37
2,1,80,Macular function tests,44,51
2,1,81,Potential acuity metry,100,115
2,1,82,Laser interferometry,173,199
2,1,83,OCT-Optical coherence tomography,1913,2200
2,1,84,HRT- Heidelberg’s retinal tomogram,150,173
2,1,85,GDx Nerve fibre layer analyzer,88,101
2,1,86,UBM- Ultrasound bio microscopy,150,173
2,1,87,Non Contact tonometry (NCT),50,58
2,1,88,IOP measurement with schiotz,30,35
2,1,89,IOP measurement with applation tonometry,50,58
2,1,90,Three mirror examination for retina,52,60
2,1,91,90 D lens examination,50,58
2,1,92,Gonioscopy,50,58
2,1,93,Chalazion incision and curettage in one eye,360,414
2,1,94,Chalazion incision and curettage in both eyes,388,446
2,1,95,Ptosis surgery with fasanella servat procedure,2300,2645
