Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,,ICD CODE,SURGERY CODE,SYSTEM,PREAUTH EVIDENCE,CLAIM EVIDENCE,PACKAGE AMOUNT
,S1.1 HEAD and NECK,29.2,S1.1.1.1,Excision of Branchial Cyst,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, X-ray","Routine Histopathological Examination, Scar Photo",25000
,S1.1 HEAD and NECK,77.91,S1.1.1.10,Excision of Cervical Rib,Color Doppler Sonography Single Study / X-Ray Thoracic inlet- AP view,Color Doppler Sonography Single Study / X-Ray Dorso Lumbar Spine,43200
,S1.1 HEAD and NECK,26.30.3,S1.1.1.11,Removal Of Submandibular Salivary Gland,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",36300
,S1.1 HEAD and NECK,26.4,S1.1.1.12,Parotid Duct Repair,Silography,"Silography, Intra OP photo",35000
,S1.1 HEAD and NECK,29.52.1,S1.1.1.2,Excision of Branchial Sinus,"X-ray, Clinical Photograph with IV canula in situ","Routine Histopathological Examination, Clinical Photograph",25000
,S1.1 HEAD and NECK,39.8.1,S1.1.1.3,Excision of Carotid Body Tumours,ACT Angiography Neck (Cartotid Angiography)/ MRI Neck/Colour Doppler Study Of Neck Vessels,"Colour Doppler Study Of Neck Vessels, Routine Histopathological Examination",45000
,S1.1 HEAD and NECK,40.29.1,S1.1.1.4,Excision of Cystic Hygroma -Extensive,"Fine Needle Aspiration Cytology (FNAC)//USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,28000
,S1.1 HEAD and NECK,40.29.2,S1.1.1.5,Excision of Cystic Hygroma -Major,"Fine Needle Aspiration Cytology (FNAC)/USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,32000
,S1.1 HEAD and NECK,40.29.3,S1.1.1.6,Cystic Hygroma Excision-Minor,"Fine Needle Aspiration Cytology (FNAC)/USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,15000
,S1.1 HEAD and NECK,06.6,S1.1.1.7,Excision of Lingual Thyroid,"T3, T4, TSH,USG Neck / Thyroid Uptake Measurements With 131-Iodine, Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, Case sheet with clinical History",Routine Histopathological Examination,36000
,S1.1 HEAD and NECK,06.8.1,S1.1.1.8,Parathyroidectomy -Non Malignant,"USG Neck ,Serum Calcium Levels, P.T.H Assay (Parathyroid Assay), Fine Needle Aspiration Cytology (FNAC)","Routine Histopathological Examination, Scar Photo",58500
,S1.1 HEAD and NECK,06.7,S1.1.1.9,Excision of Thyroglossal Cyst Fistula,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, Fistulogram","Routine Histopathological Examination, Scar Photo",30000
,S1.1 HEAD and NECK,76.31.1,S1.1.2.1,Hemimandibulectomy,X-Ray Facial Bones,X-Ray Facial Bones/ Routine Histopathological Examination,42780
,S1.1 HEAD and NECK,76.31.4,S1.1.2.2,Segmental Mandible Excision,"X-Ray Facial Bones, Orthopantomography (OPG)",X-Ray Facial Bones/ Routine Histopathological Examination,34736
,S1.1 HEAD and NECK,25.2.1,S1.1.3.1,Partial Glossectomy,"Biopsy report, Clinical Photograph","Routine Histopathological Examination, Clinical Photograph",50000
,S1.1 HEAD and NECK,27.54.2,S1.1.4.1,ABBE Operation,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Clinical Photograph",20000
,S1.1 HEAD and NECK,27.43.2,S1.1.4.2,Vermilionectomy,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",21170
,S1.1 HEAD and NECK,27.42.2,S1.1.4.3,Wedge Excision of LipandVermilionectomy(27.43),"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",45000
,S1.1 HEAD and NECK,27.42.1,S1.1.4.4,Wedge Excision of Lip,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",30100
,S1.1 HEAD and NECK,06.2.1,S1.1.5.1,Hemithyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC),Clinical Photograph",Routine Histopathological Examination,32800
,S1.1 HEAD and NECK,06.39.1,S1.1.5.2,Isthmectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC),Clinical Photograph","Routine Histopathological Examination, Intra OP photo",25000
,S1.1 HEAD and NECK,06.39.2,S1.1.5.3,Partial Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",45000
,S1.1 HEAD and NECK,06.31.1,S1.1.5.4,Resection Enucleation - Thyroid,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC)","Routine Histopathological Examination, Scar Photo",25000
,S1.1 HEAD and NECK,06.31.2,S1.1.5.5,Subtotal Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",33000
,S1.1 HEAD and NECK,06.4.1,S1.1.5.6,Total Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",32900
,S1.10 Groin Hernia Repair,-,S1.10.1A,Inguinal - Open,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25000
,S1.10 Groin Hernia Repair,-,S1.10.2A,Inguinal - Lap.,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25000
,S1.10 Groin Hernia Repair,-,S1.10.3A,Femoral - Lap,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25400
,S1.10 Groin Hernia Repair,-,S1.10.4A,Obturator - Lap.,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",28600
,S1.11 Hernia - Ventral,-,S1.11A,Paraumbilical,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes +/- Invoice of Mesh used",31300
,S1.12 Excision of cyst / Sebaceous Cysts over scrotum,-,S1.12.1A,Single Cyst,Deailed Clinical notes,"Intra operative clinical photograph, Detailed Operative notes; detailed discharge summary.",3300
,S1.12 Excision of cyst / Sebaceous Cysts over scrotum,-,S1.12.2A,Multiple Cysts,Deailed Clinical notes,"Intra operative clinical photograph, Detailed Operative notes; detailed discharge summary.",7200
,S1.13 Excision Filarial Scrotum,-,S1.13A,Excision Filarial Scrotum,Clinical notes +/- USG report confirming the diagnosis,"Histopath, detailed Operative notes, Detailed discharge summary",10500
,S1.14 Operation for Hydrocele (U/L),-,S1.14A,Operation for Hydrocele (U/L),Clinical notes and +/- Scrotal USG confirming the diagnosis,"Histopath, Intra procedure clinical photograph, Detailed Operative notes and detailed discharge summary",16000
,S1.15 Epididymal Cyst / Nodule Excision,-,S1.15.1A,Epididymal Cyst exision,Clinical notes and USG report confirming the diagnosis,"Histopath, Intra operative clinical photograph, Detailed Operative notes, Detailed discharge summary",6600
,S1.15 Epididymal Cyst / Nodule Excision,-,S1.15.2A,Epididymal Nodule excision,Clinical notes and USG report confirming the diagnosis,"Histopath, Intra operative clinical photograph, Detailed Operative notes, Detailed discharge summary",6600
,S1.16 Vasovasostomy,-,S1.16A,Vasovasostomy,Clinical notes detailing need of surgery after vasectomy? Evidence of When and where was vasectomy done? Is the EHCP equipped for microsurgery?,"Detailed discharge summary, Detailed Operative notes. Since this is microsurgery evaluate time taken (2 hours+)",15000
,S1.17 Thymectomy,-,S1.17A,Thymectomy,"Clinical notes and Investigation report confirming the need for surgery (CT/MRI), Single-fiber electromyography in case of myasthenia gravis, Clinical photograph","Histopath, Post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary",72000
,S1.18 Excision Mammary Fistula,-,S1.18A,Excision Mammary Fistula,"Clinical notes and sonomammogram report confirming the diagnosis,","Histopath, Detailed Operative notes, Detailed discharge summary",15000
,S1.19 Rib Resection & Drainage,-,S1.19A,Rib Resection & Drainage,"Clinical notes and X Ray, CT/ MRI confirming the diagnosis for which the surgery is done, Clinical photograph","Pus C/S, Post procedure X Ray, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",25000
,S1.2 BREAST,85.41.1,S1.2.1,Simple Mastectomy (Non Malignant),"X- Ray Mammogram / USG Breast, Fine Needle Aspiration Cytology (FNAC)",Routine Histopathological Examination,31300
,S1.20 Incision & Drainage of Abscess,-,S1.20A,Incision & Drainage of Abscess,Clinical notes and USG report confirming large abscess.,"C/S report of Wound or Pus, Intra operative clinical photograph, Detailed Operative notes & detailed discharge summary.",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.1A,Lipoma Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.2A,Cyst Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.3A,Other cutaneous swellings Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.22 Debridement of Ulcer,-,S1.22A,Debridement of Ulcer,"Clinical notes and Clinical photograph of affected part, Evidence of confirmed diagnosis of Leprosy","Post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary",11400
,S1.23 Lymphatics Excision of Subcutaneous Tissues In Lymphoedema,-,S1.23A,Lymphatics Excision of Subcutaneous Tissues In Lymphoedema,"Clinical notes and detailing history, Clinical Photograph","Histopathology report, post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary.",18800
,S1.24 Necrotising fasciitis / Fournier Gangrene,-,S1.24A,Necrotising fasciitis / Fournier Gangrene,"Clinical notes detailing findings confirming the diagnosis, clinical photograph of affected part","Detailed discharge summary, Post Procedure clinical photgraph, detailed Procedure / Operative Notes.",16900
,S1.25 Circumcision,-,S1.25A,Circumcision - Phimosis / Paraphimosis or any other clinical condition,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; Clinical photograph,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports, post-operative photograph",12500
,S1.3 ABDOMEN,53.59.1,S1.3.1.1,Epigastric Hernia repair without Mesh,"USG Abdomen, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,30000
,S1.3 ABDOMEN,53.69.1,S1.3.1.2,Epigastric Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,110000
,S1.3 ABDOMEN,53.29.2,S1.3.1.3,Unilateral Femoral Hernia repair,"USG Abdomen, Clinical Photograph","USG Abdomen/CT Scan Abdomen With Contrast, Routine Histopathological Examination",40000
,S1.3 ABDOMEN,53.72,S1.3.1.4,Hiatus Hernia Repair - Abdominal,"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast,48000
,S1.3 ABDOMEN,53.9.1,S1.3.1.5,"Rare Hernias repair (Spigalion,Obuturator,Sciatic)","USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, ECHO Cardiogram, Clinical Photograph",USG Abdomen,55000
,S1.3 ABDOMEN,53.49.1,S1.3.1.6,Umbilical Hernia repair without Mesh,"USG Abdomen, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,30000
,S1.3 ABDOMEN,53.41,S1.3.1.7,Umbilical Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, Clinical Photograph","USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, WEBEX",31300
,S1.3 ABDOMEN,53.59.2,S1.3.1.8,Ventral And Scar Hernia repair without Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,40000
,S1.3 ABDOMEN,53.69.2,S1.3.1.9,Ventral And Scar Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,50000
,S1.3 ABDOMEN,47.01,S1.3.2.1,Laproscopic Appendicectomy,"USG Abdomen, Complete Blood Picture [CBP], Case sheet with clinical History","USG Abdomen, WEBEX, Scar Photo, Specimen Photo, Routine Histopathological Examination",25000
,S1.3 ABDOMEN,47.09.2,S1.3.2.2,Surgical treatment for Appendicular Perforation,USG Abdomen,"USG Abdomen, Scar Photo, Specimen Photo, Routine Histopathological Examination",26000
,S1.3 ABDOMEN,44.02,S1.3.3.1,Highly Selective Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy",USG Abdomen/ CT Scan Abdomen With Contrast,25000
,S1.3 ABDOMEN,44.42,S1.3.3.10,Surgical management of Duodenal perforation,USG Abdomen/Barium Studies/ CT Scan Abdomen With Contrast/Abdomen Radiograph Supine Or Erect(1 Film),Intra OP photo,50000
,S1.3 ABDOMEN,44.03,S1.3.3.2,Selective Vagotomy drainage,"Upper GI endoscopy ,USG Abdomen, Endoscopic Dilatation-Video/Photo","Upper GI endoscopy , USG Abdomen, WEBEX, HPE for Vagus",48000
,S1.3 ABDOMEN,44.2,S1.3.3.3,Pyloroplasty and Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy","USG Abdomen, HPE for Vagus",60000
,S1.3 ABDOMEN,44.39.2,S1.3.3.4,Gastrojejunostomy and Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy",USG Abdomen/ CT Scan Abdomen With Contrast,60000
,S1.3 ABDOMEN,44.4,S1.3.3.5,Surgical Management for Bleeding Peptic ulcer,"USG Abdomen/ CT Scan Abdomen With Contrast,Upper GI endoscopy","USG Abdomen, Intra OP photo",58000
,S1.3 ABDOMEN,43.5.1,S1.3.3.6,Partial/Subtotal Gastrectomy with anastomosis to Esophagus for ulcer,"USG Abdomen/ CT Scan Abdomen With Contrast,Barium Studies,Upper GI endoscopy","USG Abdomen, Routine Histopathological Examination, Scar Photo",52200
,S1.3 ABDOMEN,43.3.1,S1.3.3.7,Pyloromyotomy,USG Abdomen,"Routine Histopathological Examination, Intra OP photo",45000
,S1.3 ABDOMEN,43.1.1,S1.3.3.8,Gastrostomy,Lower GI Endoscopy / USG Abdomen,Scar Photo,30000
,S1.3 ABDOMEN,44.62,S1.3.3.9,Gastrostomy Closure,"USG Abdomen/ Barium Studies/ CT Scan Abdomen With Contrast/Abdomen Radiograph Supine Or Erect(1 Film), Clinical Photograph","USG Abdomen, Scar Photo",35000
,S1.3 ABDOMEN,46.80.1,S1.3.4.1,Surgical treatment for Intususception,"USG Abdomen, Abdomen Radiograph Supine Or Erect(1 Film)","Scar Photo, Routine Histopathological Examination",60000
,S1.3 ABDOMEN,45.34.1,S1.3.4.2,Surgical treatment for Acute Intestinal obstrucion,"Abdomen Radiograph Supine Or Erect(1 Film),Barium Upper GI Study(Double Contrast) / USG Abdomen, Clinical Photograph","USG Abdomen , Intra OP photo, Routine Histopathological Examination , Clinical Photograph",60000
,S1.3 ABDOMEN,46.73,S1.3.4.3,Surgical treatment for Acute Intestinal perforation,"Abdomen Radiograph Supine Or Erect(1 Film),USG Abdomen",Intra OP photo,60000
,S1.3 ABDOMEN,44.4.1,S1.3.4.4,Surgical management For Haemorrhage Of The Small Intestine,"USG Abdomen/ CT Scan Abdomen With Contrast /Triphasic, Upper GI endoscopy","Routine Histopathological Examination, Intra OP photo",60000
,S1.3 ABDOMEN,46.62,S1.3.4.5,Surgical treatment For Recurrent Intestinal obstruction (Noble Plication Other),"CT Scan Abdomen With Contrast, Abdomen Radiograph Supine Or Erect(1 Film)","USG Abdomen, Intra OP photo, Routine Histopathological Examination",60000
,S1.3 ABDOMEN,45.3.2,S1.3.4.6,Resection and Anastomosis Of Small Intestine(45.9),"CT Scan Abdomen With Contrast, Abdomen Radiograph Supine Or Erect(1 Film)","USG Abdomen, CT Scan Abdomen With Contrast, Routine Histopathological Examination",70000
,S1.3 ABDOMEN,46.2.2,S1.3.4.7,Ileostomy,"Lower GI Endoscopy/USG Abdomen,CT Scan Abdomen With Contrast","Clinical Photograph of Ileostomy Along With Face, Routine Histopathological Examination",70000
,S1.3 ABDOMEN,46.51.2,S1.3.4.8,Ileostomy Closure,"USG Abdomen, Abdomen Radiograph Supine Or Erect(1 Film), Clinical Photograph, Case sheet with clinical History",Scar Photo,75000
,S1.3 ABDOMEN,46.81,S1.3.5.1,Surgical treatment for Mal-Rotation and Volvulus Of The Midgut,"CT Scan Abdomen With Contrast,Abdomen Radiograph Supine Or Erect(1 Film)","Abdomen Radiograph Supine Or Erect(1 Film), USG Abdomen",75000
,S1.3 ABDOMEN,46.82,S1.3.5.2,Surgical treatment for Volvulus of Large bowel,"CT Scan Abdomen With Contrast, Abdomen Radiograph Supine Or Erect(1 Film),USG Abdomen","CT Scan Abdomen With Contrast,Abdomen Radiograph Supine Or Erect(1 Film)",50000
,S1.3 ABDOMEN,45.63,S1.3.5.3,Surgical treatment for Duplication Of Intestines,"CT Scan Abdomen With Contrast/ USG Abdomen, Abdomen Radiograph Supine Or Erect(1 Film)",Intra OP photo,48000
,S1.3 ABDOMEN,45.75,S1.3.5.4,Left Hemi Colectomy,"USG Abdomen, CT Scan Abdomen With Contrast /Barium Studies/Lower GI Endoscopy, Biopsy","USG Abdomen , Routine Histopathological Examination",42200
,S1.3 ABDOMEN,45.73,S1.3.5.5,Right Hemi Colectomy,"USG Abdomen, CT Scan Abdomen With Contrast /Barium Studies/Lower GI Endoscopy, Biopsy","USG Abdomen , Routine Histopathological Examination",42200
,S1.3 ABDOMEN,45.82,S1.3.5.6,Total Colectomy,"USG Abdomen , CT Scan Abdomen With Contrast, Colonoscopy, Clinical Photograph","USG Abdomen , Routine Histopathological Examination",60500
,S1.3 ABDOMEN,46.1.1,S1.3.5.7,Colostomy,"USG Abdomen, Barium Studies/CT Scan Abdomen With Contrast /Lower GI Endoscopy",Clinical Photograph of Colostomy Along With Face,25000
,S1.3 ABDOMEN,46.52.2,S1.3.5.8,Colostomy Closure,"USG Abdomen, Abdomen Radiograph Supine Or Erect(1 Film), Clinical Photograph",Scar Photo,27000
,S1.3 ABDOMEN,48.49,S1.3.6.1,Pull Through Abdominal Resection,"Barium Enema (Single Contrast\Double Contrast), Invertogram AP/ LAT, Clinical Photograph","USG Abdomen, Clinical Photograph",50000
,S1.3 ABDOMEN,48.62.1,S1.3.6.2,Anterior Resection of Rectum,"Colonoscopy/Barium Enema (Single Contrast\Double Contrast),Barium Studies, Clinical Photograph, Biopsy","Routine Histopathological Examination, Intra OP photo",50000
,S1.4 Liver,50.29.2,S1.4.1,Surgical treatment For Hydatid cyst of Liver,"USG Abdomen, LFT(liver function tests)","Routine Histopathological Examination, USG Abdomen",42000
,S1.4 Liver,39.1.3,S1.4.2,Portocaval Anastomosis,"Upper GI endoscopy , Procedure CD, USG Abdomen, LFT(liver function tests)","USG Abdomen, Color Doppler Sonography Single Study",81000
,S1.5 Gallbladder,51.22.3,S1.5.1,Cholecystectomy,"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, LFT(liver function tests)","Routine Histopathological Examination, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, CT Scan Abdomen With Contrast ,",38900
,S1.5 Gallbladder,51.22.4,S1.5.2,Laproscopic Cholecystectomy,"USG Abdomen, Showing Calculus, LFT(liver function tests)","Routine Histopathological Examination, USG Abdomen, WEBEX",38900
,S1.5 Gallbladder,51.22.1,S1.5.3,Cholecystectomy With CBD Exploration (51.41),"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, LFT(liver function tests)","USG Abdomen, MR Cholangiography, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, Routine Histopathological Examination",41000
,S1.5 Gallbladder,51.02,S1.5.4,Cholecystostomy,"CT Scan Abdomen Without Contrast, USG Abdomen, Chest X-Ray PA View(1 Film)","Routine Histopathological Examination, CT Scan Abdomen Without Contrast",38900
,S1.5 Gallbladder,52.4.2,S1.5.5,Pancreaticocystojejunostomy,"CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, ERCP, Upper GI endoscopy, USG Abdomen , LFT(liver function tests)","Routine Histopathological Examination, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast ,USG Abdomen,",53500
,S1.5 Gallbladder,52.4.4,S1.5.6,Pancreaticocystogastrostomy,"CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, USG Abdomen, Magnetic Resonance Cholangiopancreatography (MRCP), USG Abdomen, LFT(liver function tests)","CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, CT Scan Abdomen With Contrast, USG Abdomen , Routine Histopathological Examination",65000
,S1.5 Gallbladder,51.7,S1.5.7,Repair Of CBD,Magnetic Resonance Cholangiopancreatography (MRCP) /USG Abdomen/CT scan Lower Abdomen Without Contrast,USG Abdomen,65000
,S1.6 Adrenals,07.3.1,S1.6.1,Bilateral Adrenalectomy in nonmalignant conditions,"Adrenal function test,Urinary VMA, Urinary Metanephrine/Nor metanephrine,Urinary Catecholamines,Aldosterone - Urine,24 hour free cortisol,USG Abdomen / CT Scan Abdomen With Contrast / MRI Abdomen With Contrast","USG Abdomen, Routine Histopathological Examination, Scar Photo",65000
,S1.6 Adrenals,07.22.1,S1.6.2,Unilateral Adrenelectopmy in nonmalignant conditions,"Adrenal function test,Urinary VMA, Urinary Metanephrine/Nor metanephrine,Urinary Catecholamines,Aldosterone - Urine,24 hour free cortisol,USG Abdomen / CT Scan Abdomen With Contrast / MRI Abdomen With Contrast","USG Abdomen, Routine Histopathological Examination, Scar Photo",45000
,S1.7 Spleen,41.5.2,S1.7.1,Splenectomy For Hypersplenism,"USG Abdomen,Complete Haemogram, Sickle Cell Test","USG Abdomen,Routine Histopathological Examination",80000
,S1.7 Spleen,39.1.1,S1.7.2,Splenorenal Anastomosis,"Upper GI endoscopy , USG Abdomen, Complete Haemogram, LFT(liver function tests)","Color Doppler Sonography Single Study,USG Abdomen",87500
,S1.7 Spleen,39.1.2,S1.7.3,Warren Shunt for Portal Hypertension,"Upper GI endoscopy , USG Abdomen, LFT(liver function tests)",Color Doppler Sonography Single Study,70000
,S1.9 Laceration - Suturing / Dressing,-,S1.9A,Laceration - Suturing / Dressing,Clinical notes with planned line of treatment with pre-clinical photograph,Clinical notes / discharge summary with planned line of treatment & post clinical photograph,5000
,S2.1 EAR,20.79.1,S2.1.1,Labyrinthectomy,"Pure Tone Audiometry, MRI Scan Head & Neck Without Contrast",Case Sheet with operation Notes,20000
,S2.1 EAR,04.42.2,S2.1.2,Facial Nerve Decompression,"3D CT Facial Bones,Nerve conduction study",Case Sheet with operation Notes,37100
,S2.1 EAR,76.45,S2.1.3,Temporal Bone Excision,3D CT Facial Bones,3D CT Facial Bones/MRI Local Area,50000
,S2.10 Inferior turbinate reduction under GA,-,S2.10A,Inferior turbinate reduction under GA,"Clinical notes and EXAMINATION FINDINGS, nasoendoscopy findings","Intraoperative Stills, Post procedure clinical photograph of affected part, Detailed discharge summary Detailed Procedure / Operative Notes",7500
,S2.11 Open sinus surgery,-,S2.11A,Open sinus surgery,Clinical notes detailing chronicity of sinusitis . indications for surgery with supporting CTpre-procedure photograph,"Post procedure Imaging, Post procedure clinical photograph of affected part. Histopathology,, detailed Procedure / Operative Notes. Intra procedure clinical photograph",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.1A,Ant. Ethmoidal artery ligation - Open,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.2A,Ant. Ethmoidal artery ligation - Endoscopic,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.3A,Sphenopalatine artery ligation - Open,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.4A,Sphenopalatine artery ligation - Endoscopic,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.13 Tonsillectomy,-,S2.13.1A,Tonsillectomy - U/L,"Indication for surgery from treating doctor with supporting case history, physical examination findings, supporting investigation reports, Clinical Photograph","Histopathology report, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes",15300
,S2.13 Tonsillectomy,-,S2.13.2A,Tonsillectomy - B/L,"Indication for surgery from treating doctor with supporting case history, physical examination findings, supporting investigation reports, Clinical Photograph","Histopathology report, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes",15300
,S2.14 Peritonsillar abscess drainage / intraoral calculus removal,-,S2.14.1A,Peritonsillar abscess drainage,"Doctor's notes with presenting complaints, duration and physicial examination findings of oral cavity and tonsils, clinical photograph if possible","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",7300
,S2.14 Peritonsillar abscess drainage / intraoral calculus removal,-,S2.14.2A,Intraoral calculus removal,"Doctor's notes with presenting complaints, duration and physicial examination findings of oral cavity and tonsils, clinical photograph if possible","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",7300
,S2.15 Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with or without reconstruction,-,S2.15.1A,Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with pedicled flap reconstruction,"CT Scan, Biopsy, Clinical Photograph of affected part","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",54800
,S2.15 Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with or without reconstruction,-,S2.15.2A,Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with free flap reconstruction,"CT Scan, Biopsy, Clinical Photograph of affected part","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",57500
