Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,S9.3 LITHOTRIPSY PROCEDURES,55.04,S9.3.2,PCNL,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), RFT","USG Abdomen, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), WEBEX",56300
,S9.3 LITHOTRIPSY PROCEDURES,98.51,S9.3.3,Extracorporeal shockwave lithotripsy (ESWL),"Intra Veneous Pyelogram, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), Contrast Enhanced USG/ CT local Area","Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), USG Abdomen, Clinical Photograph",25000
,S9.3 LITHOTRIPSY PROCEDURES,56.0,S9.3.4,ursl,"CT Scan Lower Abdomen With Contrast, USG Abdomen","CT Scan Lower Abdomen With Contrast, USG Abdomen, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), WEBEX",44900
,S9.3 LITHOTRIPSY PROCEDURES,55.02,S9.3.5,Nephrostomy - Lithotropsy,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), RFT","USG Abdomen, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), RFT",22500
,S9.3 LITHOTRIPSY PROCEDURES,59.8.1,S9.3.6,Dj Stent (One Side),"USG Abdomen/CT Scan Lower Abdomen With Contrast, Intra Veneous Pyelogram, Renal Profile","USG Abdomen, CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), Renal Profile",15200
,S9.30 Partial Cystectomy - Follow Up,-,S9.30A,Partial Cystectomy - Follow Up,Earlier Discharge Summary,USG,1000
,S9.31 Deflux for VUR,-,S9.31A,Deflux for VUR,Clinical notes with planned line of treatment,IVU,6300
,S9.32 Bladder injury repair (with or without urethral injury),-,S9.32A,Bladder injury repair (with or without urethral injury),Clinical notes and USG/CT/MRI+/- cystogram confirming the diagnosis of bladder injury; MLC/ FIR if traumatic.,Detailed discharge summary; detailed Procedure / Operative Notes,38300
,S9.33 Bladder injury repair with colostomy (with or without urethral injury),-,S9.33A,Bladder injury repair with colostomy (with or without urethral injury),Clinical notes and USG/CT/MRI+/- cystogram confirming the diagnosis of bladder injury; MLC/ FIR if traumatic.,Detailed discharge summary of both surgeries; detailed Procedure / Operative Notes; Post procedue pic of Colostomy,43600
,S9.34 Neurogenic bladder - Package for evaluation / investigation (catheter + ultrasound + culture + RGU/ MCU) for 1 month (medicines - antibiotics),-,S9.34A,Neurogenic bladder - Package for evaluation / investigation (catheter + ultrasound + culture + RGU/ MCU) for 1 month (medicines - antibiotics),Clinical notes detailing the case history with previous work up / initial diagnosis,Evidence of all investigations done and still images of RGU/ MCU done with patient name & date,24600
,S9.35 Y V Plasty of Bladder Neck / Bladder Neck Reconstruction,-,S9.35A,Y V Plasty of Bladder Neck / Bladder Neck Reconstruction,Clinical notes and urethro Cystoscopy +USG confirming the diagnosis,"Detailed Procedure / Operative Notes, detailed discharge summary.",30000
,S9.36 Bladder Neck incision - Endoscopic,-,S9.36A,Bladder Neck incision - Endoscopic,"USG-KUB/PVR, Uroflometry",Endoscopic picture,24800
,S9.37 TURBT - Restage,-,S9.37A,TURBT - Restage,Clinical notes and USG/CT/ MRI confirming the diagnosis bladder tumour,"Intra procedure still photograph Histopathology, Detailed discharge summary , detailed Procedure / Operative Notes",29700
,S9.38 Post TURBT - Check Cystoscopy (Per sitting) with cold-cup biopsy,-,S9.38A,Post TURBT - Check Cystoscopy (Per sitting) with cold-cup biopsy,Clinical notes and Histopathology/ biopsy confirming the diagnosis of bladder cancer,Intra procedure still photograph; detailed discharge summary; detailed Procedure / Operative Notes,15000
,S9.39 Urachal Cyst excision,-,S9.39.1A,Urachal Cyst excision - Open,Clinical notes and USG/CT/MRI confirming the diagnosis of Urachus,"Histopathology, Detailed discharge summary , detailed Procedure / Operative Notes",33000
,S9.39 Urachal Cyst excision,-,S9.39.2A,Urachal Cyst excision - Laparoscopic,Clinical notes and USG/CT/MRI confirming the diagnosis of Urachus,"Histopathology, Detailed discharge summary , detailed Procedure / Operative Notes",35800
,S9.4 Other Corrective Surgeries/Procedures,58.45.5,S9.4.1.1,Single Stage Urethroplasty for stricture Urethra,"Retrograde Urethrogram, USG Abdomen, CT Scan Lower Abdomen With Contrast, Clinical Photograph","USG Abdomen, CT Scan Lower Abdomen With Contrast",51000
,S9.4 Other Corrective Surgeries/Procedures,58.49.1,S9.4.1.2.1,Stage 1 Urethroplasty for stricture Double Stage,"Retrograde Urethrogram, USG Abdomen, CT Scan Lower Abdomen With Contrast","USG Abdomen, CT Scan Lower Abdomen With Contrast",60000
,S9.4 Other Corrective Surgeries/Procedures,58.49.2,S9.4.1.2.2,Stage 2 Urethroplasty for stricture Double Stage,"Retrograde Urethrogram, USG Abdomen, CT Scan Lower Abdomen With Contrast","USG Abdomen, CT Scan Lower Abdomen With Contrast",60000
,S9.4 Other Corrective Surgeries/Procedures,58.46,S9.4.2,Reconstruction procedure Urethroplasty for stricture,"Retrograde Urethrogram, USG Abdomen, CT Scan Lower Abdomen With Contrast, Clinical Photograph","USG Abdomen, CT Scan Lower Abdomen With Contrast",44900
,S9.4 Other Corrective Surgeries/Procedures,58.45.1,S9.4.3.1,Single Stage HYPOSPADIASIS (ADULT),Clinical Photograph,Clinical Photograph,60000
,S9.4 Other Corrective Surgeries/Procedures,58.45.2,S9.4.3.2.1,Stage-1 HYPOSPADIASIS (ADULT),Clinical Photograph,Scar Photo,30000
,S9.4 Other Corrective Surgeries/Procedures,58.45.3,S9.4.3.2.2,Stage-2 HYPOSPADIASIS (ADULT),Clinical Photograph,Scar Photo,30000
,S9.4 Other Corrective Surgeries/Procedures,57.49.1,S9.4.4,Transurethral resection of bladder tumour (TURBT),CT Scan Lower Abdomen With Contrast/USG Abdomen/Cystoscopy,"USG Abdomen, CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",43600
,S9.40 VVF Repair - Follow Up,-,S9.40A,VVF Repair - Follow Up,Earlier Discharge Summary,USG / UFM / Urine Routine,1500
,S9.41 Intravesical BCG / Mitomycin,-,S9.41.1A,Induction cycles,Clinical notes and Histopathology/ biopsy confirming the diagnosis of bladder cancer,"Detailed discharge summary, Detailed Procedure / Operative Notes, original bills of medicines administered",22800
,S9.41 Intravesical BCG / Mitomycin,-,S9.41.2A,Maintenance,Clinical notes and Histopathology/ biopsy confirming the diagnosis of bladder cancer,"Detailed discharge summary, Detailed Procedure / Operative Notes, original bills of medicines administered",31000
,S9.42 Repair of stress incontinence - Follow Up,-,S9.42A,Repair of stress incontinence - Follow Up,Earlier Discharge Summary,Clinical notes with planned line of treatment,1000
