source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
4,1,76,Corneal endothelial cell count with specular microscopy,230,265
4,1,77,Corneal topography,331,381
4,1,78,Corneal pachymetry (corneal thickness)/ CCT,230,265
4,1,79,Auto-refraction,35,40
4,1,80,Macular function tests,44,51
4,1,81,Potential acuity metry,100,115
4,1,82,Laser interferometry,173,199
4,1,83,OCT-Optical coherence tomography,2125,2444
4,1,84,HRT- Heidelberg’s retinal tomogram,150,173
4,1,85,GDx Nerve fibre layer analysis,88,101
4,1,86,UBM- Ultrasound bio microscopy,150,173
4,1,87,Non Contact tonometry (NCT),50,58
4,1,88,IOP measurement with schiotz,30,35
5,1,89,IOP measurement with applanation tonometry,50,58
5,1,90,Three mirror examination for retina,58,67
5,1,91,90 D lens examination,50,58
5,1,92,Gonioscopy,58,67
5,1,93,Chalazion incision and curettage in one eye,400,460
5,1,94,Chalazion incision and curettage in both eyes,431,496
5,1,95,Ptosis surgery with fasanella servat procedure,2300,2645
5,1,96,Ptosis surgery with LPS resection one lid,5500,6325
5,1,97,Ptosis surgery with Sling surgery one lid,6670,7671
5,1,98,Ectropion surgery- one lid,1400,1610
5,1,99,Ectropion surgery- both lids,2500,2875
5,1,100,Epicanthus correction,1550,1783
5,1,101,Cantholysis and canthotomy,575,661
5,1,102,Entropion surgery- one lid,1380,1587
5,1,103,Entropion surgery- both lids,2000,2300
5,1,104,Tarsorraphy,650,748
5,1,105,Suturing of lid lacerations,1150,1323
5,1,106,Lid retraction repair,1700,1955
5,1,107,Concretions removal,115,132
5,1,108,Bucket handle procedure for lid tumors,345,397
5,1,109,Cheek rotation flap for lid tumors,6900,7935
5,1,110,Orbitotomy,8050,9258
5,1,111,Enucleation,3000,3450
6,1,112,Enucleation with orbital implants and artificial,3000,3450
6,1,113,Evisceration,3450,3968
6,1,114,Evisceration with orbital implants and artificial prosthesis,5693,6547
6,1,115,Telecanthus correction,5175,5951
6,1,116,Orbital decompression,5750,6613
6,1,117,Exenteration,5750,6613
6,1,118,Exenteration with skin grafting,6900,7935
6,1,119,Fracture orbital repair,9200,10580
6,1,120,Retinal laser procedures,1500,1725
6,1,121,Retinal detachment surgery (RDS),11500,13225
6,1,122,Retinal detachment surgery (RDS) with scleral buckling,13800,15870
6,1,123,Buckle removal,1150,1323
6,1,124,Silicone oil removal,2800,3220
6,1,125,Anterior retinal cryopexy,1162,1336
6,1,126,Squint correction for one eye,5000,5750
6,1,127,Squint correction for both eyes,7500,8625
6,1,128,Trabeculectomy,6900,7935
6,1,129,Trabeculotomy,6900,7935
6,1,130,Trabeculectomy with Trabeculotomy,10350,11903
6,1,131,Trephination,2300,2645
6,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST,Non- NABH/No,
6,1,132,Goniotomy,345,397
6,1,133,Glaucoma surgery with Glaucoma valves (Cost of Valve extra),6900 + Valve,7935 + Valve
7,1,134,Cyclocryotherapy,1150,1323
7,1,135,YAG laser iridotomy,1500,1725
7,1,136,YAG laser capsulotomy,1093,1257
7,1,137,ALT-Argon laser trabeculoplasty,1495,1719
7,1,138,PDT-Photodymic therapy,3450,3968
7,1,139,TTT- Transpupillary thermal therapy,3000,3450
7,1,140,PTK- Phototherapeutic keratectomy,7500,8625
7,1,141,Argon/diode laser for retinal detatchment,1150,1323
7,1,142,Intralase application for keratoconus,5750,6613
7,1,143,EOG- electro-oculogram,900,1035
7,1,144,ERG- Electro-retinogram,794,913
7,1,145,VEP- visually evoked potential,800,920
7,1,146,Vitrectomy- pars plana,11500,13225
7,1,147,Intravitreal injections of antibiotics,1150,1323
7,1,148,Intravitreal Injection of drugs (Ranibizumab/ Aflibercept etc) excluding cost of drug,3000,3450
