source_page,extracted_table_index,column_1,column_2,column_3,column_4
5,1,114,Evisceration with orbital implants and artificial prosthesis,5124,5893
5,1,115,Telecanthus correction,4658,5357
5,1,116,Orbital decompression,5175,5951
5,1,117,Exenteration,5175,5951
5,1,118,Exenteration with skin grafting,6210,7142
5,1,119,Fracture orbital repair,8280,9522
5,1,120,Retinal laser procedures,1350,1553
5,1,121,Retinal detachment surgery (RDS),10350,11903
5,1,122,Retinal detachment surgery (RDS) with scleral buckling,12420,14283
5,1,123,Buckle removal,1035,1190
5,1,124,Silicone oil removal,2520,2898
5,1,125,Anterior retinal cryopexy,1046,1203
5,1,126,Squint correction for one eye,4500,5175
5,1,127,Squint correction for both eyes,6750,7763
5,1,128,Trabeculectomy,6900,7935
5,1,129,Trabeculotomy,6210,7142
5,1,130,Trabeculectomy with Trabeculotomy,9315,10712
5,1,131,Trephination,2070,2381
5,1,132,Goniotomy,311,358
5,1,133,Glaucoma surgery with Glaucoma valves,6310,7256
5,1,134,Cyclocryotherapy,1035,1190
5,1,135,YAG laser iridotomy,1350,1553
5,1,136,YAG laser capsulotomy,984,1132
5,1,137,ALT-Argon laser trabeculoplasty,1495,1719
5,1,138,PDT-Photodymic therapy,3105,3571
5,1,139,TTT- Transpupillary thermal therapy,3000,3450
5,1,140,PTK- Phototherapeutic keratectomy,6750,7763
5,1,141,Argon/diode laser for retinal detachment,1035,1190
5,1,142,Intralase application for keratoconus,5175,5951
5,1,143,EOG- electro-oculogram,810,932
6,1,144,ERG- Electro-retinogram,715,822
6,1,145,VEP- visually evoked potential,800,920
6,1,146,Vitrectomy- pars plana,10350,11903
6,1,147,Intravitreal injections- of antibiotics,1035,1190
6,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,2700,3105
6,1,149,X Ray orbit,110,127
6,1,150,CT orbit and brain,1600,1840
6,1,151,MRI- Orbit and brain,3105,3571
6,1,152,Dacryocystography,318,366
6,1,153,Orbital angio-graphical studies,1500,1725
6,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
6,1,155,Small Incision Cataract Surgery (SICS) with IOL,4500,5175
6,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9703,11158
6,1,157,Pars plana lensectomy with/without IOL,9315,10712
6,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6210,7142
6,1,159,Cataract extraction with IOL with capsular tension rings,12150,13973
6,1,160,(OCpitoicn nnie’srv rein sgh)eathotomy,6750,7763
6,1,161,Iridodialysis repair or papillary reconstruction,4500,5175
6,1,162,Iris cyst removal,765,880
6,1,163,Lid Abscess incision and Drainage,1530,1760
6,1,164,Orbital Abscess incision and Drainage,2700,3105
6,1,165,Biopsy,414,476
6,1,166,Paracentesis,207,238
6,1,167,Scleral graft for scleral melting or perforation,2520,2898
6,1,168,Amniotic membrane grafting,1000,1150
6,1,169,Cyclodiathermy,2070,2381
6,1,170,Intraocular foreign body removal,168,193
6,1,171,Electrolysis,207,238
6,1,172,Perforating injury repair,4050,4658
6,1,173,Botulinum injection for blepharospasm or squint,2250,2588
6,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
6,1,174,Flap Operation per quadrant,324,373
7,1,175,Gingivectomy per quadrant,234,269
7,1,176,Reduction & immobilization of fracture- Maxilla Under LA,810,932
7,1,177,Reduction & immobilization of fracture-Mandible Under LA,3150,3623
7,1,178,Splints/Circummandibular wiring under LA,510,587
7,1,179,splints/Circummandibular wiring under GA,990,1139
7,1,180,Internal wire fixation/plate fixation of Maxilla under LA,3000,3450
7,1,181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
7,1,182,Internal wire fixation/plate fixation of Mandible under LA,3500,4025
7,1,183,Internal wire fixation/plate fixation of Mandible under GA,4000,4600
7,1,184,Extraction per tooth under LA,80,92
7,1,185,Complicated Extraction per Tooth under LA,100,115
7,1,186,Extraction of impacted tooth under LA,160,184
7,1,187,Extraction in mentally retarded/patients with systemic,845,972
7,1,188,dCiysseta s&e st/upmatoieunr to wf iMtha sxpilelcai a/ml naeneddibs luen bdye re nshuoclret atteiromn /GA,244,281
