city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,53,Extractable Nuclear Antigens (ENA) - Quantitative,4600,13910,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,53,1803 _ [Faecal calprotectin (fecal calprotectin),2730,12320,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,54,1833__|Interleukin 6 (IL 6),1600,1360,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,55,bs |Glaucoma valve/Glaucoma Ahmed valve,15000,12750,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,55,1847 _|Malyugin Ring,10000,18500,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,55,1849 _|Scleral Fixation Tissue glue,8400,7140,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,1,"545, Balloon coronary angioplasty /",83725,171150,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,1,° Pe fare Catheterization (CATH),13545,111510,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,2,a Permanent pacemaker implantation-,4,86550,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,22 fet —__Pesieheral ‘Angioplasty with VCD,5500,46750,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,2 pee ‘Angioplasty,155000,46750,,,,ocr,False,usable_ocr
