extraction_method,city_folder,source_pdf,source_page,extracted_table_index,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Cauterization of ulcer/subconjunctival injection in one eye,79.00,69.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Cauterization of ulcer/subconjunctival injection in both eyes,159.00,138.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Corneal grafting—Penetrating keratoplasty,"6,613.00","5,750.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Corneal grafting—Lamellar keratoplasty,"5,750.00","5,000.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Cyanoacrylate /fibrin glue application for corneal perforation,794.00,690.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Bandage contact lenses for corneal perforation,529.00,460.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Scleral grafting or conjunctival flap for corneal perforation,"2,645.00","2,300.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Keratoconus correction with therapeutic contact lenses,"1,380.00","1,200.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Ultraviolet (UV) - radiation for cross-linking for,"2,070.00","1,800.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,EDTA for band shaped keratopathy,992.00,863.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Arcuate keratotomy for astigmatism,"3,220.00","2,800.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Re-suturing (Primary suturing) of corneal wound,"1,323.00","1,150.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Penetrating keratoplasty with glaucoma surgery,"13,800.00","12,000.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Penetrating keratoplasty --- with vitrectomy,"13,966.00","12,144.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Penetrating keratoplasty with IOL implantation,"14,134.00","12,290.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,DALK- Deep anterior lamellar keratoplasty,"19,838.00","17,250.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Keratoprosthesis stage I and II,"13,225.00","11,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,DSAEK- Descemet’s stripping automated endothelial keratoplasty,"19,176.00","16,675.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,ALTK- Automated lamellar therapeutic keratoplasty,"18,975.00","16,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Probing and Syringing of lacrimal sac- in one eye,79.00,69.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Probing and Syringing of lacrimal sac- in both eye,159.00,138.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Dacryocystorhinostomy—Plain,"2,976.00","2,588.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,"10,925.00","9,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Dacryocystorhinostomy—conjunctival with implant,"10,580.00","9,200.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Caliculoplasty,"2,645.00","2,300.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Dacryocystectomy,"1,984.00","1,725.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Punctal plugs for dry eyes,150.00,130.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Refraction,46.00,40.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Indirect Ophthalmoscopy,77.00,67.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Orthoptic check-up- with synoptophore,51.00,44.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Lees’ charting or Hess’ charting,115.00,100.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Orthoptic exercises,58.00,50.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Pleoptic exercises,58.00,50.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Perimetry/field test—Goldman,166.00,144.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Perimetry/field test— automated,166.00,144.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Fluorescein angiography for fundus or iris,"1,058.00",920.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Ultrasound A- Scan,894.00,777.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Ultrasound B- Scan,265.00,230.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Fundus Photo Test,230.00,200.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Indocyanin green angiography,"1,058.00",920.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Corneal endothelial cell count with specular microscopy,265.00,230.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Corneal topography,381.00,331.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Corneal pachymetry,265.00,230.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Auto-refraction,40.00,35.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Macular function tests,51.00,44.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Potential acuity metry,115.00,100.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,Laser interferometry,199.00,173.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,OCT-Optical coherence tomography,"2,444.00","2,125.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,1,,HRT- Heidelberg’s retinal tomogram,173.00,150.00,,,,0.95,False
