source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
9,1,400,Oesophago Gastrectomy for mid 1/3 lesion,"22,046.00","25,353.00"
9,1,401,Heller’s Operation,"19,750.00","22,713.00"
9,1,402,Colon-Inter position or Replacement of Oesophagus,"22,540.00","25,921.00"
9,1,403,Oesophago Gastrectomy – Lower Corringers procedure,"21,390.00","24,599.00"
9,1,404,Other Major Surgery,"27,625.00","31,769.00"
9,1,405,Other Minor Surgery,"5,000.00","5,750.00"
9,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,
9,1,406,Gastroscopy,"1,553.00","1,786.00"
9,1,407,Gastric & Duodenal Biopsy (Endoscopic),"1,755.00","2,018.00"
9,1,408,Pyloromyotomy,"2,800.00","3,220.00"
9,1,409,Gastrostomy,"8,625.00","9,919.00"
9,1,410,Simple Closure of Perforated peptic Ulcer,"9,775.00","11,241.00"
9,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,"13,800.00","15,870.00"
9,1,412,Duodenojejunostomy,"18,950.00","21,793.00"
9,1,413,Partial/Subtotal Gastrectomy for Carcinoma,"23,000.00","26,450.00"
9,1,414,Partial/Subtotal Gastrectomy for Ulcer,"20,183.00","23,210.00"
9,1,415,Operation for Bleeding Peptic Ulcer,"19,500.00","22,425.00"
10,1,416,Operation for Gastrojejunal Ulcer,"19,780.00","22,747.00"
10,1,417,Total Gastrectomy for Cancer,"22,000.00","25,300.00"
10,1,418,Highly Selective Vagotomy,"18,630.00","21,425.00"
10,1,419,Selective Vagotomy & Drainage,"18,630.00","21,425.00"
10,1,420,Congenital Diaphragmatic Hernia,"34,000.00","40,000.00"
10,1,421,Hiatus Hernia Repair- Abdominal,"28,050.00","33,000.00"
10,1,422,Hiatus Hernia Repair- Transthoracic,"28,050.00","33,000.00"
10,1,423,Exploratory Laparotomy,"21,250.00","25,000.00"
10,1,424,Epigastric Hernia Repair,"21,250.00","25,000.00"
10,1,425,Umbilical Hernia Repair,"11,385.00","13,093.00"
10,1,426,Ventral /incisional Hernia Repair,"10,293.00","11,837.00"
10,1,427,Inguinal Hernia Herniorrhaphy,"22,100.00","26,000.00"
10,1,428,Inguinal Hernia - Hernioplasty,"27,200.00","32,000.00"
10,1,429,Femoral Hernia Repair,"27,200.00","32,000.00"
10,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)","17,078.00","19,640.00"
10,1,431,Splenectomy - For Trauma,"18,275.00","21,016.00"
10,1,432,Splenectomy - For Hypersplenism,"14,490.00","16,664.00"
10,1,433,Splenorenal Anastomosis,"23,000.00","26,450.00"
10,1,434,Portocaval Anastomosis,"28,000.00","32,200.00"
10,1,435,Direct Operation on Oesophagus for Portal Hypertension,"22,885.00","26,318.00"
10,1,436,Mesentericocaval Anastomosis,"25,450.00","29,268.00"
10,1,437,Warren Shunt (Distal Splenorenal Shunt),"27,000.00","31,050.00"
10,1,438,Pancreatico Duodenectomy (Whipple's procedure),"21,735.00","24,995.00"
10,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,"23,000.00","26,450.00"
10,1,440,Cystojejunostomy or Cystogastrostomy,"14,490.00","16,664.00"
10,1,441,Cholecystectomy,"20,400.00","24,000.00"
10,1,442,Cholecystectomy & Exploration of CBD,"28,050.00","33,000.00"
10,1,443,Repair of Common Bile Duct (CBD),"13,600.00","15,640.00"
10,1,444,Operation for Hydatid Cyst of Liver,"22,950.00","27,000.00"
10,1,445,Cholecystostomy,"20,400.00","24,000.00"
10,1,446,Hepatic Resections (Lobectomy /Hepatectomy),"28,050.00","33,000.00"
10,1,447,Operation on Adrenal Glands - Bilateral,"26,105.00","30,021.00"
10,1,448,Operation on Adrenal Glands - Unilateral,"13,800.00","15,870.00"
10,1,449,Appendicectomy,"16,150.00","19,000.00"
10,1,450,Appendicular Abscess – Drainage,"9,775.00","11,241.00"
10,1,451,Mesenteric Cyst- Excision,"9,936.00","11,426.00"
10,1,452,Peritonioscopy/Laparoscopy,"4,600.00","5,290.00"
10,1,453,Jejunostomy,"5,750.00","6,613.00"
10,1,454,Ileostomy,"13,869.00","15,949.00"
10,1,455,Resection & Anastomosis of Small Intestine,"40,375.00","47,500.00"
10,1,456,Duodenal Diverticulum,"16,560.00","19,044.00"
10,1,457,Operation for Intestinal Obstruction,"10,350.00","11,903.00"
10,1,458,Operation for Intestinal perforation,"34,200.00","39,330.00"
10,1,459,Benign Tumours of Small Intestine,"18,600.00","21,390.00"
10,1,460,Excision of Small Intestine Fistula,"45,000.00","38,250.00"
10,1,461,Operations for GI Bleed,"14,400.00","16,560.00"
10,1,462,Operations for Haemorrhage of Small Intestines,"19,200.00","22,080.00"
10,1,463,Operations of the Duplication of the Intestines,"34,850.00","41,000.00"
10,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),"23,000.00","26,450.00"
11,1,465,Ileosigmoidostomy and related resection,"16,790.00","19,309.00"
11,1,466,Ileotransverse Colostomy and related resection,"16,790.00","19,309.00"
11,1,467,Caecostomy,"3,903.00","4,488.00"
11,1,468,Loop Colostomy Transverse Sigmoid,"13,110.00","15,077.00"
11,1,469,Terminal Colostomy,"25,500.00","30,000.00"
11,1,470,Closure of Colostomy,"25,500.00","30,000.00"
11,1,471,Right Hemicolectomy,"27,200.00","32,000.00"
11,1,472,Left Hemicolectomy,"27,200.00","32,000.00"
11,1,473,Total Colectomy,"34,000.00","40,000.00"
11,1,474,Operations for Volvulus of Large Bowel,"22,428.00","25,792.00"
11,1,475,Operations for Sigmoid Diverticulitis,"18,630.00","21,425.00"
11,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy.,"27,200.00","32,000.00"
11,1,477,Fissure in Ano - Fissurectomy,"24,650.00","29,000.00"
11,1,478,Rectal Polyp-Excision,"11,645.00","13,700.00"
11,1,479,Fistula in Ano - High Fistulectomy,"29,750.00","35,000.00"
11,1,480,Fistula in Ano - Low Fistulectomy,"19,550.00","23,000.00"
11,1,481,Prolapse Rectum - Thiersch Wiring,"9,315.00","10,712.00"
11,1,482,Prolapse Rectum - Rectopexy,"11,900.00","14,000.00"
11,1,483,Prolapse Rectum - Grahams Operation,deleted,deleted
11,1,484,Operations for Hirschsprungs Disease,"14,260.00","16,399.00"
11,1,485,Excision of Pilonidal Sinus (open),"18,700.00","22,000.00"
11,1,486,Excision of Pilonidal Sinus with closure,"21,250.00","25,000.00"
11,1,487,Abdomino-Perineal Excision of Rectum,"18,300.00","21,045.00"
11,1,488,Anterior Resection of rectum,"19,665.00","22,615.00"
11,1,489,Pull Through Abdominal Resection,"17,170.00","19,746.00"
11,1,490,Retro Peritoneal Tumor Removal,"16,200.00","18,630.00"
11,1,491,Radio ablation of varicose veins,"7,225.00","8,500.00"
11,1,492,Laser ablation of varicose veins,"34,000.00","40,000.00"
11,1,493,Laparoscopic Fundoplication,"19,300.00","22,195.00"
11,1,494,Laparoscopic Splenectomy,"22,500.00","25,875.00"
11,1,495,Laparoscopic Removal of hydatid cyst,"18,000.00","20,700.00"
11,1,496,Laparoscopic treatment of Pseudo Pancreatic cyst,"18,000.00","20,700.00"
11,1,497,Laparoscopic Whipple's operation (Laparoscopic Pancreatico Duodenectomy,"20,000.00","23,000.00"
11,1,498,Laparoscopic GI bypass operation,"20,000.00","23,000.00"
11,1,499,Laparoscopic Total Colectomy,"22,500.00","25,875.00"
11,1,500,Laparoscopic Hemicolectomy,"20,700.00","23,805.00"
11,1,501,Laparoscopic Anterior Resection (of Intestine/ Rectum),"20,700.00","23,805.00"
11,1,502,Laparoscopic Cholecystetomy,"28,050.00","33,000.00"
11,1,503,Laparoscopic Appedicectomy,"25,500.00","30,000.00"
11,1,504,Laparoscopic Hernia inguinal repair,"29,750.00","35,000.00"
11,1,505,Laparoscopic ventral Hernia Repair,"15,750.00","18,113.00"
11,1,506,Laparoscopic Paraumblical Hernia Repair,"17,500.00","20,125.00"
11,1,507,Laparoscopic Adrenelectomy,"12,000.00","13,800.00"
11,1,508,Laparoscopic Nephrectomy,"21,000.00","24,150.00"
11,1,509,Other Major Surgery,deleted,deleted
11,1,510,Other Minor Surgery,deleted,deleted
11,1,,TREATMENT PROCEDURE ICU/CCU PROCEDURES (SPECIAL CARE CASES),,
11,1,511,Coronary Care with Cardiac Monitoring (Room Rent extra),750.00,863.00
12,1,512,Compressed air / piped oxygen /per hour,50.00,58.00
12,1,513,Ventilator charges (Per day),531.00,611.00
12,1,514,Paediatric care for New born (Per day),186.00,214.00
12,1,515,Incubator charges (Per day),345.00,397.00
12,1,516,Neonatal ICU charges (Per day),391.00,450.00
12,1,517,Resuscitation,184.00,212.00
12,1,518,Exchange Transfusion,265.00,305.00
12,1,519,Pneupack ventilator in Nursery (Per day),575.00,661.00
12,1,,TREATMENT PROCEDURE CARDIOVASCULAR AND CARDIAC SURGERY & INVESTIGATIONS,,
12,1,520,Atrial Septal Defect(ASD) closure,"84,065.00","98,900.00"
12,1,521,Ventricular septal defect (VSD) closure,"93,415.00","1,09,900.00"
12,1,522,TOF/TAPVC/TCPC/REV/RSOV repair,"1,27,075.00","1,46,136.00"
12,1,523,BD Glenn/Left atrium myxoma,"80,750.00","92,863.00"
12,1,524,Senning/Arterial Switch Operation (ASO) with graft,"1,22,188.00","1,40,516.00"
12,1,525,Double Switch Operation (DSO),"93,254.00","1,07,242.00"
12,1,526,Atrioventricular(AV) canal repair,"1,60,000.00","1,84,000.00"
12,1,527,Fontan procedure,"1,60,000.00","1,84,000.00"
12,1,528,Conduit repair,"1,52,100.00","1,74,915.00"
12,1,529,Coronary Artery Bypass Graft surgery (CABG),"1,27,075.00","1,46,136.00"
12,1,530,CABG + Intra-Aortic Balloon Pump (IABP),"1,52,100.00","1,74,915.00"
12,1,531,CABG + Valve.,"1,69,000.00","1,94,350.00"
12,1,532,CABG without bypass.,"1,40,000.00","1,61,000.00"
12,1,533,Ascending aorta replacement,"1,30,000.00","1,49,500.00"
12,1,534,Double Valve Replacement (DVR),"1,55,422.00","1,78,735.00"
12,1,535,Mitral valve Replacement(MVR)/ Aortic valve Replacement(AVR),"93,254.00","1,07,242.00"
12,1,536,Mitral Valve repair + Aortic Valve repair,"93,254.00","1,07,242.00"
12,1,537,Aorta femoral bypass,"52,000.00","59,800.00"
12,1,538,Blalock-Taussig shunt (BT Shunt) / Coarctation,"51,980.00","59,777.00"
12,1,539,Pulmonary Artery Banding (PA Banding) Septostomy,"51,980.00","59,777.00"
12,1,540,Pericardectomy,"42,320.00","48,668.00"
12,1,541,"Patent ductus arteriosus (PDA), device closure","46,750.00","55,000.00"
12,1,542,Gunshot injury,"51,980.00","59,777.00"
12,1,543,Heart transplant,"2,76,000.00","3,17,400.00"
12,1,544,Ballon coronary angioplasty/Percutaneous transluminal coronary angioplasty (PTCA)Percutaneous coronary intervention (PCI) with Vascular closure device (VCD),"78,200.00","92,000.00"
12,1,545,Balloon coronary Angioplasty /percutaneous transluminal coronary angioplasty (PTCA)/Percutaneous coronary intervention (PCI)without Vascular closure device (VCD),"71,150.00","83,725.00"
12,1,546,Rotablation,"47,775.00","56,206.00"
12,1,547,Ballon Mitral valvotomy/Percutaneous transvenous mitral commissurotomy (PTMC),"77,000.00","90,700.00"
12,1,548,Cardiac Catheterization (CATH),"11,510.00","13,545.00"
12,1,549,Aortic Arch Replacement,"10,000.00","11,500.00"
12,1,550,Aortic Dissection,"12,650.00","14,548.00"
12,1,551,Thoraco Abdominal Aneurism Repair,"15,000.00","17,250.00"
12,1,552,Embolectomy,"21,000.00","24,150.00"
12,1,553,Vascular Repair,"36,000.00","41,400.00"
13,1,554,Bentall Repair with Prosthetic Valve,"30,000.00","34,500.00"
13,1,555,Bentall Repair with Biologic Valve,"1,27,500.00","1,46,625.00"
13,1,556,Coarctation dilatation/ballon dilatation of Aortic coarctation- including ocst of balloon,"60,860.00","71,600.00"
13,1,557,Coaractation dilatation with Stenting,"18,500.00","21,275.00"
13,1,558,Temporary Pacemaker Implantation (TPI) (Temporay Cardiac Pacing) Single Chamber,"16,320.00","19,200.00"
13,1,559,Temporary cardiac pacing (TPI) Dual Chamber,"8,160.00","9,384.00"
13,1,560,Permanent pacemaker implantation (PPI)- Single Chamber,"27,200.00","32,000.00"
13,1,561,Permanent pacemaker implantation- Dual Chamber,"36,550.00","43,000.00"
13,1,562,Permanent pacemaker implantation (PPI)-Biventricular,"42,180.00","49,625.00"
13,1,563,Automatic implantable cardioverter defibrillator (AICD) Single Chamber,"42,500.00","50,000.00"
13,1,564,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber,"44,500.00","52,350.00"
13,1,565,Combo device implantation,"50,150.00","59,000.00"
13,1,566,Diagnostic Electrophysiological studies conventional ( including catheter),"56,100.00","66,000.00"
13,1,567,Ambulatory BP monitoring,1000.00,1000.00
13,1,568,External Loop/event recording( Maximum up to 7 days),1500 first day and 1000 for subsequent days,1500 first day and 1000 for subsequent days
13,1,569,Radio fequency (RF) Ablation conventional,"81,600.00","96,000.00"
13,1,570,Radio fequency (RF) Ablation Atrial Tachycardia/with 3 D mapping - All inclusive,"1,53,850.00","1,81,000.00"
13,1,571,Endomyocardial biopsy,deleted,deleted
13,1,572,Intra aortic balloon pump (IABP)- Including Cost of Balloon,"42,500.00","50,000.00"
13,1,573,Intra vascular coils,"63,750.00","75,000.00"
13,1,574,Septostomy- Balloon,"25,500.00","30,000.00"
13,1,575,Septostomy- Blade,"17,595.00","20,234.00"
13,1,576,Aortic valve balloon dilatation (AVBD) / pulmonary valve balloon dilatation (PVBD),"47,940.00","56,400.00"
13,1,577,Digital subtraction angiography-Peripheral artery,"12,400.00","14,610.00"
13,1,578,Digital subtraction angiography- venogram,"12,400.00","14,610.00"
13,1,579,CT Guided biopsy,"1,265.00","1,455.00"
13,1,580,Sinogram,860.00,989.00
13,1,581,Peripheral Angioplasty with VCD,"46,750.00","55,500.00"
13,1,582,Peripheral Angioplasty without VCD,"11,500.00","13,225.00"
13,1,583,Renal Angioplasty,"46,750.00","55,000.00"
13,1,584,Intravascular ultrasound (IVUS),"50,000.00","50,000.00"
13,1,585,Fractional flow reserve (FFR)- inclusive of cost of wire,"30,000.00","30,000.00"
13,1,586,Holter analysis,2125.00,2500.00
13,1,587,Aortic stent grafting for aortic aneurysm,"78,500.00","90,275.00"
13,1,588,Inferior Vena Cava (IVC) filter implantation (Cost of Filter extra),"25,500.00","30,000.00"
13,1,589,ASD/VSD/PDA device closure,deleted,deleted
13,1,590,Electrocardiogram (ECG),150.00,175.00
13,1,591,Head--up tilt test (HUTT),"3,400.00","4,000.00"
13,1,592,2D echocardiography,"1,255.00","1,475.00"
13,1,593,3D echocardiography,"1,403.00","1,613.00"
13,1,594,Fetal Echo,"1,360.00","1,600.00"
14,1,595,2D Transesophageal Echocardiography (TEE),"1,403.00","1,613.00"
14,1,596,3D Transesophageal Echocardiography (TEE),"1,403.00","1,613.00"
14,1,597,Stress Echo- exercise,"2,040.00","2,400.00"
14,1,598,Stress Echo- pharmacological,"2,550.00","3,000.00"
14,1,599,Stress Myocardial Perfusion Imaging (MPI)- exercise,"7,650.00","9,000.00"
14,1,600,Stress Myocardial Perfusion Imaging (MPI) - pharmacological,"7,650.00","9,000.00"
14,1,601,Coronary angiography,"11,240.00","13,225.00"
14,1,602,CT coronary angiography,"6,030.00","6,935.00"
14,1,603,Cardiac CT scan,"2,272.00","2,613.00"
14,1,604,Cardiac MRI,"6,800.00","8,000.00"
14,1,605,Stress Cardiac MRI,"3,000.00","3,450.00"
14,1,606,MR angiography.,"5,635.00","6,480.00"
14,1,607,Cardiac PET,"1,500.00","1,725.00"
14,1,608,Pericardiocentesis,"8,500.00","10,000.00"
14,1,609,Other Major Surgery,"20,000.00","23,000.00"
14,1,610,Other Minor Surgery,"4,250.00","4,888.00"
14,1,,TREATMENT PROCEDURE OBSTETRICS AND GYNAECOLOGY,,
14,1,611,Normal delivery with or without Episiotomy & P. repair,"7,500.00","8,625.00"
14,1,612,vacuum delivery,"8,000.00","9,200.00"
14,1,613,Forceps Delivery,"8,280.00","9,522.00"
14,1,614,Cesarean Section(CS),"14,050.00","16,158.00"
14,1,615,Cesarean Hysterectomy,"18,500.00","21,275.00"
14,1,616,Rupture Uterus closure & repair with Tubal Ligation,"17,000.00","19,550.00"
14,1,617,Perforation of Uterus after D/E Laparotomy & Closure,"13,800.00","15,870.00"
14,1,618,Laparotomy for Ectopic pregnancy,"13,800.00","15,870.00"
14,1,619,Laparotomy-peritonitis Lavage and Drainage,"11,500.00","13,225.00"
14,1,620,Salphingo-Oophorectomy/ Oophorectomy Laparoscopic,"10,000.00","11,500.00"
14,1,621,Ovarian Cystectomy-laparoscopic.,"10,350.00","11,903.00"
14,1,622,Ovarian Cystectomy -laparotomy.,"12,420.00","14,283.00"
14,1,623,Salpingo-Oophorectomy-laparotomy,"11,500.00","13,225.00"
14,1,624,Laparoscopic Broad Ligament Hematoma Drainage with repair,"6,900.00","7,935.00"
14,1,625,Exploration of perineal Haematoma & Repair,"7,200.00","8,280.00"
14,1,626,Exploration of abdominal Haematoma (after laparotomy + LSCS),"7,245.00","8,332.00"
14,1,627,Manual Removal of Placenta,"3,450.00","3,968.00"
14,1,628,Examination under anesthesia (EUA),"1,000.00","1,150.00"
14,1,629,Burst-abdomen Repair,"10,000.00","11,500.00"
14,1,630,Gaping Perineal Wound Secondary Suturing,"1,656.00","1,904.00"
14,1,631,Gaping abdominal wound Secondary Suturing,"3,105.00","3,571.00"
14,1,632,Complete perineal tear-repair,"2,128.00","2,447.00"
14,1,633,Exploration of PPH-tear repair,"3,500.00","4,025.00"
14,1,634,Suction evacuation vesicular mole,"5,000.00","5,750.00"
14,1,635,Suction evacuation Missed abortion/ incomplete abortion,"5,000.00","5,750.00"
14,1,636,Colpotomy,"3,450.00","3,968.00"
14,1,637,Repair of post-coital tear/ perineal injury,"3,508.00","4,034.00"
14,1,638,Excision of urethral caruncle,"3,200.00","3,680.00"
15,1,639,Shirodhkar/ McDonald stitch,"3,220.00","3,703.00"
15,1,640,Abdominal Hysterectomy with or without salpingo- oophorectomy,"15,525.00","17,854.00"
15,1,641,Non-descent Vaginal Hysterectomy (NDVH),"15,525.00","17,854.00"
15,1,642,Vaginal Hysterectomy with repairs (UV Prolapse),"15,525.00","17,854.00"
15,1,643,Myomectomy -laparotomy,"12,600.00","14,490.00"
15,1,644,Myomectomy -laparoscopic,"6,325.00","7,274.00"
15,1,645,Vaginoplasty,"14,950.00","17,193.00"
15,1,646,Vulvectomy -Simple,"9,200.00","10,580.00"
15,1,647,Vulvectomy-Radical,"9,200.00","10,580.00"
15,1,648,Rectovaginal Fistula (RVF) Repair,"18,975.00","21,821.00"
15,1,649,Manchester Operation,"15,000.00","17,250.00"
15,1,650,Shirodkar’s sling Operation or other sling operations for prolapse uterus,"3,450.00","3,968.00"
15,1,651,Laparoscopic sling operations for prolapse uterus,"25,200.00","28,980.00"
15,1,652,Diagnostic Curettage,"2,236.00","2,571.00"
15,1,653,Cervical Biopsy,"1,620.00","1,863.00"
15,1,654,Polypectomy,"1,518.00","1,746.00"
15,1,655,Other-Minor Operation Endometrial,"2,300.00","2,645.00"
15,1,656,Excision Vaginal Cyst/Bartholin Cyst,"3,450.00","3,968.00"
15,1,657,Excision Vaginal Septum,"4,140.00","4,761.00"
15,1,658,Laparoscopy -Diagnostic with chromopertubation and or adhesiolysis and drilling,"4,025.00","4,629.00"
15,1,659,Laparoscopy Sterilization,"3,450.00","3,968.00"
15,1,660,Laparoscopically Assisted Vaginal Hysterectomy (LAVH),"22,719.00","26,127.00"
15,1,661,Balloon Temponade for Post Partum Haemorrhage (PPH),"2,800.00","3,220.00"
15,1,662,Total laparoscopic hysterectomy,"22,719.00","26,127.00"
15,1,663,Laparoscopic treatment of Ectopic pregnancy- salpingectomy/salpingostomy conservative,"9,775.00","11,241.00"
15,1,664,Conisation of cervix,"4,025.00","4,629.00"
15,1,665,Trachelectomy of cervix for early CA cervix,"5,500.00","6,325.00"
15,1,666,Hysteroscopic cannulation,"2,875.00","3,306.00"
15,1,667,Laparotomy recannalization of Fallopian tubes- (Tubuloplasty),"20,183.00","23,210.00"
15,1,668,Laparoscopic recannalization of Fallopian tubes- (Tubuloplasty),"17,550.00","20,183.00"
15,1,669,Colposcopy,958.00,"1,102.00"
15,1,670,Inversion of Uterus – Vaginal Reposition,"2,500.00","2,875.00"
15,1,671,Inversion of Uterus – Abdominal Reposition,"2,500.00","2,875.00"
15,1,672,Laparoscopic Vesicovaginal Fistula (VVF) Repair,"25,200.00","28,980.00"
15,1,673,Abdominal Vesicovaginal Fistula (VVF) Repair,"25,200.00","28,980.00"
15,1,674,Vaginal Vesicovaginal Fistula (VVF) Repair,"25,200.00","28,980.00"
15,1,675,Interventional Ultrasonography- Chorionic villus sampling (CVS),880.00,"1,012.00"
15,1,676,Amniocentesis,880.00,"1,012.00"
15,1,677,Karyotyping,800.00,920.00
15,1,678,Thermal balloon ablation.,"11,500.00","13,225.00"
15,1,679,Ultrasonographic myolysis,"10,293.00","11,837.00"
15,1,680,Vaginal Myomectomy,"9,000.00","10,350.00"
15,1,681,Intra Uterine Inseminition,920.00,"1,058.00"
16,1,682,Intracytoplasmic sperm injection (ICSI),"11,500.00","13,225.00"
16,1,683,Laparotomy abdominal sacro-colpopexy,"15,000.00","17,250.00"
16,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,,
16,1,684,Vaginal Colpopexy,"19,800.00","22,770.00"
16,1,685,Laparoscopic abdominal sacro-colpopexy,"18,000.00","20,700.00"
16,1,686,Laparotomy pelvic Lymphadenectomy,"1,200.00","1,380.00"
16,1,687,Laparoscopic pelvic Lymphadenectomy,"3,500.00","4,025.00"
16,1,688,Endometrial aspiration cytology/biopsy,570.00,656.00
16,1,689,Transvaginal sonography (TVS for Follicular monitioring /aspiration),460.00,529.00
16,1,690,laparoscopic treatment for stress incontinence,"13,500.00","15,525.00"
16,1,691,Transvaginal tapes for Stress incontinence,"13,500.00","15,525.00"
16,1,692,trans-obturator tapes for Stress incontinence,"12,000.00","13,800.00"
16,1,693,Interventional radiographic arterial embolization,"18,000.00","20,700.00"
16,1,694,Diagnostic cystoscopy,"2,875.00","3,306.00"
16,1,695,Staging laparotomy surgery for Carcinoma Ovary,"6,325.00","7,274.00"
16,1,696,Internal Iliac ligation,"3,393.00","3,902.00"
16,1,697,stepwise devascularisation,"9,200.00","10,580.00"
16,1,698,Assisted breech delivery,"9,833.00","11,308.00"
16,1,699,Intra-uterine fetal blood transfusion,"19,148.00","22,020.00"
16,1,700,Hysteroscopy Transcervical Resection of Endometrium (TCRE),"8,500.00","9,775.00"
16,1,701,Hysteroscopy Removal of Intra-uterine Contraceptive Device (IUCD),"6,750.00","7,763.00"
16,1,702,Hysteroscopy Removal of Septum,"9,900.00","11,385.00"
16,1,703,Hysteroscopy Diagnostic,"6,750.00","7,763.00"
16,1,704,Radical Hysterectomy for Cancer cervix with pelvic lymphadenectomy,"8,500.00","9,775.00"
16,1,705,Radical Hysterectomy for Cancer endometrium extending to cervix with pelvic and para aortic lymphadenectomy,"8,500.00","9,775.00"
16,1,706,Sterilization Post partum (minilap),"3,750.00","4,313.00"
16,1,707,Sterilization interval (minilap),"3,750.00","4,313.00"
16,1,708,USG/Obstetrics for Anomalies scan,1700.00,2000.00
16,1,709,Fetal nuchal Translucency,300.00,345.00
16,1,710,Fetal Doppler/Umblical Doppler/Uterine Vessel Doppler,1425.00,1675.00
16,1,711,Medical Termination of Pregnancy (MTP)- 1st Trimester,"2,700.00","3,105.00"
16,1,712,Medical Termination of Pregnancy (MTP) - 2nd Trimester,"4,000.00","4,600.00"
16,1,713,Quadruple test,"2,000.00","2,300.00"
16,1,714,Biophysical score,540.00,621.00
16,1,715,Other Major Surgery,"28,000.00","32,200.00"
16,1,716,Other Minor Surgery,"5,000.00","5,750.00"
16,1,,TREATMENT PROCEDURE NEPHROLOGY AND UROLOGY,,
16,1,717,Partial Nephrectomy -open,"16,000.00","18,400.00"
16,1,718,Partial Nephrectomy-Laparoscopic/endoscopic,"14,490.00","16,664.00"
16,1,719,Nephrolithomy -open,"12,000.00","13,800.00"
16,1,720,Nephrolithomy -Laparoscopic/endoscopic,"14,000.00","16,100.00"
17,1,721,Pyelolithotomy-open,"13,000.00","14,950.00"
17,1,722,Pyelolithotomy -Laparoscopic/endoscopic,"10,580.00","12,167.00"
17,1,723,Operations for Hydronephrosis -pyeloplasty open,"18,400.00","21,160.00"
17,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
17,1,724,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,"19,000.00","21,850.00"
17,1,725,Operations for Hydronephrosis Endopyelotomy antegrade,"20,000.00","23,000.00"
17,1,726,Operations for Hydronephrosis Endoplyelotomy retrograde,"20,000.00","23,000.00"
17,1,727,Operations for Hydronephrosis -ureterocalicostomy,"18,000.00","20,700.00"
17,1,728,Operations for Hydronephrosis-Ileal ureter,"18,000.00","20,700.00"
17,1,729,Open Drainage of Perinephric Abscess,"7,500.00","8,625.00"
17,1,730,Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,"5,175.00","5,951.00"
17,1,731,Cavernostomy,"9,775.00","11,241.00"
17,1,732,Operations for Cyst of the Kidney -open,"11,960.00","13,754.00"
17,1,733,Operations for Cyst of the Kidney -Lap/endoscopic,"14,030.00","16,135.00"
17,1,734,Ureterolithotomy -open,"11,923.00","13,711.00"
17,1,735,Ureterolithotomy-Lap/Endoscopic,"10,000.00","11,500.00"
17,1,736,Nephroureterectomy open,"14,490.00","16,664.00"
17,1,737,Nephroureterectomy -Lap/Endoscopic,"16,100.00","18,515.00"
17,1,738,Operations for Ureter for -Double Ureters,"19,000.00","21,850.00"
17,1,739,Operations for Ureter -for Ectopia of Single Ureter,"18,000.00","20,700.00"
17,1,740,Operations for Vesicoureteric Reflux (VUR) -Open,"18,000.00","20,700.00"
17,1,741,Operations for Vesicoureteric Reflux (VUR)- Lap/Endoscopic,"18,000.00","20,700.00"
17,1,742,Operations for Vesicoureteric Reflux (VUR)/ Urinary incontinence with bulking agents,"20,700.00","23,805.00"
17,1,743,Ureterostomy - Cutaneous,"12,000.00","13,800.00"
17,1,744,Uretero-Colic anastomosis,"16,000.00","18,400.00"
17,1,745,Formation of an Ileal Conduit,"17,250.00","19,838.00"
17,1,746,Ureteric Catheterisation,8278.00,10950.00
17,1,747,Biopsy of Bladder (Cystoscopic),"2,300.00","2,645.00"
17,1,748,Cysto-Litholapaxy,"10,925.00","12,564.00"
17,1,749,Operations for Injuries of the Bladder,"10,000.00","11,500.00"
17,1,750,Suprapubic Drainage (Cystostomy/vesicostomy),"6,000.00","6,900.00"
17,1,751,Simple Cystectomy,"17,250.00","19,838.00"
17,1,752,Diverticulectomy -open,"16,000.00","18,400.00"
17,1,753,Diverticulectomy- Lap/Endoscopic,"18,400.00","21,160.00"
17,1,754,Diverticulectomy -Endoscopic incision of neck,"1,725.00","1,984.00"
17,1,755,Augmentation Cystoplasty,"6,670.00","7,671.00"
17,1,756,Operations for Exstrophy of the Bladder- Single stage repair,"22,300.00","25,645.00"
17,1,757,Operations for Exstrophy of the Bladder- Multistage repair,"20,815.00","23,937.00"
17,1,758,Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,"22,500.00","25,875.00"
17,1,759,Repair of Ureterocoel -Open,"13,800.00","15,870.00"
17,1,760,Repair of Ureterocoel -Lap/Endoscopic,"14,375.00","16,531.00"
