source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
3,1,99,Ectropion surgery- both lids,"2,500.00","2,875.00"
3,1,100,Epicanthus correction,"1,550.00","1,783.00"
3,1,101,Cantholysis and canthotomy,575.00,661.00
3,1,102,Entropion surgery- one lid,"1,380.00","1,587.00"
3,1,103,Entropion surgery- both lids,"2,000.00","2,300.00"
3,1,104,Tarsorraphy,650.00,748.00
3,1,105,Suturing of lid lacerations,"1,150.00","1,323.00"
3,1,106,Lid retraction repair,"1,700.00","1,955.00"
3,1,107,Concretions removal,115.00,132.00
3,1,108,Bucket handle procedure for lid tumors,345.00,397.00
3,1,109,Cheek rotation flap for lid tumors,"6,900.00","7,935.00"
3,1,110,Orbitotomy,"8,000.00","9,200.00"
3,1,111,Enucleation,"3,000.00","3,450.00"
3,1,112,Enucleation with orbital implants and artificial prosthesis,"3,000.00","3,450.00"
3,1,113,Evisceration,"3,105.00","3,571.00"
3,1,114,Evisceration with orbital implants and artificial prosthesis,"5,124.00","5,893.00"
3,1,115,Telecanthus correction,"4,658.00","5,357.00"
3,1,116,Orbital decompression,"5,175.00","5,951.00"
3,1,117,Exenteration,"5,175.00","5,951.00"
3,1,118,Exenteration with skin grafting,"6,210.00","7,142.00"
3,1,119,Fracture orbital repair,"8,280.00","9,522.00"
3,1,120,Retinal laser procedures,"1,500.00","1,725.00"
3,1,121,Retinal detachment surgery (RDS),"11,500.00","13,225.00"
3,1,122,Retinal detachment surgery (RDS) with scleral buckling,"13,800.00","15,870.00"
3,1,123,Buckle removal,"1,150.00","1,323.00"
3,1,124,Silicone oil removal,"2,800.00","3,220.00"
3,1,125,Anterior retinal cryopexy,"1,162.00","1,336.00"
3,1,126,Squint correction for one eye,"4,500.00","5,175.00"
3,1,127,Squint correction for both eyes,"6,750.00","7,763.00"
3,1,128,Trabeculectomy,"6,210.00","7,142.00"
3,1,129,Trabeculotomy,"6,210.00","7,142.00"
3,1,130,Trabeculectomy with Trabeculotomy,"9,315.00","10,712.00"
3,1,131,Trephination,"2,300.00","2,645.00"
3,1,132,Goniotomy,345.00,397.00
3,1,133,Glaucoma surgery with Glaucoma valves,6210+valve,7142.00+Val ve
3,1,134,Cyclocryotherapy,"1,150.00","1,323.00"
3,1,135,YAG laser iridotomy,"1,500.00","1,725.00"
3,1,136,YAG laser capsulotomy,"1,093.00","1,257.00"
3,1,137,ALT-Argon laser trabeculoplasty,"1,495.00","1,719.00"
3,1,138,PDT-Photodymic therapy,"3,450.00","3,968.00"
3,1,139,TTT- Transpupillary thermal therapy,"3,000.00","3,450.00"
3,1,140,PTK- Phototherapeutic keratectomy,"7,500.00","8,625.00"
