source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
9,1,481,Prolapse Rectum - Theirch Wiring,9315,10713,
9,1,482,Prolapse Rectum - Rectopexy,11900,14000,01.02.2024
9,1,483,Prolapse Rectum - Grahams Operation,Deleted,Deleted,01.02.2024
9,1,484,Operations for Hirschsprungs Disease,14260,16399,
9,1,485,Excision of Pilonidal Sinus (open),18700,22000,01.02.2024
9,1,486,Excision of Pilonidal Sinus with closure,21250,25000,01.02.2024
9,1,487,Abdomino-Perineal Excision of Rectum,18300,21045,
9,1,488,Anterior Resection of rectum,19665,22615,
9,1,489,Pull Through Abdominal Resection,15453,17771,
9,1,490,Retro Peritoneal Tumor Removal,16200,18630,
10,1,491,Radio ablation of varicose veins (RFA Ablation),7225,8500,01.02.2024
10,1,492,Laser ablation of varicose veins,34000,40000,01.02.2024
10,1,493,Laparoscopic Fundoplication,17370,19976,
10,1,494,Laparoscopic Splenectomy,25000,28750,
10,1,495,Laparoscopic Removal of hydatid cyst,18000,20700,
10,1,496,Laparoscopic treatment of Pseudo Pancreatic cyst,18000,20700,
10,1,497,Laparoscopic Whipple's operation (Laparoscopic Pancreatico Duodenectomy,20000,23000,
10,1,498,Laparoscopic GI bypass operation,22000,25300,
10,1,499,Laparoscopic Total Colectomy,25000,28750,
10,1,500,Laparoscopic Hemicolectomy,23000,26450,
10,1,501,Laparoscopic Anterior Resection (of Intestine/ Rectum),23000,26450,
10,1,502,Laparoscopic Cholecystetomy,28050,33000,01.02.2024
10,1,503,Laparoscopic Appedicectomy,25500,30000,01.02.2024
10,1,504,Laparoscopic Hernia - inguinoplasty (including Tacker and Mesh),29750,35000,01.02.2024
10,1,505,Laparoscopic ventral Hernia Repair,17500,20125,
10,1,506,Laparoscopic Paraumblical Hernia Repair,17500,20125,18.02.2015
10,1,507,Laparoscopic Adrenelectomy,12000,13800,
10,1,508,Laparoscopic Nephrectomy,22000,25300,
10,1,509,Other Major Surgery,Deleted,Deleted,01.02.2024
10,1,510,Other Minor Surgery,Deleted,Deleted,01.02.2024
10,1,,TREATMENT PROCEDURE ICU/CCU PROCEDURES (SPECIAL CARE CASES),,,
10,1,511,Coronary Care with Cardiac Monitoring (Room Rent extra),750,863,
10,1,512,Compressed air / piped oxygen /per hour,50,58,12.04.2019
10,1,513,Ventilator charges (Per day),531,611,
10,1,514,Paediatric care for New born (Per day),186,214,
10,1,515,Incubator charges (Per day),345,397,
10,1,516,Neonatal ICU charges (Per day),391,450,
10,1,517,Resuscitation,184,212,
10,1,518,Exchange Transfusion,239,275,
10,1,519,Pneupack ventilator in Nursery (Per day),575,661,
10,1,,TREATMENT PROCEDURE CARDIOVASCULAR AND CARDIAC SURGERY & INVESTIGATIONS,,,
10,1,520,Atrial Septal Defect(ASD) closure Ventricular septal defect (VSD) with graft,46627,53621,
10,1,521,,46627,53621,
10,1,522,TOF/TAPVC/TCPC/REV/RSOV repair,114368,131522,
10,1,523,BD Glenn/Left atrium myxoma,72675,85500,
10,1,524,Senning/Arterial Switch Operation (ASO) with graft,109969,126464,
10,1,525,Double Switch Operation (DSO),93254,107241,
10,1,526,Atrioventricular(AV) canal repair,144900,166635,
10,1,527,Fontan PROCEDURE,152100,174915,
10,1,528,Conduit repair,152100,174915,
10,1,529,Coronary Artery Bypass Graft surgery (CABG),127075,146136,
10,1,530,CABG + Intra-Aortic Balloon Pump (IABP),169000,194350,
10,1,531,CABG + Valve.,152100,174915,
10,1,532,CABG without bypass.,126000,144900,
10,1,533,Ascending aorta replacement,130000,149500,
10,1,534,Double Valve Replacement (DVR),155422,178735,18.02.2015
10,1,535,Mitral valve Replacement(MVR)/ Aortic valve Replacement(AVR),93254,107241,
10,1,536,Mitral Valve repair + Aortic Valve repair,93254,107241,
10,1,537,Aorta femoral bypass,46800,53820,
10,1,538,Blalock-Taussig shunt (BT Shunt) / Coarctation,46782,53799,
10,1,539,Pulmonary Artery Banding (PA Banding) Septostomy,46782,53799,
10,1,540,Pericardectomy,38088,43801,
10,1,541,Congenital cytomegalovirus (CMV)/ patent ductus arteriosus (PDA),46782,53799,
10,1,542,Gunshot injury,46782,53799,
10,1,543,Heart transplant,276000,317400,
11,1,544,Balloon coronary angioplasty/PTCA,78200,92000,19.12.2023
11,1,545,Balloon coronary angioplasty/PTCA without Vascular Closure Device,71150,83725,19.12.2023
11,1,546,Rotablation,47775,56206,19.12.2023
11,1,547,Balloon Mitral Valvotomy / Percutaneous transvenous mitral commissurotomy (PTMC) -,77000,90700,19.12.2023
11,1,548,Cardiac Catheterization (CATH),11510,13545,19.12.2023
11,1,549,Aortic Arch Replacement,10350,11903,
11,1,550,Aortic Dissection,12650,14548,
11,1,551,Thoraco Abdominal Aneurism Repair,15000,17250,
11,1,552,Embolectomy,21000,24150,
11,1,553,Vascular Repair,36000,41400,
11,1,554,Bentall Repair with Prosthetic Valve,30000,34500,
11,1,555,Bentall Repair with Biologic Valve,114750,135000,
11,1,556,Coaractation dilatation,60860,71600,19.12.2023
11,1,557,Coaractation dilatation with Stenting,18500,21275,
11,1,558,TPI Single Chamber,16320,19200,
11,1,559,TPI Dual Chamber,8160,9600,
11,1,560,Permanent pacemaker implantation (PPI)- Single chamber,27200,32000,19.12.2023
11,1,561,Permanent pacemaker implantation- Dual Chamber,36550,43000,19.12.2023
11,1,562,Permanent pacemaker implantation (PPI)- Biventricular,42180,49625,19.12.2023
11,1,563,Automatic implantable Cardioverter defibrillator AICD Single chamber,42500,50000,19.12.2023
11,1,564,Automatic implantable Cardioverter defibrillator AICD - Dual Chamber,44500,52350,19.12.2023
11,1,565,Combo device implantation,50150,59000,19.12.2023
11,1,566,Diagnostic Electrophysiological studies conventional (including catheter),56100,66000,19.12.2023
11,1,567,Ambulatory BP monitoring,1000,1000,19.12.2023
11,1,568,External Loop/event recording ( maximum up to 7 days),"1,500 first day and 1,000 for subsequent days","1,500 first day and 1,000 for subsequent days",19.12.2023
11,1,569,RF Ablation conventional,35000,40250,19.12.2023
11,1,570,Radiofrequency (RF) ablation Atrial Tachycardia/with 3-D mapping – all inclusive,153850,181000,19.12.2023
11,1,571,Endomyocardial biopsy,Deleted,Deleted,19.12.2023
11,1,572,Intra aortic balloon pump (IABP),7038,8094,19.12.2023
11,1,573,Intravascular coils,63750,75000,19.12.2023
11,1,574,Septostomy- Balloon,25500,30000,19.12.2023
11,1,575,Septostomy- Blade,17595,20235,
11,1,576,Aortic valve balloon dilatation (AVBD) / Pulmonary valve Balloon Dilatation (PVBD),47940,56400,19.12.2023
11,1,577,Digital subtraction angiography-Peripheral artery,12400,14610,19.12.2023
11,1,578,Digital subtraction angiography- venogram,12400,14610,19.12.2023
11,1,579,CT Guided biopsy,1139,1310,
11,1,580,Sinogram,863,992,
11,1,581,Peripheral Angioplasty with VCD,11500,13225,
11,1,582,Peripheral Angioplasty,46750,55500,19.12.2023
11,1,583,Renal Angioplasty,46750,55000,19.12.2023
11,1,584,Intravascular ultrasound (IVUS),50000,50000,19.12.2023
11,1,585,Fractional Flow Reserve (FFR) inclusive of cost of wire,30000,30000,19.12.2023
11,1,586,Holter analysis,2125,2500,19.12.2023
11,1,587,Aortic stent grafting for aortic aneurysm,70650,81248,
11,1,588,Inferior Vena Cava (IVC) filter implantation (Cost of Filter extra),25500,30000,19.12.2023
11,1,589,ASD device closure,84065,98900,19.12.2023
11,1,589,VSD device closure,93415,109900,19.12.2023
11,1,589,PDA device closure,46750,55000,19.12.2023
11,1,590,Electrocardiogram (ECG),150,175,19.06.2023
11,1,591,Head--up tilt test (HUTT),3400,4000,19.12.2023
11,1,592,2D echocardiography,1255,1475,19.06.2023
11,1,593,3D echocardiography,1263,1485,
11,1,594,Fetal Echo,1360,1600,19.06.2023
11,1,595,2D Transesophageal Echocardiography (TEE),1263,1485,
12,1,596,3D Transesophageal Echocardiography (TEE),1403,1650,
12,1,597,Stress Echo- exercise,2040,2400,19.06.2023
12,1,598,Stress Echo- pharmacological,2550,3000,19.06.2023
12,1,599,Stress Myocardial Perfusion Imaging(MPI)-exercise,7650,9000,19.12.2023
12,1,600,Stress Myocardial Perfusion Imaging (MPI) – pharmacological,7650,9000,19.12.2023
12,1,601,Coronary angiography,11240,13225,19.12.2023
12,1,602,CT coronary angiography,6030,6935,
12,1,603,Cardiac CT scan,2045,2352,
12,1,604,Cardiac MRI,6800,8000,19.06.2023
12,1,605,Stress Cardiac MRI,3000,3450,
12,1,606,MR angiography.,5635,6480,
12,1,607,Cardiac PET,1500,1725,
12,1,608,Pericardiocentesis,8500,10000,19.12.2023
12,1,609,Other Major Surgery,20000,23000,
12,1,610,Other Minor Surgery,4250,5000,
12,1,,TREATMENT PROCEDURE OBSTETRICS AND GYNAECOLOGY,,,
12,1,611,Normal delivery with or without Episiotomy & P. repair,8000,9200,
12,1,612,vacuum delivery,8625,9919,
12,1,613,Forceps Delivery,9200,10580,
12,1,614,Cesarean Section(CS),14050,16158,
12,1,615,Cesarean Hysterectomy,17078,19639,
12,1,616,Rupture Uterus closure & repair with Tubal Ligation,17250,19838,
12,1,617,Perforation of Uterus after D/E Laparotomy & Closure,13800,15870,
12,1,618,Laparotomy for Ectopic pregnancy,13800,15870,
12,1,619,Laparotomy-peritonitis Lavage and Drainage,11500,13225,
12,1,620,Salphingo-Oophorectomy/ Oophorectomy Laparoscopic,10000,11500,
12,1,621,Ovarian Cystectomy-laparoscopic.,10350,11903,
12,1,622,Ovarian Cystectomy -laparotomy.,12420,14283,
12,1,623,Salpingo-Oophorectomy-laparotomy,10368,11923,
12,1,624,Laparoscopic Broad Ligament Hematoma Drainage with repair,6900,7935,
12,1,625,Exploration of perineal Haematoma & Repair,8000,9200,
12,1,626,Exploration of abdominal Haematoma (after laparotomy + LSCS),8050,9258,
12,1,627,Manual Removal of Placenta,3450,3968,
12,1,628,Examination under anesthesia (EUA),1000,1150,
12,1,629,Burst-abdomen Repair,10000,11500,
12,1,630,Gaping Perineal Wound Secondary Suturing,1490,1714,
12,1,631,Gaping abdominal wound Secondary Suturing,3450,3968,
12,1,632,Complete perineal tear-repair,2128,2447,
12,1,633,Exploration of PPH-tear repair,3500,4025,
12,1,634,Suction evacuation vesicular mole,5000,5750,
12,1,635,Suction evacuation Missed abortion/ incomplete abortion,4658,5356,
12,1,636,Colpotomy,3450,3968,
12,1,637,Repair of post-coital tear/ perineal injury,3508,4034,
12,1,638,Excision of urethral caruncle,3450,3968,
12,1,639,Shirodhkar/ McDonald stitch,3220,3703,
12,1,640,Abdominal Hysterectomy with or without salpingo-oophorectomy,15525,17854,
12,1,641,Non-descent Vaginal Hysterectomy (NDVH),17250,19838,
12,1,642,Vaginal Hysterectomy with repairs (UV Prolapse),17250,19838,
12,1,643,Myomectomy -laparotomy,12600,14490,
12,1,644,Myomectomy -laparoscopic,6325,7274,
12,1,645,Vaginoplasty,14950,17193,
12,1,646,Vulvectomy -Simple,8280,9522,
12,1,647,Vulvectomy-Radical,9200,10580,
12,1,648,Rectovaginal Fistula (RVF) Repair,18975,21821,18.02.2015
12,1,649,Manchester Operation,15000,17250,
12,1,650,Shirodkar’s sling Operation or other sling operations for prolapse uterus,3450,3968,
12,1,651,Laparoscopic sling operations for prolapse uterus,25200,28980,
13,1,652,Diagnostic Curettage,2484,2857
13,1,653,Cervical Biopsy,1800,2070
13,1,654,Polypectomy,1366,1571
13,1,655,Other-Minor Operation Endometrial,2300,2645
13,1,656,Excision Vaginal Cyst/Bartholin Cyst,3450,3968
13,1,657,Excision Vaginal Septum,4600,5290
13,1,658,Laparoscopy -Diagnostic with chromopertubation and or adhesiolysis and drilling,4025,4629
13,1,659,Laparoscopy Sterilization,3450,3968
13,1,660,LAVH,22719,26126
13,1,661,Balloon Temponade for PPH,2800,3220
13,1,662,Total laparoscopic hysterectomy,22719,26126
13,1,663,Laparoscopic treatment of Ectopic pregnancy- salpingectomy/salpinostomy conservative,8798,10117
13,1,664,Conisation of cervix,4025,4629
13,1,665,Trachhelectomy of cervix for early CA cervix,4950,5693
13,1,666,Hysteroscopic cannulation,2875,3306
13,1,667,Laparotomy recannalization of Fallopian tubes-(Tubuloplasty),20183,23210
13,1,668,Laparoscopic recannalization of Fallopian tubes- (Tubuloplasty),17550,20183
13,1,669,Colposcopy,958,1102
13,1,670,Inversion of Uterus – Vaginal Reposition,2500,2875
13,1,671,Inversion of Uterus – Abdominal Reposition,2500,2875
13,1,672,Laparoscopic VVF Repair,25200,28980
13,1,673,Abdominal VVF Repair,25200,28980
13,1,674,Vaginal VVF Repair,25200,28980
13,1,675,Interventional Ultrasonography (CVS),880,1012
13,1,676,Amniocentesis,880,1012
13,1,677,Karyotyping,800,920
13,1,678,Thermal balloon ablation.,11500,13225
13,1,679,Ultrasonographic myolysis,9264,10653
13,1,680,Vaginal Myomectomy,9000,10350
13,1,681,Intra Uterine Inseminition,920,1058
13,1,682,ICSI,11500,13225
13,1,683,Laparotomy abdominal sacro-colpopexy,15000,17250
13,1,684,Vaginal Colpopexy,19800,22770
13,1,685,Laparoscopic abdominal sacro-colpopexy,20000,23000
13,1,686,Laparotomy pelvic Lymphadenectomy,1200,1380
13,1,687,Laparoscopic pelvic Lymphadenectomy,3500,4025
13,1,688,Endometrial aspiration cytology/biopsy,513,590
13,1,689,Transvaginal sonography (TVS for Follicular monitioring /aspiration),460,529
13,1,690,laparoscopic treatment for stress incontinence,13500,15525
13,1,691,Transvaginal tapes for Stress incontinence,13500,15525
13,1,692,trans-obturator tapes for Stress incontinence,12000,13800
13,1,693,Interventional radiographic arterial embolization,16200,18630
13,1,694,Diagnostic cystoscopy,2875,3306
13,1,695,Staging laparotomy surgery for CA Ovary,6325,7274
13,1,696,Internal Iliac ligation,3393,3902
13,1,697,stepwise devascularisation,9200,10580
13,1,698,Assisted breech delivery,9833,11308
13,1,699,Intra-uterine fetal blood transfusion,21275,24466
13,1,700,Hysteroscopy TCRE,8500,9775
13,1,701,Hysteroscopy Removal of IUCD,7500,8625
13,1,702,Hysteroscopy Removal of Septum,11000,12650
13,1,703,Hysteroscopy Diagnostic,7500,8625
13,1,704,Radical Hysterectomy for Cancer cervix with pelvic lymphadenectomy,7650,8798
13,1,705,Radical Hysterectomy for Cancer endometrium extending to cervix with pelvic and para aortic lymphadenectomy,8500,9775
13,1,706,Sterilization Post partum (minilap),3750,4313
13,1,707,Sterilization interval (minilap),3750,4313
14,1,708,Ultrasonography Level II scan/Anomaly Scan,1700,2000,19.06.2023
14,1,709,Fetal nuchal Translucency,300,345,
14,1,710,Fetal Doppler/Umblical Doppler/Uterine Vessel Doppler (USG Colour Doppler Pregnancy),1425,1675,19.06.2023
14,1,711,MTP- 1st Trimester,3000,3450,
14,1,712,MTP - 2nd Trimester,4370,5026,
14,1,713,Quadruple test,2000,2300,
14,1,714,Biophysical score,600,690,
14,1,715,Other Major Surgery,25200,28980,
14,1,716,Other Minor Surgery,5000,5750,
14,1,,TREATMENT PROCEDURE NEPHROLOGY AND UROLOGY,,,
14,1,717,Partial Nephrectomy -open,14594,16782,
14,1,718,Partial Nephrectomy-laproscopic/endoscopic,13041,14998,
14,1,719,Nephrolithomy -open,12000,13800,
14,1,720,Nephrolithomy -laproscopic/endoscopic,14000,16100,
14,1,721,Pyelolithotomy-open,13000,14950,
14,1,722,Pyelolithotomy -laproscopic/endoscopic,9522,10950,
14,1,723,Operations for Hydronephrosis -pyeloplasty open,16560,19044,
14,1,724,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,19000,21850,
14,1,725,Operations for Hydronephrosis Endoplyelotomy antegrade,18000,20700,
14,1,726,Operations for Hydronephrosis Endoplyelotomy retrograde,18000,20700,
14,1,727,Operations for Hydronephrosis -ureterocalicostomy,18000,20700,
14,1,728,Operations for Hydronephrosis-Ileal ureter,18000,20700,
14,1,729,Open Drainage of Perinephric Abscess,8000,9200,
14,1,730,Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,5750,5750,
14,1,731,Cavernostomy,9775,11500,
14,1,732,Operations for Cyst of the Kidney -open,10764,12379,
14,1,733,Operations for Cyst of the Kidney -Lap/endoscopic,14030,16135,
14,1,734,Ureterolithotomy -open,13248,15235,
14,1,735,Ureterolithotomy-Lap/Endoscopic,10000,11500,
14,1,736,Nephroureterectomy open,14490,16664,
14,1,737,Nephroureterectomy -Lap/Endoscopic,14490,16664,
14,1,738,Operations for Ureter for -Double Ureters,17100,19665,
14,1,739,Operations for Ureter -for Ectopia of Single Ureter,18000,20700,
14,1,740,Operations for Vesico- ureteric Reflux -Open,18000,20700,
14,1,741,Operations for Vesico- ureteric Reflux-Lap/Endoscopic,18000,20700,
14,1,742,Operations for Vesico- ureteric Reflux/ Urinary incontinence with bulking agents,18630,21425,
14,1,743,Ureterostomy - Cutaneous,12000,13800,
14,1,744,Uretero-Colic anastomosis,16000,18400,
14,1,745,Formation of an Ileal Conduit,15525,17854,
14,1,746,Ureteric Catheterisation,8278,10950,18.02.2015
14,1,747,Biopsy of Bladder (Cystoscopic),2300,2645,
14,1,748,Cysto-Litholapaxy,9833,11308,
14,1,749,Operations for Injuries of the Bladder,10000,11500,
14,1,750,Suprapubic Drainage (Cystostomy/vesicostomy),6000,6900,
14,1,751,Simple Cystectomy,15525,17854,
14,1,752,Diverticulectomy -open,16000,18400,
14,1,753,Diverticulectomy- Lap/Endoscopic,16560,19044,
14,1,754,Diverticulectomy -Endoscopic incision of neck,1553,1786,
14,1,755,Augmentation Cystoplasty,6670,7671,
14,1,756,Operations for Extrophy of the Bladder- Single stage repair,20070,23081,
14,1,757,Operations for Extrophy of the Bladder- Multistage repair,18734,21543,
14,1,758,Operations for Extrophy of the Bladder- simple cystectomy with urinary diversion,20250,23288,
14,1,759,Repair of Ureterocoel -Open,13800,15870,
14,1,760,Repair of Ureterocoel -Lap/Endoscopic,14375,16531,
14,1,761,Repair of Ureterocoel -Endoscopic incision,11700,13450,
14,1,762,Open Suprapubic Prostatectomy,18630,21425,
15,1,763,Open Retropubic Prostatectomy,18113,20830,
15,1,764,Transurethral Resection of Prostate (TURP),18630,21425,
15,1,765,Urethroscopy/ Cystopanendoscopy,4600,5290,
15,1,766,Internal urethrotomy -optical,5750,6613,
15,1,767,Internal urethrotomy -Core through urethroplasty,9936,11426,
15,1,768,Urethral Reconstruction -End to end ansatamosis,3450,3968,
15,1,769,Urethral Reconstruction - substitution urethroplasty (Transpubic urethroplasty,17595,20235,
15,1,770,Abdomino Perineal urethroplasty,12600,14490,
15,1,771,Posterior Urethral Valve fulguration.,10143,11665,
15,1,772,Operations for Incontinence of Urine - Male -Open,15525,17854,
15,1,773,Operations for Incontinence of Urine - Male -Sling,16560,19044,
15,1,774,Operations for Incontinence of Urine - Male-Bulking agent,17492,20115,
15,1,775,Operations for Incontinence of Urine - Female -Open,15525,17854,
15,1,776,Operations for Incontinence of Urine - Female-Sling,16560,19044,
15,1,777,Operations for Incontinence of Urine - Female-Bulking agent,17492,20115,
15,1,778,Reduction of Paraphimosis,1553,1786,
15,1,779,Circumcision,3000,3450,
15,1,780,Meatotomy,2346,2698,
15,1,781,Meatoplasty,2898,3333,
15,1,782,Operations for Hypospadias + Chordee Correction,8280,9522,
15,1,783,Operations for Hypospadias - Second Stage,13500,15525,
15,1,784,Operations for Hypospadias - One Stage Repair,9200,10580,
15,1,785,Operations for Crippled Hypospadias,11500,13225,
15,1,786,Operations for Epispadias _primary repair,11334,13034,
15,1,787,Operations for Epispadias-crippled epispadias,10247,11784,
15,1,788,Partial Amputation of the Penis,9688,11141,
15,1,789,Total amputation of the Penis,10800,12420,
15,1,790,Orchidectomy-Simple,9775,11241,
15,1,791,Orchidectomy -Radical,10868,12498,
15,1,792,Post Radical Orchidectomy retroperitoneal lymph node dissection.,14000,16100,
15,1,793,Epididymectomy,15938,18750,18.02.2015
15,1,794,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma- Open,22770,26186,
15,1,795,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma - Lap/Endoscopic,12938,14878,
15,1,796,Operations for Hydrocele - Unilateral,5865,6745,
15,1,797,Operations for Hydrocele - Bilateral,7700,8855,
15,1,798,Operation for Torsion of Testis,11500,13225,
15,1,799,Micro-surgical Vasovasostomy /Vaso epidedymal ansatamosis.,9936,11426,
15,1,800,Operations for Varicocele Unilateral-Microsurgical,7705,8861,
15,1,801,Operations for Varicocele Palomo’s Unilateral - Lap,8280,9522,
15,1,802,Operations for Varicocele Bilateral --Microsurgical,12650,14548,
15,1,803,Operations for Varicocele Bilateral – Lap/ Palomo,14950,17193,
15,1,804,Block Dissection of ilio-inguinal Nodes - One Side (For Ca- Penis),6325,7274,
15,1,805,Block Dissection of ilio-inguinal Nodes - Both Sides (For Ca- Penis),20700,23805,
15,1,806,Excision of Filarial Scrotum,11500,13225,
15,1,807,Kidney Transplantation (related),200000,230000,18.02.2015
15,1,808,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,300000,345000,18.02.2015
15,1,809,ABO incompatible Transplantation,441000,507150,
15,1,810,Swap Transplantation,349200,401580,
15,1,811,Kidney Transplant Graft Nephrectomy,59500,70000,
15,1,812,Donor Nephrectomy (open),28750,33063,
15,1,813,Donor Nephrectomy (Laproscopic),46000,52900,
15,1,814,Cadaver Transplantation,83300,95795,
15,1,815,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Unilateral,28000,32200,
15,1,816,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Bilateral,76500,87975,
15,1,817,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Unilateral,76500,87975,
16,1,818,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Bilateral,76500,87975
16,1,819,Post-Transplant Collection drainage for Lymphocele (open),6120,7200
16,1,820,Post-Transplant Collection drainage for Lymphocele (percutaneous),6120,7200
16,1,821,Post-Transplant Collection drainage for Lymphocele (Laproscopic),6885,8100
16,1,822,Arteriovenous Fistula for Haemodialysis,2300,2645
16,1,823,Arteriovenous Shunt for Haemodialysis,3500,4025
16,1,824,Jugular Catheterization for Haemodialysis,1500,1725
16,1,825,Subclavian Catheterization for Haemodialysis,2025,2329
16,1,826,One sided (single Lumen) Femoral Catheterization for Haemodialysis,1000,1150
16,1,827,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,1500,1725
16,1,828,Double Lumen Femoral Catheterization for Haemodialysis,1850,2128
16,1,829,Permcath Insertion,2800,3220
16,1,830,Arterio venous Prosthetic Graft,1850,2128
16,1,831,Single lumen Jugular Catheterization,1500,1725
16,1,832,Single lumen Subclavian Catheterization,1700,2000
16,1,833,Plasma Exchange/ Plasma phresis,1725,1984
16,1,834,Open method CAPD catheter insertion,3150,3623
16,1,835,Schlendinger method CAPD catheter insertion,3150,3623
16,1,836,Sustained low efficiency hemodialysis,1250,1438
16,1,837,Continuous Veno venous/Arteriovenous Hemofilteration,2250,2588
16,1,838,Hemodialysis for Sero negative cases,1400,1610
16,1,839,Hemodialysis for Sero Positive cases,1650,1898
16,1,840,Acute Peritoneal Dialysis,1450,1668
16,1,841,Fistologram for Arteriovenous Fistula,2250,2588
16,1,842,Ultrasound guided kidney Biopsy,850,978
16,1,843,Fistula stenosis dilation,3000,3450
16,1,844,Slow continuous Ultrafilteration,2250,2588
16,1,845,PCNL - Unilateral,20000,23000
16,1,846,PCNL - Bilateral,25000,28750
16,1,847,Endoscopic Bulking agent Inject,4500,5175
16,1,848,Testicular Biopsy,1760,2023
16,1,849,Radical Nephrectomy -Open,17250,19838
16,1,850,Radical Nephrectomy -Lap/Endoscopic,20700,23805
16,1,851,Radical Nephrectomy plus IV thrombus,20700,23805
16,1,852,Radical Nephrectomy plus IV thrombus plus cardiac bypass.,20700,23805
16,1,853,Vesico Vaginal Fistula Repair (Open),16000,18400
16,1,854,Vesico Vaginal Fistula Repair (Laproscopic),22000,25300
16,1,855,Radical Cystectomy -Ileal conduit,17000,20000
16,1,856,Radical Cystectomy - continent diversion.,15000,17250
16,1,857,Radical Cystectomy – Neo bladder,16650,19148
16,1,858,Nephrectomy Simple -Open,10074,11585
16,1,859,Nephrectomy Simple-lap/Endoscopic,11334,13034
16,1,860,Nephrostomy -Open,10000,11500
16,1,861,Nephrostomy -Lap/Endoscopic,10704,12593
16,1,862,Ureteric Re- implant for Megaureter/Vesicoureteric reflex/uterocele (open),10494,12068
16,1,863,Ureteric Re -implant for Megaureter/Vesicoureteric reflex/ uterocele (Laproscopic),10494,12068
16,1,864,Partial Cystectomy,13800,15870
16,1,865,TURP & TUR Bladder Tumour,15525,17854
16,1,866,TURP with Cystolithotripsy,17000,19550
16,1,867,Closure of Urethral Fistula,9900,11385
16,1,868,Orchidopexy - Unilateral -Open,9867,11347
16,1,869,Orchidopexy - Unilateral- Lap/Endoscopic,12334,14184
16,1,870,Orchidopexy - Bilateral -Open,12282,14124
16,1,871,Orchidopexy - Bilateral -Lap/Endoscopic,14500,16675
16,1,872,Cystolithotomy -Suprapubic,9775,11241
16,1,873,Endoscopic Removal of Stone in Bladder,3450,3968
17,1,874,Resection Bladder Neck Endoscopic /Bladder neck incision/transurethral incision on prostrate,9833,11308,
17,1,875,Ureteroscopic Surgery,9315,10713,
17,1,876,Urethroplasty 1st Stage,10925,12564,
17,1,877,Scrotal Exploration,8556,9839,
17,1,878,Perineal Urethrostomy,4715,5422,
17,1,879,Dilatation of Stricture Urethra under G.A.,2000,2300,
17,1,880,Dilatation of Stricture Urethra under LA,1553,1786,
17,1,881,Laproscopic Nephrectomy,30015,34518,
17,1,882,Laproscopic partial Nephrectomy,10000,11500,
17,1,883,Laproscopic pyelolithotomy,12650,14548,
17,1,884,Laproscopic Pyeloplasty,9775,11241,
17,1,885,Laproscopic surgery for Renal cyst,9775,11241,
17,1,886,Laproscopic ureterolithotomy,11500,13225,
17,1,887,Laproscopic Nephro ureterotectomy,11903,13688,
17,1,888,Lithotripsy Extra corporeal shock wave.,19550,22483,18.02.2015
17,1,889,Uroflow Study (Uroflometry),450,518,
17,1,890,Urodynamic Study (Cystometry),480,552,
17,1,891,Cystoscopy with Retrograde Catheter -Unilateral /RGP,2523,2901,
17,1,892,Cystoscopy with Retrograde Catheter - Bilateral /RGP,4208,4950,
17,1,893,Cystoscopy with Bladder Biopsy (Cold Cup Biopsy),3381,3888,
17,1,894,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),414,476,
17,1,895,Radical prostatectomy-Open,16043,18449,
17,1,896,Radical prostatectomy-Laproscopic,18113,20830,
17,1,897,Radical prostatectomy- Robotic (Robotic Partial Nephrectomy),18113,20830,
17,1,898,Hollmium YAG Prostate Surgery,15000,17250,
17,1,899,Hollmium YAG OIU,4600,5290,
17,1,900,Hollmium YAG Core Through,17250,19838,
17,1,901,Hollmium YAG Stone Lithotripsy,10200,12000,
17,1,902,Green Light laser for prostate,17250,19838,
17,1,903,RIRS/ Flexible Ureteroscopy,6800,7820,
17,1,904,Microscopic VEA/ Vaso-Vasostomy (for Infertility),13500,15525,
17,1,905,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder),6800,7820,
17,1,906,Peyronie’s disease – Plaque excision with grafting,3400,4000,
17,1,907,High Intensity Focus Ultrasound (HIFU) (Robotic) for Carcinoma prostrate and renal cell carcinoma,4600,5290,
17,1,908,Prosthetic surgery for urinary incontinence,2300,2645,
17,1,909,TRUS guided prostate biopsy,575,661,
17,1,910,Ultra sound guided PCN,648,745,
17,1,911,Other Major Surgery,15000,17250,
17,1,912,Other Minor Surgery,6800,7820,
17,1,,TREATMENT PROCEDURE NEURO-SURGERY,,,
17,1,913,Craniotomy and Evacuation of Haematoma -Subdural,45644,52490,
17,1,914,Craniotomy and Evacuation of Haematoma -Extradural,50000,57500,
