Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
15,HOSP36G132855,Superintendent- Govt. Maternity Hospital- Nayapul,TELANGANA,HYDERABAD,,,,9848028160,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
16,HOSP36G132856,Area Hospital - Mancherial,TELANGANA,MANCHERIAL,,,,9440093820,"M1,M7,M2,S1,S2,S3,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S2, S3, S5, S6"
17,HOSP36G132857,Area Hospital - Gadwal,TELANGANA,JOGULAMBA GADWAL,,,,8008553810,"M1,S7,S10,S11,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, S7, S10, S11, S4"
18,HOSP36G132858,GOVERNMENT GENERAL HOSPITAL - SURYAPET,TELANGANA,SURYAPET,,,,9603366863,"M1,M1,M2,S8,M1,M7,M1,S7,M2,S1,S10,S11,S15,S2,S4,S5,S6,S7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S10, S11, S15, S2, S4, S5, S6"
19,HOSP36G132859,Nims Hospitals,TELANGANA,HYDERABAD,,,,9490076060,"M1,M1,M2,S8,M1,M7,M1,S7,M4,M5,M6,S1,S10,S11,S12,S13,S14,S15,S2,S3,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M4, M5, M6, S1, S10, S11, S12, S13, S14, S15, S2, S3, S5, S6, S9"
20,HOSP36G132860,District Hospital -  Kingkoti,TELANGANA,HYDERABAD,,,,9848136841,"S1,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"S1, S2, S3, S4, S5, S6"
21,HOSP36G132861,District Hospital - Karimnagar,TELANGANA,KARIMNAGAR,,,,9603366760,"M1,M7,M1,S7,M2,S1,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S2, S3, S4, S5, S6"
22,HOSP36G132862,District Hospital-Khammam-,TELANGANA,KHAMMAM,,,,9849177140,"M1,M1,M2,S8,M1,M7,M1,S7,M2,S1,S10,S11,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S10, S11, S2, S3, S4, S5, S6"
23,HOSP36G132863,GOVERNMENT GENERAL HOSPITAL  - Nizamabad,TELANGANA,NIZAMABAD,,,,9440723798,"M1,M2,S8,M1,M7,M2,S1,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S1, S2, S3, S4, S5, S6"
24,HOSP36G132864,Government Maternity Hospital Warangal,TELANGANA,WARANGAL URBAN,,,,9849903034,"S15,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"S15, S4"
25,HOSP36G132865,Area Hospital - Nampally,TELANGANA,HYDERABAD,,,,8008553890,"M1,M7,M2,M3,S1,S2,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, M3, S1, S2, S3, S4, S5"
