S.No,City,AD City Name,City ID,Hospital Name,Accreditation,Tier Type,Address,Facilities,Raw JSON
20,Ahmedabad,Ahmedabad,10,BODYLINE HOSPITALS,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""BODYLINE HOSPITALS"", ""tierType"": ""TIER 1""}"
21,Ahmedabad,Ahmedabad,10,Care And Cure Multispeciality Hospital,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Care And Cure Multispeciality Hospital "", ""tierType"": ""TIER 1""}"
22,Ahmedabad,Ahmedabad,10,CENTRAL UNITED HOSPITAL A UNIT OF SHUBH UPCHAR PVT LTD,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""CENTRAL UNITED HOSPITAL A UNIT OF SHUBH UPCHAR PVT LTD"", ""tierType"": ""TIER 1""}"
23,Ahmedabad,Ahmedabad,10,CENTRE FOR SIGHT AHMEDABAD A UNIT OF NEW DELHI CENTRE FOR SIGHT LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""CENTRE FOR SIGHT AHMEDABAD A UNIT OF NEW DELHI CENTRE FOR SIGHT LTD"", ""tierType"": ""TIER 1""}"
24,Ahmedabad,Ahmedabad,10,CIMS HOSPITAL PRIVATE LIMITED,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""CIMS HOSPITAL PRIVATE LIMITED"", ""tierType"": ""TIER 1""}"
25,Ahmedabad,Ahmedabad,10,CIMS HOSPITAL PVT LTD-AHMEDABAD,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""CIMS HOSPITAL PVT LTD-AHMEDABAD"", ""tierType"": ""TIER 1""}"
26,Ahmedabad,Ahmedabad,10,CONTACARE EYE HOSPITAL - AHMEDABAD,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""CONTACARE EYE HOSPITAL - AHMEDABAD"", ""tierType"": ""TIER 1""}"
27,Ahmedabad,Ahmedabad,10,DENTISTIUM MULTISPECIALITY DENTAL CLINIC,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""DENTISTIUM MULTISPECIALITY DENTAL CLINIC"", ""tierType"": ""TIER 1""}"
28,Ahmedabad,Ahmedabad,10,DIVA EYE INSTITUTE,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""DIVA EYE INSTITUTE"", ""tierType"": ""TIER 1""}"
29,Ahmedabad,Ahmedabad,10,DR AGARWAL HEALTH CARE LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""DR AGARWAL HEALTH CARE LTD"", ""tierType"": ""TIER 1""}"
30,Ahmedabad,Ahmedabad,10,Dr Maitry M Shah Dental Clinic and Implant Centre,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Dr Maitry M Shah Dental Clinic and Implant Centre"", ""tierType"": ""TIER 1""}"
31,Ahmedabad,Ahmedabad,10,DR MAITRY M SHAH DENTAL CLINIC and IMPLANT CENTRE,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""DR MAITRY M SHAH DENTAL CLINIC and IMPLANT CENTRE"", ""tierType"": ""TIER 1""}"
32,Ahmedabad,Ahmedabad,10,EYE CARE HOSPITAL PVT LTD,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""EYE CARE HOSPITAL PVT LTD"", ""tierType"": ""TIER 1""}"
33,Ahmedabad,Ahmedabad,10,EYE -Q VISION PVT LTD - VADODARA,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""EYE -Q VISION PVT LTD - VADODARA"", ""tierType"": ""TIER 1""}"
34,Ahmedabad,Ahmedabad,10,GCS Medical College Hospital & Research Centre,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""GCS Medical College Hospital & Research Centre"", ""tierType"": ""TIER 1""}"
35,Ahmedabad,Ahmedabad,10,GREENCROSS GENETICS LAB PVT LTD,NABL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABL"", ""hospName"": ""GREENCROSS GENETICS LAB PVT LTD"", ""tierType"": ""TIER 1""}"
36,Ahmedabad,Ahmedabad,10,Gujarat Kidney and superspeciality hospital,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""Gujarat Kidney and superspeciality hospital"", ""tierType"": ""TIER 1""}"
37,Ahmedabad,Ahmedabad,10,Gujarat Kidney & Superspeciality Hospital,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Gujarat Kidney & Superspeciality Hospital"", ""tierType"": ""TIER 1""}"
