city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,5,190 ‘Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms ae eee,190 ‘Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms ae eee,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,6,"202 [Release of fibrous bands & grafting -in (OSMF) treatment 1,500.00] 1,725.00","202 [Release of fibrous bands & grafting -in (OSMF) treatment 1,500.00",,,1725.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,6,"900.00, 1,035.00","00,",,,1035.00,,,0.65,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,6,216 Removable partial denture-Acrylic based-more than 3 teeth / aia ES a nn cas Mec,216 Removable partial denture-Acrylic based-more than 3 teeth / aia ES a nn cas Mec,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,6,"3,150.00 3,623.00 part)","3,150.00 3,623.00 part)",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,7,"269 ‘Caldwell Luc Surgery (Radical Antrostomy for maxillary 10,626.00} 12,220.00}","269 ‘Caldwell Luc Surgery (Radical Antrostomy for maxillary 10,626.00} 12,220.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,"277 Functional Endoscopic Sinus Surgery (FESS) for 5,750.00 6,613.00]","277 Functional Endoscopic Sinus Surgery (FESS) for 5,750.00 6,613.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,"278 Functional Endoscopic Sinus Surgery (FESS) for ethmoidal 5,750.00 6,613.00",278 Functional Endoscopic Sinus Surgery (FESS) for ethmoidal,6613.00,5750.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,281 Mastoidectomy plus Ossiculoplasty including TORP (Total,281 Mastoidectomy plus Ossiculoplasty including TORP (Total,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,"Ossicular Replacement Prosthesis) or PORP (Partial 2,415.00 2,777.00",Ossicular Replacement Prosthesis) or PORP (Partial,2777.00,2415.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,"296 Oesophagoscopy with foreign body removal from 1,800.00 2,070.00}","296 Oesophagoscopy with foreign body removal from 1,800.00 2,070.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,301 Excision of Pinna for Growth (Squamous/Basal/ Injuries),301 Excision of Pinna for Growth (Squamous/Basal/ Injuries),,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,9,302 Excision of Pinna for Growth (Squamous/Basal/ Injuries),302 Excision of Pinna for Growth (Squamous/Basal/ Injuries),,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,9,"1,500.00 1,725.00","1,500.00",,,1725.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,9,317 Operation for Carcinoma Lip - Wedge Excision and,317 Operation for Carcinoma Lip - Wedge Excision and,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,9,"327 ‘Combined Mandibulectomy and Neck Dissection Operation 22,000.00} 25,300.00}","327 ‘Combined Mandibulectomy and Neck Dissection Operation 22,000.00} 25,300.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,11,"28,000.00 32,200.00) nn MOC Mon","28,000.00 32,200.00) nn MOC Mon",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,11,"21,390.00 24,599.00 | ee ef","21,390.00 24,599.00 | ee ef",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,12,"17,078.00 19,640.00","17,078.00",,,19640.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,12,"23,000.00 26,450.00)","23,000.00 26,450.00)",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,13,464 Operations for Recurrent Intestinal Obstruction (Noble,464 Operations for Recurrent Intestinal Obstruction (Noble,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,13,476 Fissure in Ano with Internal sphinctrectomy with,476 Fissure in Ano with Internal sphinctrectomy with,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,14,"497 Laparoscopic Whipple's operation (Laparoscopic 20,000.00] 23,000.00}","497 Laparoscopic Whipple's operation (Laparoscopic 20,000.00] 23,000.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,14,750.00: 863.00),00: 863.00),,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,14,[512__|Compressed air piped oxygen perhour [| _____8000[ 5800],512__|Compressed air piped oxygen perhour [| _____8000[ 5800,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,15,"535 Mitral valve Replacement(MVR)/ Aortic valve 93,254.00| 107,242.00","535 Mitral valve Replacement(MVR)/ Aortic valve 93,254.00",,,107242.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,16,"13,800.00 15,870.00","13,800.00",,,15870.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,16,"563 Automatic implantable cardioverter defibrillator (AICD) 25,875.00] 29,756.00","563 Automatic implantable cardioverter defibrillator (AICD) 25,875.00",,,29756.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,16,"564 |Automatic implantable cardioverter defibrillator (AICD) 40,000.00] 46,000.00 a ee","Automatic implantable cardioverter defibrillator (AICD) 40,000.00] 46,000.00 a ee",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,16,"576 Aortic valve balloon dilatation (AVBD) / pulmonary valve 48,300.00} 55,545.00 PS [tteodinnnesD) ||","576 Aortic valve balloon dilatation (AVBD) / pulmonary valve 48,300.00} 55,545.00 PS [tteodinnnesD)",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,16,[590 —[Flecrocardiogram (ECG) 00o| =,590 —[Flecrocardiogram (ECG) 00o| =,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,"Stress Myocardial Perfusion Imaging (MPI) - 2,500.00 2,875.00",Stress Myocardial Perfusion Imaging (MPI) -,2875.00,2500.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,[606 [MR angiography. | 862800] 68000],606 [MR angiography. | 862800] 68000,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,"[609 JOther Major Surgery | 20.0000] 23,000.00]","609 JOther Major Surgery | 20.0000] 23,000.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,"[sis [Laparotomy forEctopic pregnancy =~ 000] 15,870.00",sis [Laparotomy forEctopic pregnancy =~ 000,,,15870.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,624 ‘Laparoscopic Broad Ligament Hematoma Drainage with,624 ‘Laparoscopic Broad Ligament Hematoma Drainage with,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,626 Exploration of abdominal Haematoma (after laparotomy +,626 Exploration of abdominal Haematoma (after laparotomy +,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,18,"5,000.00 5,750.00","5,000.00",,,5750.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,18,640 Abdominal Hysterectomy with or without salpingo-,640 Abdominal Hysterectomy with or without salpingo-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,18,650 Shirodkar’s sling Operation or other sling operations for,650 Shirodkar’s sling Operation or other sling operations for,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,18,658 ‘Laparoscopy -Diagnostic with chromopertubation and or,658 ‘Laparoscopy -Diagnostic with chromopertubation and or,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,663 Laparoscopic treatment of Ectopic pregnancy-,663 Laparoscopic treatment of Ectopic pregnancy-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,[566 —]iysteroscopie cannulation ——————=———S—SCS~i(SCSCS~« | 330600,566 —]iysteroscopie cannulation ——————=———S—SCS~i(SCSCS~«,,,330600,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,667 ‘Laparotomy recannalization of Fallopian tubes-,667 ‘Laparotomy recannalization of Fallopian tubes-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,668 ‘Laparoscopic recannalization of Fallopian tubes-,668 ‘Laparoscopic recannalization of Fallopian tubes-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,[565 —|Colposcopy 8] 0200,565 —|Colposcopy 8,,,0200,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,"675 Interventional Ultrasonography- Chorionic villus sampling 880.00 1,012.00",675 Interventional Ultrasonography- Chorionic villus sampling,1012.00,880.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,689 Transvaginal sonography (TVS for Follicular monitioring,689 Transvaginal sonography (TVS for Follicular monitioring,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,[650 laparoscopic treatment for stress incontinence | __*380000| 7552500,650 laparoscopic treatment for stress incontinence | __*380000,,,7552500,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,19,[696 intemal iacfigaton SS «| 39800] 39020],696 intemal iacfigaton SS «| 39800] 39020,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,20,"700 Hysteroscopy Transcervical Resection of Endometrium 8,500.00 9,775.00}","700 Hysteroscopy Transcervical Resection of Endometrium 8,500.00 9,775.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,20,"701 Hysteroscopy Removal of Intra-uterine Contraceptive 6,750.00 7,763.00",701 Hysteroscopy Removal of Intra-uterine Contraceptive,7763.00,6750.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,20,704 Radical Hysterectomy for Cancer cervix with pelvic,704 Radical Hysterectomy for Cancer cervix with pelvic,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,20,705 Radical Hysterectomy for Cancer endometrium extending,705 Radical Hysterectomy for Cancer endometrium extending,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,21,730 [Percutaneous Drainage of Perinephric Abscess -Ultrasound,730 [Percutaneous Drainage of Perinephric Abscess -Ultrasound,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,21,741 Operations for Vesicoureteric Reflux (VUR)-,741 Operations for Vesicoureteric Reflux (VUR)-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,21,742 Operations for Vesicoureteric Reflux (VUR) Urinary,742 Operations for Vesicoureteric Reflux (VUR) Urinary,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,21,"20,815.00] 23,937.00]","20,815.00] 23,937.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,21,758 Operations for Exstrophy of the Bladder- simple cystectomy,758 Operations for Exstrophy of the Bladder- simple cystectomy,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,"2 17,595.00) 20,234.00","2 17,595.00)",,,20234.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,"19,435.00 22,350.00","19,435.00",,,22350.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,"19,435.00] 22,350.00","19,435.00",,,22350.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,792 Post Radical Orchidectomy retroperitoneal lymph node,792 Post Radical Orchidectomy retroperitoneal lymph node,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,794 Adreneclectomy Unilateral/Bilateral for Tumour/For,794 Adreneclectomy Unilateral/Bilateral for Tumour/For,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,22,"i 14,375.00] 16,531.00","i 14,375.00",,,16531.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,804 Block Dissection of ilio-inguinal Nodes - One Side (For Ca-,804 Block Dissection of ilio-inguinal Nodes - One Side (For Ca-,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,805 Block Dissection of ilio-inguinal Nodes -Both Sides (For Ca.,805 Block Dissection of ilio-inguinal Nodes -Both Sides (For Ca.,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,"808 Kidney Transplantation (Spousal/ unrelated) Including 300,000.00} 345,000.00","808 Kidney Transplantation (Spousal/ unrelated) Including 300,000.00}",,,345000.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,": 28,000.00 32,200.00",:,32200.00,28000.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,"i 85,000.00 97,750.00]","i 85,000.00 97,750.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,820 Post-Transplant Collection drainage for Lymphocele,820 Post-Transplant Collection drainage for Lymphocele,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,23,". P 1,000.00 1,150.00",. P,1150.00,1000.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,24,827 Bilateral (single Lumen) Femoral Catheterization for,827 Bilateral (single Lumen) Femoral Catheterization for,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,24,"834 ‘Continuous Ambulatory Peritoneal Dialysis (CAPD) 3,150.00 3,623.00",834 ‘Continuous Ambulatory Peritoneal Dialysis (CAPD),3623.00,3150.00,,,,0.72,False
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,24,"1837 2,025.00 2,329.00)","1837 2,025.00 2,329.00)",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,"10,494.00 12,068.00}","10,494.00 12,068.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,863 Ureteric Reimplant for Megaureter/Vesicoureteric reflux/,863 Ureteric Reimplant for Megaureter/Vesicoureteric reflux/,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,"866 Transurethral Resection of Prostate (TURP) with 17,000.00) — 19,550.00]","866 Transurethral Resection of Prostate (TURP) with 17,000.00) — 19,550.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,874 Resection Bladder Neck Endoscopic /Bladder neck,874 Resection Bladder Neck Endoscopic /Bladder neck,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,"881 Laparoscopic Nephrectomy (Select CGHS rate Code 508 30,015.00} 34,517.00","881 Laparoscopic Nephrectomy (Select CGHS rate Code 508 30,015.00}",,,34517.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,25,894 Voiding-cysto-urethrogram and retrograde urethrogram,894 Voiding-cysto-urethrogram and retrograde urethrogram,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,"20,125.00 23,144.00","20,125.00",,,23144.00,,,0.5,True
