source_page,extracted_table_index,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),Non- NABH/Non-(cid:10)NABL Rates,NABH/NABL Rates
3,1,111,Enucleation,2700,3105
3,1,112,Enucleation with orbital implants and artificial prosthesis,2700,3105
3,1,113,Evisceration,3105,3571.2
3,1,114,Evisceration with orbital implants and artificial prosthesis,5123.7,5892.3
3,1,115,Telecanthus correction,4657.5,5355.9
3,1,116,Orbital decompression,5175,5951.7
3,1,117,Exenteration,5175,5951.7
3,1,118,Exenteration with skin grafting,6210,7141.5
3,1,119,Fracture orbital repair,8280,9522
3,1,120,Retinal laser procedures,1350,1552.5
3,1,121,Retinal detachment surgery (RDS),10350,11902.5
3,1,122,Retinal detachment surgery (RDS) with scleral buckling,12420,14283
3,1,123,Buckle removal,1035,1190.7
3,1,124,Silicone oil removal,2520,2898
3,1,125,Anterior retinal cryopexy,1045.8,1202.4
3,1,126,Squint correction for one eye,4500,5175
3,1,127,Squint correction for both eyes,6750,7762.5
3,1,128,Trabeculectomy,6210,7141.5
3,1,129,Trabeculotomy,6210,7141.5
3,1,130,Trabeculectomy with Trabeculotomy,9315,10712.7
3,1,131,Trephination,2070,2380.5
3,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (LUCKNOW),,
3,1,132,Goniotomy,310.5,357.3
3,1,133,Glaucoma surgery with Glaucoma valves,6210 + valve,7141.5 + valve
3,1,134,Cyclocryotherapy,1035,1190.7
3,1,135,YAG laser iridotomy,1350,1552.5
3,1,136,YAG laser capsulotomy,983.7,1131.3
3,1,137,ALT-Argon laser trabeculoplasty,1345.5,1547.1
3,1,138,PDT-Photodymic therapy,3105,3571.2
3,1,139,TTT- Transpupillary thermal therapy,2700,3105
3,1,140,PTK- Phototherapeutic keratectomy,6750,7762.5
3,1,141,Argon/diode laser for retinal detatchment,1035,1190.7
3,1,142,Intralase application for keratoconus,5175,5951.7
3,1,143,EOG- electro-oculogram,810,931.5
3,1,144,ERG- Electro-retinogram,714.6,821.7
3,1,145,VEP- visually evoked potential,720,828
3,1,146,Vitrectomy- pars plana,10350,11902.5
3,1,147,Intravitreal injections- of antibiotics,1035,1190.7
3,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,2700,3105
3,1,149,X Ray orbit,103.5,118.8
3,1,150,CT orbit and brain,1600,1840
3,1,151,MRI- Orbit and brain,3105,3571.2
3,1,152,Dacryocystography,306,351.9
3,1,153,Orbital angio-graphical studies,1350,1552.5
3,1,154,Extracapsular cataract extraction (ECCE) with IOL,3105,3571.2
3,1,155,Small Incision Cataract Surgery (SICS) with IOL,4500,5175
3,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9702.9,11158.2
3,1,157,Pars plana lensectomy with/without IOL,9315,10712.7
4,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6210,7141.5
4,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),12150,13972.5
4,1,160,Optic nerve sheathotomy,6750,7762.5
4,1,161,Iridodialysis repair or papillary reconstruction,4500,5175
4,1,162,Iris cyst removal,765,880.2
4,1,163,Lid Abscess incision and Drainage,1530,1759.5
4,1,164,Orbital Abscess incision and Drainage,2700,3105
4,1,165,Biopsy,414,476.1
4,1,166,Paracentesis,207,238.5
4,1,167,Scleral graft for scleral melting or perforation,2520,2898
4,1,168,Amniotic membrane grafting,990,1138.5
4,1,169,Cyclodiathermy,2070,2380.5
4,1,170,Intraocular foreign body removal,168.3,193.5
4,1,171,Electrolysis,207,238.5
4,1,172,Perforating injury repair,4050,4657.5
4,1,173,Botulinum injection for blepharospasm or squint,2250,2587.5
4,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),,
4,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
4,1,174,Flap Operation per quadrant,324,372.6
4,1,175,Gingivectomy per quadrant,210.6,242.1
4,1,176,Reduction & immobilization of fracture- Maxilla Under LA,810,931.5
4,1,177,Reduction & immobilization of fracture-Mandible Under LA,3150,3622.5
4,1,178,Splints/Circummandibular wiring under LA,459,528.3
4,1,179,splints/Circummandibular wiring under GA,891,1025.1
4,1,180,Internal wire fixation/plate fixation of Maxilla under LA,2700,3105
4,1,181,Internal wire fixation/plate fixation of Maxilla under GA,3600,4140
4,1,182,Internal wire fixation/plate fixation of Mandible under LA,3150,3622.5
4,1,183,Internal wire fixation/plate fixation of Mandible under GA,3825,4399.2
4,1,184,Extraction per tooth under LA,72,82.8
4,1,185,Complicated Extraction per Tooth under LA,90,103.5
4,1,186,Extraction of impacted tooth under LA,144,165.6
4,1,187,Extraction in mentally retarded/patients with systemicd(cid:10)iseases/patient with sp,8ec4i5a.l1 needs under short term GA,972
4,1,188,Cyst & tumour of Maxilla /mandible by enucleation/(cid:10)excision/ marsupialisatio,2n1 u9p.6to 4 cms under LA,252.9
4,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisa,3ti6o5n. 4size more than 4 cms,420.3
4,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation,9 s0iz0e more than 4 cms(cid:10)under GA,1035
4,1,191,TM joint ankylosis- under GA,6750,7762.5
4,1,192,Biopsy Intraoral-Soft tissue,336.6,387
4,1,193,Biopsy Intraoral-Bone,336.6,387
4,1,194,Hemi-mandibulectomy with graft,18900,21735
4,1,195,Hemi-mandibulectomy without graft,18900,21735
4,1,196,Segmental-mandibulectomy with graft,3060,3519
4,1,197,Segmental-mandibulectomy without graft,891,1025.1
