scheme_code,hospital_id,hospital_name,aliases,state,district,city,address,hospital_type,empanelment_type,empanelment_status,specialities,source,last_updated
PMJAY,HOSP36G132865,Area Hospital - Nampally,Area Hospital - Nampally,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M7, M2, M3, S1, S2, S3, S4, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36G132866,Area Hospital - Kondapur,Area Hospital - Kondapur,TELANGANA,RANGA REDDY,RANGA REDDY,,Public,PMJAY,active,"M1, M7, M2, S1, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132867,Area Hospital - Golconda,Area Hospital - Golconda,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M7, M2, S1, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132868,Area Hospital - Vanasthalipuram,Area Hospital - Vanasthalipuram,TELANGANA,RANGA REDDY,RANGA REDDY,,Public,PMJAY,active,"M1, S7, M2, S1, S4, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36G132869,Mahatma Gandhi Memorial Hospital,Mahatma Gandhi Memorial Hospital,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M5, M6, S1, S10, S11, S12, S13, S15, S2, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132870,Mn Area Hospital Hospital Apvvp,Mn Area Hospital Hospital Apvvp,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M8, S1, S10, S11, S12, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132871,Rims  Hospital,Rims  Hospital,TELANGANA,ADILABAD,ADILABAD,,Public,PMJAY,active,"M1, M7, S7, M2, M3, M5, S1, S14, S16, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132872,Govt Ent Hospital  - Koti,Govt Ent Hospital  - Koti,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132873,Area Hospital - Jagityal,Area Hospital - Jagityal,TELANGANA,Jagitial,Jagitial,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S10, S11, S14, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132874,Area Hospital - Kothagudem,Area Hospital - Kothagudem,TELANGANA,BHADRADRI KOTHAGUDEM,BHADRADRI KOTHAGUDEM,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S16, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132875,Area Hospital - Badrachalam,Area Hospital - Badrachalam,TELANGANA,BHADRADRI KOTHAGUDEM,BHADRADRI KOTHAGUDEM,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S16, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132876,Shadnagar-Chc,Shadnagar-Chc,TELANGANA,RANGA REDDY,RANGA REDDY,,Public,PMJAY,active,S4,24_June_2026.csv,-NA-
PMJAY,HOSP36G132877,Government Medical college and General Hospital Siddipet,Government Medical college and General Hospital Siddipet,TELANGANA,SIDDIPET,SIDDIPET,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S12, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132878,Area Hospital - Miriyalaguda,Area Hospital - Miriyalaguda,TELANGANA,NALGONDA,NALGONDA,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S2, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132879,Area Hospital - Bongir,Area Hospital - Bongir,TELANGANA,YADADRI BHUVANAGIRI,YADADRI BHUVANAGIRI,,Public,PMJAY,active,"M2, S1, S2, S4, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36G132880,Area Hospital - Kamareddy,Area Hospital - Kamareddy,TELANGANA,KAMAREDDY,KAMAREDDY,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S14, S4, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36G132881,Area Hospital - Banswada,Area Hospital - Banswada,TELANGANA,KAMAREDDY,KAMAREDDY,,Public,PMJAY,active,"M1, S7, S1, S4",24_June_2026.csv,-NA-
PMJAY,HOSP36G132882,Area Hospital - Bodhan,Area Hospital - Bodhan,TELANGANA,NIZAMABAD,NIZAMABAD,,Public,PMJAY,active,"M1, M2, S8, S7, S1",24_June_2026.csv,-NA-
PMJAY,HOSP36G132883,Area Hospital - Jangoan,Area Hospital - Jangoan,TELANGANA,JANGOAN,JANGOAN,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S2, S3, S4, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36G132884,Area Hospital - Mahaboobabad,Area Hospital - Mahaboobabad,TELANGANA,MAHABUBABAD,MAHABUBABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132885,Govt General Hospital- Mahaboobnagar,Govt General Hospital- Mahaboobnagar,TELANGANA,MAHABUBNAGAR,MAHABUBNAGAR,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M5, S1, S10, S11, S2, S3, S4, S5, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132886,Govt Area Hospital,Govt Area Hospital,TELANGANA,PEDDAPALLI,PEDDAPALLI,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132887,Community Health Centre Malkajgiri,Community Health Centre Malkajgiri,TELANGANA,MEDCHAL MALKAJGIRI,MEDCHAL MALKAJGIRI,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132888,Area hospital Huzurnagar,Area hospital Huzurnagar,TELANGANA,SURYAPET,SURYAPET,,Public,PMJAY,active,"M2, S1, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132889,KN Area Hospital,KN Area Hospital,TELANGANA,NALGONDA,NALGONDA,,Public,PMJAY,active,"M1, M2, S8, M7, M4, M5, M6, S1, S10, S11, S13, S14, S15, S2, S3, S4, S5, S6, S7, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132890,Area Hospital Ramannapet,Area Hospital Ramannapet,TELANGANA,YADADRI BHUVANAGIRI,YADADRI BHUVANAGIRI,,Public,PMJAY,active,"M2, S4",24_June_2026.csv,-NA-
PMJAY,HOSP36G132891,Area hospital Devarakonda,Area hospital Devarakonda,TELANGANA,NALGONDA,NALGONDA,,Public,PMJAY,active,"M2, S10, S11, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132892,Area hospital Gajwel,Area hospital Gajwel,TELANGANA,SIDDIPET,SIDDIPET,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S2, S4, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132893,AREA HOSPITAL Huzurabad,AREA HOSPITAL Huzurabad,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Public,PMJAY,active,"M1, M7, S7, M2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132894,Area hospital Nirmal,Area hospital Nirmal,TELANGANA,Nirmal,Nirmal,,Public,PMJAY,active,"M1, M7, S1, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132895,Area hospital Zahirabad,Area hospital Zahirabad,TELANGANA,SANGAREDDY,SANGAREDDY,,Public,PMJAY,active,"M2, S1, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132896,Area Hospital - Sathupally,Area Hospital - Sathupally,TELANGANA,KHAMMAM,KHAMMAM,,Public,PMJAY,active,"M2, S1, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132897,Area hospital - Nagarkurnool,Area hospital - Nagarkurnool,TELANGANA,NAGARKURNOOL,NAGARKURNOOL,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132898,CHC - Peddapally,CHC - Peddapally,TELANGANA,PEDDAPALLI,PEDDAPALLI,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132899,Area hospital - Penuballi,Area hospital - Penuballi,TELANGANA,KHAMMAM,KHAMMAM,,Public,PMJAY,active,"M2, S3, S4",24_June_2026.csv,-NA-
PMJAY,HOSP36G132900,Area hospital - Narsampet,Area hospital - Narsampet,TELANGANA,WARANGAL RURAL,WARANGAL RURAL,,Public,PMJAY,active,"M1, S7, M2, S1",24_June_2026.csv,-NA-
PMJAY,HOSP36G132901,Govt.CD and TB hospital,Govt.CD and TB hospital,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Public,PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36G132902,Area hospital - Siricilla,Area hospital - Siricilla,TELANGANA,RAJANNA SIRCILLA,RAJANNA SIRCILLA,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132903,Govt.Regional Eye Hospital,Govt.Regional Eye Hospital,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Public,PMJAY,active,S3,24_June_2026.csv,-NA-
PMJAY,HOSP36G136356,CHC- Bachannapet,CHC- Bachannapet,TELANGANA,JANGOAN,JANGOAN,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
