source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
20,1,462,Operations for Haemorrhage of Small Intestines - including exploratory Laparotomy,19550,22483
20,1,463,Operations of the Duplication of the Intestines - including exploratory Laparotomy,34850,41000
20,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000,26450
20,1,465,Ileosigmoidostomy and related resection,16790,19309
20,1,466,Ileotransverse Colostomy and related resection,16790,19309
20,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
20,1,467,Caecostomy,3903,4488
20,1,468,Loop Colostomy Transverse Sigmoid,13110,15077
20,1,469,Terminal Colostomy,25500,30000
20,1,470,Closure of Colostomy,25500,30000
20,1,471,Right Hemicolectomy,27200,32000
20,1,472,Left Hemicolectomy,27200,32000
20,1,473,Total Colectomy,34000,40000
20,1,474,Operations for Volvulus of Large Bowel,24920,28658
20,1,475,Operations for Sigmoid Diverticulitis,18630,21425
20,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy.,27200,32000
20,1,477,Fissure in Ano - Fissurectomy,24650,29000
21,1,478,Rectal Polyp-Excision,11645,13700
21,1,479,Fistula in Ano - High Fistulectomy,29750,35000
21,1,480,Fistula in Ano - Low Fistulectomy,19550,23000
21,1,481,Prolapse Rectum - Thiersch Wiring,10350,11903
21,1,482,Prolapse Rectum - Rectopexy,11900,14000
21,1,483,Prolapse Rectum - Grahams Operation,Deleted,Deleted
21,1,484,Operations for Hirschsprungs Disease,14260,16399
21,1,485,Excision of Pilonidal Sinus (open),18700,22000
21,1,486,Excision of Pilonidal Sinus with closure,21250,25000
21,1,487,Abdomino-Perineal Excision of Rectum,18300,21045
21,1,488,Anterior Resection of rectum,21850,25128
21,1,489,Pull Through Abdominal Resection,17170,19746
21,1,490,Retro Peritoneal Tumor Removal,18000,20700
21,1,491,Radio ablation of varicose veins (RFA Ablation),7225,8500
21,1,492,Laser ablation of varicose veins,34000,40000
21,1,493,Laparoscopic Fundoplication,19300,22195
21,1,494,Laparoscopic Splenectomy,25000,28750
21,1,495,Laparoscopic Removal of hydatid cyst,18000,20700
21,1,496,Laparoscopic treatment of Pseudo Pancreatic cyst,18000,20700
21,1,497,Laparoscopic Whipple's operation (Laparoscopic Pancreatico Duodenectomy,20000,23000
21,1,498,Laparoscopic GI bypass operation,22000,25300
21,1,499,Laparoscopic Total Colectomy,25000,28750
21,1,500,Laparoscopic Hemicolectomy,23000,26450
21,1,501,Laparoscopic Anterior Resection (of Intestine/ Rectum),23000,26450
21,1,502,Laparoscopic Cholecystetomy,28050,33000
22,1,503,Laparoscopic Appedicectomy,25500,30000,
22,1,504,Laparoscopic Hernia inguinal repair,29750,35000,
22,1,505,Laparoscopic ventral Hernia Repair,17500,20125,
22,1,506,Laparoscopic Paraumblical Hernia Repair,17500,20125,
22,1,507,Laparoscopic Adrenelectomy,12000,13800,
22,1,508,Laparoscopic Nephrectomy,22000,25300,
22,1,509,Other Major Surgery-Abdomen/GI Surgery,Deleted,Deleted,
22,1,510,Other Minor Surgery-Abdomen/GI Surgery,Deleted,Deleted,
22,1,Sr. No.,TREATMENT PROCEDURE ICU/CCU PROCEDURES (SPECIAL CARE CASES),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee,
22,1,511,ICU Charges (Inclusive of Room Rent),4590,5400,For all catagories of ward entilement
22,1,512,Compressed air / piped oxygen /per hour,50,58,
22,1,513,Ventilator charges (Per day),531,611,
22,1,514,Paediatric care for New born (Per day),186,214,
22,1,515,Incubator charges (Per day),345,397,
22,1,516,Neonatal ICU charges (Per day),391,450,
22,1,517,Resuscitation,184,212,
22,1,518,Exchange Transfusion,265,305,
22,1,519,Pneupack ventilator in Nursery (Per day),575,661,
22,1,Sr. No.,TREATMENT PROCEDURE CARDIOVASCULAR AND CARDIAC SURGERY & INVESTIGATIONS,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee,
22,1,520,Atrial Septal Defect(ASD) closure,51808,59579,
22,1,521,Ventricular septal defect (VSD) with graft,51808,59579,
22,1,522,Tetralogy of Fallot (TOF) /TAPVC/TCPC/REV/RSOV repair,127075,146136,
22,1,523,BD Glenn/Left atrium myxoma,80750,92863,
22,1,524,Senning/Arterial Switch Operation (ASO) with graft,122188,140516,
22,1,525,Double Switch Operation (DSO),119157,137031,
23,1,526,Atrioventricular(AV) canal repair,161000,185150
23,1,527,Fontan procedure,169000,194350
23,1,528,Conduit repair,169000,194350
23,1,529,Coronary Artery Bypass Graft surgery (CABG),127075,146136
23,1,530,Coronary Artery Bypass Graft surgery (CABG) + Intra-Aortic Balloon Pump (IABP),169000,194350
23,1,531,Coronary Artery Bypass Graft surgery (CABG) + Valve,169000,194350
23,1,532,CABG without bypass.,140000,161000
23,1,533,Ascending aorta replacement,130000,149500
23,1,534,Double Valve Replacement (DVR),155422,178735
23,1,535,Mitral valve Replacement(MVR)/ Aortic valve Replacement(AVR),119157,137031
23,1,536,Mitral valve (MV) Repair + Aortic valve (AV) Repair,103615,119157
23,1,537,Aorta femoral bypass,52000,59800
23,1,538,Blalock-Taussig shunt (BT Shunt) / Coarctation,51980,59777
23,1,539,Pulmonary Artery Banding (PA Banding) Septostomy,51980,59777
23,1,540,Pericardectomy,42320,48668
23,1,541,Congenital cytomegalovirus (CMV)/ patent ductus arteriosus (PDA),51980,59777
23,1,542,Gunshot injury,51980,59777
23,1,543,Heart transplant,276000,317400
23,1,544,Balloon coronary angioplasty/PTCA with VCD,78200,92000
23,1,545,Balloon coronary angioplasty/PTCA without VCD,71150,83725
23,1,546,Rotablation,47775,56206
23,1,547,Balloon Mitral Valvotomy / Percutaneous transvenous mitral commissurotomy (PTMC),77000,90700
23,1,548,Cardiac Catheterization (CATH),11510,13545
23,1,549,Aortic Arch Replacement,10350,11903
23,1,550,Aortic Dissection,12650,14548
24,1,551,Thoraco Abdominal Aneurism Repair,15000,17250
24,1,552,Embolectomy,21000,24150
24,1,553,Vascular Repair,36000,41400
24,1,554,Bentall Repair with Prosthetic Valve,30000,34500
24,1,555,Bentall Repair with Biologic Valve,127500,146625
24,1,556,Coaractation dilatation,60860,71600
24,1,557,Coaractation dilatation with Stenting,18500,21275
24,1,558,Temporary cardiac pacing (TPI) Single Chamber,16320,19200
24,1,559,Temporary cardiac pacing (TPI) Dual Chamber,8160,9384
24,1,560,Permanent pacemaker implantation (PPI)- Single Chamber,27200,32000
24,1,561,Permanent pacemaker implantation- Dual Chamber,36550,43000
24,1,562,Permanent pacemaker implantation (PPI)- Biventricular,42180,49625
24,1,563,Automatic implantable cardioverter defibrillator (AICD) Single Chamber,42500,50000
24,1,564,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber,44500,52350
24,1,565,Combo device implantation,50150,59000
24,1,566,Diagnostic Electrophysiological studies conventional (including catheter),56100,66000
24,1,567,Ambulatory BP monitoring,1000,1000
24,1,568,External Loop/event recording (maximum upto 7 days),1500 firtst day and 1000 for subsequent days,1500 firtst day and 1000 for subsequent days
24,1,569,Radiofrequency (RF) ablation conventional,81600,96000
24,1,570,Radiofrequency (RF) ablation Atrial Tachycardia/with 3-D mapping - all inclusive,153850,181000
24,1,571,Endomyocardial biopsy,Deleted,Deleted
24,1,572,Intra aortic balloon pump (IABP) (including balloon),42500,50000
24,1,573,Intra vascular coils,63750,75000
24,1,574,Septostomy- Balloon,25500,30000
25,1,575,Septostomy- Blade,19550,22483
25,1,576,Aortic valve balloon dilatation (AVBD) / pulmonary valve balloon dilatation (PVBD),47940,56400
25,1,577,Digital subtraction angiography-Peripheral artery,12400,14610
25,1,578,Digital subtraction angiography- venogram,12400,14610
25,1,579,CT Guided biopsy,1265,1455
25,1,580,Sinogram,863,992
25,1,581,Peripheral Angioplasty with VCD,46750,55500
25,1,582,Peripheral Angioplasty without VCD,11500,13225
25,1,583,Renal Angioplasty,46750,55000
25,1,584,Intravascular ultrasound (IVUS),50000,50000
25,1,585,Fractional flow reserve (FFR),5000,5750
25,1,586,Holter analysis,2125,2500
25,1,587,Aortic stent grafting for aortic aneurysm,78500,90275
25,1,588,Inferior Vena Cava (IVC) filter implantation (cost of Filter extra),25500,30000
25,1,589,ASD/VSD/PDA device closure,"ASD - 84,065 VSD - 93,415 PDA - 46,750","ASD - 98,900 VSD - 1,09,900 PDA - 55,000"
25,1,590,Electrocardiogram (ECG),150,175
25,1,591,Head- up tilt test (HUTT),3400,4000
25,1,592,2D echocardiography,1255,1475
25,1,593,3D echocardiography,1403,1613
25,1,594,Fetal Echo,1360,1600
25,1,595,2D Transesophageal Echocardiography (TEE),1403,1613
25,1,596,3D Transesophageal Echocardiography (TEE),1403,1613
25,1,597,Stress Echo- exercise,2040,2400
25,1,598,Stress Echo- pharmacological (D Stess Echo),2550,3000
26,1,599,Stress Myocardial Perfusion Imaging (MPI)- exercise,7650,9000
26,1,600,Stress Myocardial Perfusion Imaging (MPI) - pharmacological,7650,9000
26,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
26,1,601,Coronary angiography,11240,13225
26,1,602,CT coronary angiography,6030,6935
26,1,603,Cardiac CT scan,2272,2613
26,1,604,Cardiac MRI,6800,8000
26,1,605,Stress Cardiac MRI,3000,3450
26,1,606,MR angiography.,5635,6480
26,1,607,Cardiac PET,1500,1725
26,1,608,Pericardiocentesis,8500,10000
26,1,609,Other Major Surgery-Cardiovascular and Cardiac Surgery & Investigations,20000,23000
26,1,610,Other Minor Surgery-Cardiovascular and Cardiac Surgery & Investigations,4250,4888
26,1,Sr. No.,TREATMENT PROCEDURE OBSTETRICS AND GYNAECOLOGY,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
26,1,611,Normal delivery with or without Episiotomy & P. repair,8000,9200
26,1,612,vacuum delivery,8625,9919
26,1,613,Forceps Delivery,9200,10580
26,1,614,Cesarean Section(CS),14050,16158
26,1,615,Cesarean Hysterectomy,18975,21821
26,1,616,Rupture Uterus closure & repair with Tubal Ligation,17250,19838
26,1,617,Perforation of Uterus after D/E Laparotomy & Closure,13800,15870
26,1,618,Laparotomy for Ectopic pregnancy,13800,15870
26,1,619,Laparotomy-peritonitis Lavage and Drainage,11500,13225
26,1,620,Salphingo-Oophorectomy/ Oophorectomy Laparoscopic,10000,11500
26,1,621,Ovarian Cystectomy-laparoscopic.,10350,11903
27,1,622,Ovarian Cystectomy -laparotomy.,13800,15870
27,1,623,Salpingo-Oophorectomy-laparotomy,11520,13248
27,1,624,Laparoscopic Broad Ligament Hematoma Drainage with repair,6900,7935
27,1,625,Exploration of perineal Haematoma & Repair,8000,9200
27,1,626,Exploration of abdominal Haematoma (after laparotomy + LSCS),8050,9258
27,1,627,Manual Removal of Placenta,3450,3968
27,1,628,Examination under anesthesia (EUA),1000,1150
27,1,629,Burst-abdomen Repair,10000,11500
27,1,630,Gaping Perineal Wound Secondary Suturing,1656,1904
27,1,631,Gaping abdominal wound Secondary Suturing,3450,3968
27,1,632,Complete perineal tear-repair,2128,2447
27,1,633,Exploration of PPH-tear repair,3500,4025
27,1,634,Suction evacuation vesicular mole,5000,5750
27,1,635,Suction evacuation Missed abortion/ incomplete abortion,5175,5951
27,1,636,Colpotomy,3450,3968
27,1,637,Repair of post-coital tear/ perineal injury,3508,4034
27,1,638,Excision of urethral caruncle,3450,3968
27,1,639,Shirodhkar/ McDonald stitch,3220,3703
27,1,640,Abdominal Hysterectomy with or without salpingo- oophorectomy,17250,19838
27,1,641,Non-descent Vaginal Hysterectomy (NDVH),17250,19838
27,1,642,Vaginal Hysterectomy with repairs (UV Prolapse),17250,19838
27,1,643,Myomectomy -laparotomy,14000,16100
27,1,644,Myomectomy -laparoscopic,6325,7274
27,1,645,Vaginoplasty,14950,17193
27,1,646,Vulvectomy -Simple,9200,10580
28,1,647,Vulvectomy-Radical,9200,10580
28,1,648,Rectovaginal Fistula (RVF) Repair,18975,21821
28,1,649,Manchester Operation,15000,17250
28,1,650,Shirodkar’s sling Operation or other sling operations for prolapse uterus,3450,3968
28,1,651,Laparoscopic sling operations for prolapse uterus,32200,37030
28,1,652,Diagnostic Curettage,2484,2857
28,1,653,Cervical Biopsy,1800,2070
28,1,654,Polypectomy,1518,1746
28,1,655,Other-Minor Operation Endometrial,2300,2645
28,1,656,Excision Vaginal Cyst/Bartholin Cyst,3450,3968
28,1,657,Excision Vaginal Septum,4600,5290
28,1,658,Laparoscopy -Diagnostic with chromopertubation and or adhesiolysis and drilling,4025,4629
28,1,659,Laparoscopy Sterilization,3450,3968
28,1,660,Laparoscopically Assisted Vaginal Hysterectomy (LAVH),54000,62100
28,1,661,Balloon Temponade for Post Partum Haemorrhage (PPH),2800,3220
28,1,662,Total laparoscopic hysterectomy,25243,29029
28,1,663,Laparoscopic treatment of Ectopic pregnancy- salpingectomy/salpingostomy conservative,9775,11241
28,1,664,Conisation of cervix,4025,4629
28,1,665,Trachelectomy of cervix for early CA cervix,5500,6325
28,1,666,Hysteroscopic cannulation,2875,3306
28,1,667,Laparotomy recannalization of Fallopian tubes- (Tubuloplasty),22425,25789
28,1,668,Laparoscopic recannalization of Fallopian tubes- (Tubuloplasty),45980,52877
28,1,669,Colposcopy,958,1102
28,1,670,Inversion of Uterus – Vaginal Reposition,2500,2875
28,1,671,Inversion of Uterus – Abdominal Reposition,2500,2875
29,1,672,Laparoscopic Vesicovaginal Fistula (VVF) Repair,32200,37030
29,1,673,Abdominal Vesicovaginal Fistula (VVF) Repair,32200,37030
29,1,674,Vaginal Vesicovaginal Fistula (VVF) Repair,32200,37030
29,1,675,Interventional Ultrasonography- Chorionic villus sampling (CVS),880,1012
29,1,676,Amniocentesis,880,1012
29,1,677,Karyotyping,800,920
29,1,678,Thermal balloon ablation.,11500,13225
29,1,679,Ultrasonographic myolysis,10293,11837
29,1,680,Vaginal Myomectomy,10000,11500
29,1,681,Intra Uterine Inseminition,920,1058
29,1,682,Intracytoplasmic sperm injection (ICSI),11500,13225
29,1,683,Laparotomy abdominal sacro-colpopexy,15000,17250
29,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
29,1,684,Vaginal Colpopexy,22000,25300
29,1,685,Laparoscopic abdominal sacro-colpopexy,20000,23000
29,1,686,Laparotomy pelvic Lymphadenectomy,1200,1380
29,1,687,Laparoscopic pelvic Lymphadenectomy,3500,4025
29,1,688,Endometrial aspiration cytology/biopsy,570,656
29,1,689,Transvaginal sonography (TVS for Follicular monitioring /aspiration),460,529
29,1,690,laparoscopic treatment for stress incontinence,15000,17250
29,1,691,Transvaginal tapes for Stress incontinence,15000,17250
29,1,692,trans-obturator tapes for Stress incontinence,12000,13800
29,1,693,Interventional radiographic arterial embolization,18000,20700
29,1,694,Diagnostic cystoscopy,2875,3306
29,1,695,Staging laparotomy surgery for Carcinoma Ovary,6325,7274
30,1,696,Internal Iliac ligation,3393,3902
30,1,697,stepwise devascularisation,9200,10580
30,1,698,Assisted breech delivery,10925,12564
30,1,699,Intra-uterine fetal blood transfusion,21275,24466
30,1,700,Hysteroscopy Transcervical Resection of Endometrium (TCRE),8500,9775
30,1,701,Hysteroscopy Removal of Intra-uterine Contraceptive Device (IUCD),7500,8625
30,1,702,Hysteroscopy Removal of Septum,11000,12650
30,1,703,Hysteroscopy Diagnostic,7500,8625
30,1,704,Radical Hysterectomy for Cancer cervix with pelvic lymphadenectomy,8500,9775
30,1,705,Radical Hysterectomy for Cancer endometrium extending to cervix with pelvic and para aortic,8500,9775
30,1,706,Sterilization Post partum (minilap),3750,4313
30,1,707,Sterilization interval (minilap),3750,4313
30,1,708,Ultrasonography Level II scan/Anomaly Scan,1700,2000
30,1,709,Fetal nuchal Translucency,300,345
30,1,710,Fetal Doppler/Umblical Doppler/Uterine Vessel Doppler (USG Colour Doppler Pregnancy),1425,1675
30,1,711,Medical Termination of Pregnancy (MTP)- 1st Trimester,3000,3450
30,1,712,Medical Termination of Pregnancy (MTP) - 2nd Trimester,4370,5026
30,1,713,Quadruple test,2000,2300
30,1,714,Biophysical score,600,690
30,1,715,Other Major Surgery-Obstetrics and Gynaecology,28000,32200
30,1,716,Other Minor Surgery-Obstetrics and Gynaecology,5000,5750
30,1,Sr. No.,TREATMENT PROCEDURE NEPHROLOGY AND UROLOGY,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
30,1,717,Partial Nephrectomy -open,16215,18647
30,1,718,Partial Nephrectomy-Laparoscopic/endoscopic,14490,16664
30,1,719,Nephrolithomy -open,12000,13800
31,1,720,Nephrolithomy -Laparoscopic/endoscopic,14000,16100
31,1,721,Pyelolithotomy-open,13000,14950
31,1,722,Pyelolithotomy -Laparoscopic/endoscopic,10580,12167
31,1,723,Operations for Hydronephrosis -pyeloplasty open,18400,21160
31,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
31,1,724,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,19000,21850
31,1,725,Operations for Hydronephrosis Endopyelotomy antegrade,20000,23000
31,1,726,Operations for Hydronephrosis Endoplyelotomy retrograde,20000,23000
31,1,727,Operations for Hydronephrosis -ureterocalicostomy,18000,20700
31,1,728,Operations for Hydronephrosis-Ileal ureter,18000,20700
31,1,729,Open Drainage of Perinephric Abscess,8000,9200
31,1,730,Percutaneous Drainage of Perinephric Abscess - Ultrasound guided,5750,6613
31,1,731,Cavernostomy,9775,11241
31,1,732,Operations for Cyst of the Kidney -open,11960,13754
31,1,733,Operations for Cyst of the Kidney -Lap/endoscopic,14030,16135
31,1,734,Ureterolithotomy -open,13248,15235
31,1,735,Ureterolithotomy-Lap/Endoscopic,10000,11500
31,1,736,Nephroureterectomy open,16100,18515
31,1,737,Nephroureterectomy -Lap/Endoscopic,16100,18515
31,1,738,Operations for Ureter for -Double Ureters,19000,21850
31,1,739,Operations for Ureter -for Ectopia of Single Ureter,18000,20700
31,1,740,Operations for Vesicoureteric Reflux (VUR) -Open,18000,20700
31,1,741,Operations for Vesicoureteric Reflux (VUR)- Lap/Endoscopic,18000,20700
31,1,742,Operations for Vesicoureteric Reflux (VUR)/ Urinary incontinence with bulking agents,20700,23805
31,1,743,Ureterostomy - Cutaneous,12000,13800
32,1,744,Uretero-Colic anastomosis,16000,18400
32,1,745,Formation of an Ileal Conduit,17250,19838
32,1,746,Ureteric Catheterisation,8278,10950
32,1,747,Biopsy of Bladder (Cystoscopic),2300,2645
32,1,748,Cysto-Litholapaxy,10925,12564
32,1,749,Operations for Injuries of the Bladder,10000,11500
32,1,750,Suprapubic Drainage (Cystostomy/vesicostomy),6000,6900
32,1,751,Simple Cystectomy,17250,19838
32,1,752,Diverticulectomy -open,16000,18400
32,1,753,Diverticulectomy- Lap/Endoscopic,18400,21160
32,1,754,Diverticulectomy -Endoscopic incision of neck,1725,1984
32,1,755,Augmentation Cystoplasty,6670,7671
32,1,756,Operations for Exstrophy of the Bladder- Single stage repair,22300,25645
32,1,757,Operations for Exstrophy of the Bladder- Multistage repair,20815,23937
32,1,758,Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,22500,25875
32,1,759,Repair of Ureterocoel -Open,13800,15870
32,1,760,Repair of Ureterocoel -Lap/Endoscopic,14375,16531
32,1,761,Repair of Ureterocoel -Endoscopic incision,13000,14950
32,1,762,Open Suprapubic Prostatectomy,20700,23805
32,1,763,Open Retropubic Prostatectomy,20125,23144
32,1,764,Transurethral Resection of Prostate (TURP),18630,21425
32,1,765,Urethroscopy/ Cystopanendoscopy,4600,5290
32,1,766,Internal urethrotomy -optical,5750,6613
32,1,767,Internal urethrotomy -Core through urethroplasty,11040,12696
32,1,768,Urethral Reconstruction -End to end ansatamosis,3450,3968
33,1,769,Urethral Reconstruction - substitution urethroplasty (Transpubic urethroplasty),19550,22483
33,1,770,Abdomino Perineal urethroplasty,14000,16100
33,1,771,Posterior Urethral Valve fulguration.,11270,12961
33,1,772,Operations for Incontinence of Urine - Male -Open,17250,19838
33,1,773,Operations for Incontinence of Urine - Male -Sling,18400,21160
33,1,774,Operations for Incontinence of Urine - Male- Bulking agent,19435,22350
33,1,775,Operations for Incontinence of Urine - Female - Open,17250,19838
33,1,776,Operations for Incontinence of Urine - Female- Sling,18400,21160
33,1,777,Operations for Incontinence of Urine - Female- Bulking agent,19435,22350
33,1,778,Reduction of Paraphimosis,1725,1984
33,1,779,Circumcision,3000,3450
33,1,780,Meatotomy,2346,2698
33,1,781,Meatoplasty,3220,3703
33,1,782,Operations for Hypospadias + Chordee Correction,10580,12167
33,1,783,Operations for Hypospadias - Second Stage,15000,17250
33,1,784,Operations for Hypospadias - One Stage Repair,9200,10580
33,1,785,Operations for Crippled Hypospadias,11500,13225
33,1,786,Operations for Epispadias _primary repair,12593,14482
33,1,787,Operations for Epispadias-crippled epispadias,11385,13093
33,1,788,Partial Amputation of the Penis,10764,12379
33,1,789,Total amputation of the Penis,12000,13800
33,1,790,Orchidectomy-Simple,9775,11241
33,1,791,Orchidectomy -Radical,12075,13886
33,1,792,Post Radical Orchidectomy retroperitoneal lymph node dissection.,14000,16100
33,1,793,Epididymectomy,15938,18750
34,1,794,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma- Open,25300,29095
34,1,795,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma -Lap/Endoscopic,14375,16531
34,1,796,Operations for Hydrocele - Unilateral,5865,6745
34,1,797,Operations for Hydrocele - Bilateral,8556,9839
34,1,798,Operation for Torsion of Testis,11500,13225
34,1,799,Micro-surgical Vasovasostomy /Vaso epidedymal ansatamosis .,11040,12696
34,1,800,Operations for Varicocele Unilateral-Microsurgical,7705,8861
34,1,801,Operations for Varicocele Palomo’s Unilateral - Lap,9200,10580
34,1,802,Operations for Varicocele Bilateral --Microsurgical,12650,14548
34,1,803,Operations for Varicocele Bilateral – Lap/ Palomo,14950,17193
34,1,804,Block Dissection of ilio-inguinal Nodes - One Side (For Ca- Penis),6325,7274
34,1,805,Block Dissection of ilio-inguinal Nodes -Both Sides (For Ca- Penis),23000,26450
34,1,806,Excision of Filarial Scrotum,11500,13225
34,1,807,Kidney Transplantation (related),200000,230000
34,1,808,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,300000,345000
34,1,809,ABO incompatible Transplantation,490000,563500
34,1,810,Swap Transplantation,388000,446200
34,1,811,Kidney Transplant Graft Nephrectomy,59500,68425
34,1,812,Donor Nephrectomy (open),28750,33063
34,1,813,Donor Nephrectomy (Laparoscopic),46000,52900
34,1,814,Cadaver Transplantation,83300,95795
34,1,815,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Unilateral,28000,32200
34,1,816,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Bilateral,85000,97750
34,1,817,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Unilateral,85000,97750
34,1,818,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Bilateral,85000,97750
35,1,819,Post-Transplant Collection drainage for Lymphocele (open),6800,7820
35,1,820,Post-Transplant Collection drainage for Lymphocele (percutaneous),6800,7820
35,1,821,Post-Transplant Collection drainage for Lymphocele (Laparoscopic),7650,8798
35,1,822,Arteriovenous Fistula for Haemodialysis,2300,2645
35,1,823,Arteriovenous Shunt for Haemodialysis,3500,4025
35,1,824,Jugular Catheterization for Haemodialysis,1500,1725
35,1,825,Subclavian Catheterization for Haemodialysis,2250,2588
35,1,826,One sided (single Lumen) Femoral Catheterization for Haemodialysis,1000,1150
35,1,827,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,1500,1725
35,1,828,Double Lumen Femoral Catheterization for Haemodialysis,1850,2128
35,1,829,Permcath Insertion,2800,3220
35,1,830,Arterio venous Prosthetic Graft,1850,2128
35,1,831,Single lumen Jugular Catheterization,1500,1725
35,1,832,Single lumen Subclavian Catheterization,1700,1955
35,1,833,Plasma Exchange/ Plasmapheresis,1500,1725
35,1,834,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Open method,3500,4025
35,1,835,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Schlendinger/ Seldinger method,3500,4025
35,1,836,Sustained low efficiency haemodialysis / hemodialysis,1250,1438
35,1,Sr. No.,CGHS TREATMENT PROCEDURE / INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
35,1,837,Continuous Veno venous/Arteriovenous Haemofilteration /Hemofilteration,2250,2588
35,1,838,Haemodialysis / Hemodialysis for Sero negative cases,1400,1610
35,1,839,Haemodialysis / Hemodialysis for Sero Positive cases,1650,1898
35,1,840,Acute Peritoneal Dialysis,1450,1668
35,1,841,Fistulogram for Arteriovenous Fistula,2500,2875
35,1,842,Ultrasound guided kidney Biopsy,850,978
36,1,843,Fistula stenosis dilation,3000,3450
36,1,844,Slow continuous Ultrafilteration,2500,2875
36,1,845,Percutaneous Nephrolithotomy (PCNL) - Unilateral,20000,23000
36,1,846,Percutaneous Nephrolithotomy (PCNL) - Bilateral,25000,28750
36,1,847,Endoscopic Bulking agent Inject,4500,5175
36,1,848,Testicular Biopsy,1955,2248
36,1,849,Radical Nephrectomy -Open,17250,19838
36,1,850,Radical Nephrectomy -Lap/Endoscopic,20700,23805
36,1,851,Radical Nephrectomy plus IV thrombus,23000,26450
36,1,852,Radical Nephrectomy plus IV thrombus plus cardiac bypass.,23000,26450
36,1,853,Vesicovaginal Fistula (VVF) Repair (Open),16000,18400
36,1,854,Vesicovaginal Fistula (VVF) Repair (Laparoscopic),22000,25300
36,1,855,Radical Cystectomy -Ileal conduit,17000,19550
36,1,856,Radical Cystectomy - continent diversion.,15000,17250
36,1,857,Radical Cystectomy – Neo bladder,18500,21275
36,1,858,Nephrectomy Simple -Open,10074,11585
36,1,859,Nephrectomy Simple-lap/Endoscopic,12593,14482
36,1,860,Nephrostomy -Open,10000,11500
36,1,861,Nephrostomy -Lap/Endoscopic,10704,12310
36,1,862,Ureteric Reimplant for Megaureter/Vesicoureteric reflux/ ureterocele (open),10494,12068
36,1,863,Ureteric Reimplant for Megaureter/Vesicoureteric reflux/ ureterocele (Laparoscopic),10494,12068
36,1,864,Partial Cystectomy,13800,15870
36,1,865,Transurethral Resection of Prostate (TURP) & Transurethral Resection of Bladder Tumour (TURBT),17250,19838
36,1,866,Transurethral Resection of Prostate (TURP) with Cystolithotripsy,17000,19550
36,1,867,Closure of Urethral Fistula,11000,12650
37,1,868,Orchidopexy - Unilateral -Open,9867,11347
37,1,869,Orchidopexy - Unilateral- Lap/Endoscopic,12334,14184
37,1,870,Orchidopexy - Bilateral -Open,12282,14124
37,1,871,Orchidopexy - Bilateral -Lap/Endoscopic,14500,16675
37,1,872,Cystolithotomy -Suprapubic,9775,11241
37,1,873,Endoscopic Removal of Stone in Bladder,3450,3968
37,1,874,Resection Bladder Neck Endoscopic /Bladder neck incision/transurethral incision on prostrate,10925,12564
37,1,875,Ureteroscopic Surgery,10350,11903
37,1,876,Urethroplasty 1st Stage,10925,12564
37,1,877,Scrotal Exploration,8556,9839
37,1,878,Perineal Urethrostomy,4715,5422
37,1,879,Dilatation of Stricture Urethra under G.A.,2000,2300
37,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
37,1,880,Dilatation of Stricture Urethra under LA,1725,1984
