source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
5,1,117,Exenteration,6000,6900
5,1,118,Exenteration with skin grafting,5000,5750
5,1,119,Fracture orbital repair,9200,10580
5,1,120,Retinal laser procedures,1450,1668
6,1,121,Retinal detachment surgery (RDS),10000,11500
6,1,122,Retinal detachment surgery (RDS) with scleral buckling,12000,13800
6,1,123,Buckle removal,1000,1150
6,1,124,Silicone oil removal,2500,2875
6,1,125,Anterior retinal cryopexy,1010,1162
6,1,126,Squint correction for one eye,2000,2300
6,1,127,Squint correction for both eyes,4000,4600
6,1,128,Trabeculectomy,6000,6900
6,1,129,Trabeculotomy,6000,6900
6,1,130,Trabeculectomy with Trabeculotomy,6000,6900
6,1,131,Trephination,2300,2645
6,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
6,1,132,Goniotomy,345,397
6,1,133,Glaucoma surgery with Glaucoma valves,2000 (+ Valve),2300 ( + Valve)
6,1,134,Cyclocryotherapy,1000,1150
6,1,135,YAG laser iridotomy,1500,1725
6,1,136,YAG laser capsulotomy,950,1093
6,1,137,ALT-Argon laser trabeculoplasty,1495,1719
6,1,138,PDT-Photodymic therapy,3000,3450
6,1,139,TTT- Transpupillary thermal therapy,3000,3450
6,1,140,PTK- Phototherapeutic keratectomy,7000,8050
6,1,141,Argon/diode laser for retinal detatchment,1000,1150
6,1,142,Intralase application for keratoconus,5750,6613
6,1,143,EOG- electro-oculogram,900,1035
6,1,144,ERG- Electro-retinogram,794,913
7,1,145,VEP- visually evoked potential,800,920
7,1,146,Vitrectomy- pars plana,5000,5750
7,1,147,Intravitreal injections of antibiotics,1000,1150
7,1,148,Intravitreal injections of Ranibizumab excluding cost of drug,3000,3450
7,1,149,X Ray orbit,100,115
7,1,150,CT orbit and brain,1600,1840
7,1,151,MRI- Orbit and brain,3450,3968
7,1,152,Dacryocystography,340,391
7,1,153,Orbital angio-graphical studies,1500,1725
7,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
7,1,155,Small Incision Cataract Surgery (SICS) with IOL,5000,5750
7,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9375,10781
7,1,157,Pars plana lensectomy with/without IOL,10000,11500
7,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6000,6900
7,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),9000,10350
7,1,160,Optic nerve sheathotomy,7500,8625
7,1,161,Iridodialysis repair or papillary reconstruction,4950,5693
7,1,162,Iris cyst removal,750,863
7,1,163,Lid Abscess incision and Drainage,200,230
7,1,164,Orbital Abscess incision and Drainage,2800,3220
7,1,165,Biopsy (eye),300,345
7,1,166,Paracentesis (eye),200,230
7,1,167,Scleral graft for scleral melting or perforation,2500,2875
7,1,168,Amniotic membrane grafting,1100,1265
7,1,169,Cyclodiathermy,2300,2645
8,1,170,Intraocular foreign body removal,187,215
8,1,171,Electrolysis (eye),200,230
8,1,172,Perforating injury repair (eye),4000,4600
8,1,173,Botulinum injection for blepharospasm or squint,2500,2875
8,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
8,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
8,1,174,Flap Operation per quadrant,360,414
8,1,175,Gingivectomy per quadrant,234,269
8,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900,1035
8,1,177,Reduction & immobilization of fracture-Mandible Under LA,1825,2099
8,1,178,Splints/Circummandibular wiring under LA,510,587
8,1,179,Splints/Circummandibular wiring under GA,990,1139
8,1,180,Internal wire fixation/plate fixation of Maxilla under LA,1825,2099
8,1,181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
8,1,182,Internal wire fixation/plate fixation of Mandible under LA,2820,3243
8,1,183,Internal wire fixation/plate fixation of Mandible under GA,4250,4888
8,1,184,Extraction per tooth under LA,80,92
8,1,185,Complicated Extraction per Tooth under LA,100,115
8,1,186,Extraction of impacted tooth under LA,160,184
8,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term,939,1080
8,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281
8,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,406,467
8,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms,1000,1150
8,1,191,TM joint ankylosis- under GA,7500,8625
8,1,192,Biopsy Intraoral-Soft tissue,374,430
9,1,193,Biopsy Intraoral-Bone,374,430
9,1,194,Hemi-mandibulectomy with graft,15920,18308
9,1,195,Hemi-mandibulectomy without graft,11800,13570
9,1,196,Segmental-mandibulectomy with graft,3400,3910
9,1,197,Segmental-mandibulectomy without graft,990,1139
9,1,198,Maxillectomy- Total with graft,2500,2875
9,1,199,Maxillectomy- Total without graft,1950,2243
9,1,200,Maxillectomy- partial with graft,3000,3450
9,1,201,Maxillectomy- partial without graft,2500,2875
9,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
9,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
9,1,204,Pre-prosthetic surgery - ridge augmentation,1200,1380
9,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
9,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
9,1,207,Apicoectomy- Single root,500,575
9,1,208,Apicoectomy-Multiple roots,650,748
9,1,209,Metal Crown-per unit,500,575
9,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
9,1,210,Metal Crown with Acrylic facing per unit,700,805
9,1,211,Complete single denture-metal based,1500,1725
9,1,212,Complete denture- acrylic based per arch,950,1093
9,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
9,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
9,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
9,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
10,1,217,Amalgam restoration-per tooth,200,230
10,1,218,Composite Restoration-per tooth-anterior tooth,250,288
10,1,219,Glass Ionomer filling-per tooth,200,230
10,1,220,Scaling & polishing,300,345
10,1,221,Removable Orthodontics appliance- per Arch,700,805
10,1,222,Fixed Orthodontics-per Arch,1150,1323
10,1,223,Space maintainers-Fixed,500,575
10,1,224,Habit breaking appliances-removable,800,920
10,1,225,Habit breaking appliances-Fixed,1500,1725
10,1,226,Expansion plate,1000,1150
10,1,227,Feeding appliance for cleft palate,1500,1725
10,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3500,4025
10,1,229,Functional orthodontic appliances,3000,3450
10,1,230,Obturator (Maxillo-facial),1500,1725
10,1,231,Occlusal night guard(splint),800,920
10,1,Sr. No.,TREATMENT PROCEDURE ENT,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
10,1,232,Pure Tone Audiogram,172,198
10,1,233,Impedence with stepedeal reflex,230,265
10,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152
10,1,235,Multiple hearing assessment test to Adults,115,132
10,1,236,Speech Discrimination Score,90,104
10,1,237,Speech Assessment,120,138
10,1,238,Speech therapy per session of 30-40 minutes,131,151
10,1,239,Cold Calorie Test for Vestibular function,172,198
10,1,240,Removal of foreign body From Nose,345,397
11,1,241,Removal of foreign body From Ear,230,265
11,1,242,Syringing (Ear),166,191
11,1,243,Polyp removal under LA,575,661
11,1,244,Polyp removal under GA,850,978
11,1,245,Peritonsillar abscess Drainage under LA,1449,1666
11,1,246,Myringoplasty,6900,7935
11,1,247,Staepedectomy,9200,10580
11,1,248,Myringotomy with Grommet insertion,4600,5290
11,1,249,Tympanotomy,8625,9919
11,1,250,Tympanoplasty,13800,15870
11,1,251,Mastoidectomy,14950,17193
11,1,252,Otoplasty,16100,18515
11,1,253,Labyrinthectomy,13800,15870
11,1,254,Skull Base surgery,25000,28750
11,1,255,Facial Nerve Decompression,17250,19838
11,1,256,Septoplasty,5750,6613
11,1,257,Submucous Resection,7314,8411
11,1,258,Septo-rhinoplasty,16100,18515
11,1,259,Rhinoplasty- Non-cosmetic,11500,13225
11,1,260,Fracture Reduction of Nasal Bone,4250,4888
11,1,261,Intra nasal Diathermy,1150,1323
11,1,262,Turbinectomy,5750,6613
11,1,263,Endoscopic Dacryocystorhinostomy (DCR),13000,14950
