source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (JABALPUR),Non- NABH/Non- NABL Rates,NABH/N ABL Rates,column_5
3,1,118,,Exenteration with skin grafting,6210,7142
3,1,119,,Fracture orbital repair,8280,9522
3,1,120,,Retinal laser procedures,1350,1553
3,1,121,,Retinal detachment surgery (RDS),10350,11903
3,1,122,,Retinal detachment surgery (RDS) with scleral buckling,12420,14283
3,1,123,,Buckle removal,1050,1208
3,1,124,,Silicone oil removal,2520,2898
3,1,125,,Anterior retinal cryopexy,1162,1336
3,1,126,,Squint correction for one eye,4500,5175
3,1,127,,Squint correction for both eyes,6750,7763
3,1,128,,Trabeculectomy,6210,7142
3,1,129,,Trabeculotomy,6210,7142
3,1,130,,Trabeculectomy with Trabeculotomy,9315,10712
3,1,131,,Trephination,2070,2381
3,1,Sr. No.,,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (JABALPUR),,
3,1,132,,Goniotomy,345,397
3,1,133,,Glaucoma surgery with Glaucoma valves,6210+valves,7142+va lves
3,1,134,,Cyclocryotherapy,1150,1323
3,1,135,,YAG laser iridotomy,1350,1553
3,1,136,,YAG laser capsulotomy,984,1132
3,1,137,,ALT-Argon laser trabeculoplasty,1346,1548
3,1,138,,PDT-Photodymic therapy,3105,3571
3,1,139,,TTT- Transpupillary thermal therapy,2700,3105
3,1,140,,PTK- Phototherapeutic keratectomy,6750,7763
3,1,141,,Argon/diode laser for retinal detatchment,1035,1190
3,1,142,,Intralase application for keratoconus,5175,5951
3,1,143,,EOG- electro-oculogram,810,932
3,1,144,,ERG- Electro-retinogram,794,913
3,1,145,,VEP- visually evoked potential,800,920
3,1,146,,Vitrectomy- pars plana,10350,11903
3,1,147,Intravitreal injections- of antibiotics,,1150,1323
4,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,3000,3450
4,1,149,X Ray orbit,104,120
4,1,150,CT orbit and brain,1600,1840
4,1,151,MRI- Orbit and brain,3105,3571
4,1,152,Dacryocystography,340,391
4,1,153,Orbital angio-graphical studies,1500,1725
4,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
4,1,155,Small Incision Cataract Surgery (SICS) with IOL,4500,5175
4,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9703,11158
4,1,157,Pars plana lensectomy with/without IOL,10350,11903
4,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6900,7935
4,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500,15525
4,1,160,Optic nerve sheathotomy,7500,8625
4,1,161,Iridodialysis repair or papillary reconstruction,4500,5175
4,1,162,Iris cyst removal,850,978
4,1,163,Lid Abscess incision and Drainage,1530,1760
4,1,164,Orbital Abscess incision and Drainage,3000,3450
4,1,165,Biopsy,460,529
4,1,166,Paracentesis,230,265
4,1,167,Scleral graft for scleral melting or perforation,2800,3220
4,1,168,Amniotic membrane grafting,1100,1265
4,1,169,Cyclodiathermy,2070,2381
4,1,170,Intraocular foreign body removal,187,215
4,1,171,Electrolysis,230,265
4,1,172,Perforating injury repair,4500,5175
4,1,173,Botulinum injection for blepharospasm or squint,2500,2875
4,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (JABALPUR),,
4,1,,TREATMENT PROCEDURE DENTAL,,
4,1,,PROCEDURES,,
4,1,174,Flap Operation per quadrant,360,414
4,1,175,Gingivectomy per quadrant,234,269
4,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900,1035
4,1,177,Reduction & immobilization of fracture- Mandible Under LA,3150,3623
4,1,178,Splints/Circummandibular wiring under LA,510,587
4,1,179,splints/Circummandibular wiring under GA,990,1139
4,1,180,Internal wire fixation/plate fixation of Maxilla under LA,2700,3105
4,1,181,Internal wire fixation/plate fixation of Maxilla under GA,3600,4140
5,1,182,Internal wire fixation/plate fixation of Mandible,3150,3623
5,1,183,Internal wire fixation/plate fixation of Mandible,3825,4399
5,1,184,Extraction per tooth under LA,80,92
5,1,185,Complicated Extraction per Tooth under LA,100,115
5,1,186,Extraction of impacted tooth under LA,160,184
5,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,845,972
5,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281
5,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,406,467
5,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,1000,1150
5,1,191,TM joint ankylosis- under GA,6750,7763
5,1,192,Biopsy Intraoral-Soft tissue,374,430
5,1,193,Biopsy Intraoral-Bone,374,430
5,1,194,Hemi-mandibulectomy with graft,18900,21735
5,1,195,Hemi-mandibulectomy without graft,18900,21735
5,1,196,Segmental-mandibulectomy with graft,3060,3519
5,1,197,Segmental-mandibulectomy without graft,990,1139
5,1,198,Maxillectomy- Total with graft,2500,2875
5,1,199,Maxillectomy- Total without graft,1950,2243
5,1,200,Maxillectomy- partial with graft,3000,3450
5,1,201,Maxillectomy- partial without graft,2500,2875
5,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
5,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
5,1,204,Pre-prosthetic surgery - ridge augmentation,1080,1242
5,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
5,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),650,748
5,1,207,Apicoectomy- Single root,500,575
5,1,208,Apicoectomy-Multiple roots,585,673
5,1,209,Metal Crown-per unit,500,575
5,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),,
5,1,210,Metal Crown with Acrylic facing per unit,630,725
5,1,211,Complete single denture-metal based,1500,1725
5,1,212,Complete denture- acrylic based per arch,950,1093
5,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
6,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
6,1,215,Removable partial denture-Acrylic based-upto 3 teeth,450,518
6,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
6,1,217,Amalgam restoration-per tooth,200,230
6,1,218,Composite Restoration-per tooth-anterior tooth,225,259
6,1,219,Glass Ionomer filling-per tooth,180,207
6,1,220,Scaling & polishing,270,311
6,1,221,Removable Orthodontics appliance- per Arch,650,748
6,1,222,Fixed Orthodontics-per Arch,1150,1323
6,1,223,Space maintainers-Fixed,500,575
6,1,224,Habit breaking appliances-removable,720,828
6,1,225,Habit breaking appliances-Fixed,1350,1553
6,1,226,Expansion plate,900,1035
6,1,227,Feeding appliance for cleft palate,1350,1553
6,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3150,3623
6,1,229,Functional orthodontic appliances,2700,3105
6,1,230,Obturator (Maxillo-facial),1350,1553
6,1,231,Occlusal night guard(splint),720,828
6,1,,TREATMENT PROCEDURE ENT,,
6,1,232,Pure Tone Audiogram,172,198
6,1,233,Impedence with stepedeal reflex,220,253
6,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152
6,1,235,Multiple hearing assessment test to Adults,115,132
6,1,236,Speech Discrimination Score,90,104
6,1,237,Speech Assessment,120,138
6,1,238,Speech therapy per session of 30-40 minutes,130,150
6,1,239,Cold Calorie Test for Vestibular function,155,178
6,1,240,Removal of foreign body From Nose,311,358
6,1,241,Removal of foreign body From Ear,230,265
6,1,242,Syringing (Ear),156,179
6,1,243,Polyp removal under LA,550,633
6,1,244,Polyp removal under GA,780,897
6,1,245,Peritonsillar abscess Drainage under LA,1304,1500
6,1,246,Myringoplasty,6210,7142
6,1,247,Staepedectomy,9000,10350
6,1,248,Myringotomy with Grommet insertion,4140,4761
6,1,249,Tympanotomy,7763,8927
6,1,250,Tympanoplasty,12420,14283
6,1,251,Mastoidectomy,13455,15473
6,1,252,Otoplasty,14490,16664
6,1,253,Labyrinthectomy,12420,14283
6,1,254,Skull Base surgery,22500,25875
6,1,255,Facial Nerve Decompression,15525,17854
7,1,256,Septoplasty,5750,6613
7,1,257,Submucous Resection,6583,7570
7,1,258,Septo-rhinoplasty,14490,16664
7,1,259,Rhinoplasty- Non-cosmetic,10350,11903
7,1,260,Fracture Reduction of Nasal Bone,4250,4888
7,1,261,Intra nasal Diathermy,1150,1323
7,1,262,Turbinectomy,5175,5951
7,1,263,Endoscopic Dacryocystorhinostomy (DCR),11700,13455
7,1,264,Endoscopic Surgery,12420,14283
7,1,265,Septal Perforation Repair,12420,14283
7,1,266,Antrum Puncture,950,1093
7,1,267,Lateral Rhinotomy,1000,1150
7,1,268,Cranio-facial resection,22950,26393
7,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),9563,10997
7,1,270,Angiofibroma Excision,15300,17595
7,1,271,Endoscopic Hypophysectomy,20800,23920
7,1,272,Endoscopic Optic Nerve Decompression,29498,33923
7,1,273,Decompression of Orbit,22950,26393
7,1,274,Punch/Wedge biopsy,674,775
7,1,275,Tonsillectomy,4500,5175
7,1,276,Uvulo-palatoplasty,13500,15525
7,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
7,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
7,1,279,Polyp removal ear,673,774
7,1,280,Polyp removal Nose(Septal polyp),673,774
7,1,281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)""",2415,2777
7,1,282,Endolymphatic sac decompression,2875,3306
7,1,283,Diagnostic endoscopy under GA,2070,2381
7,1,284,Young's operation for Atrophic rhinitis,6210,7142
7,1,285,Vidian neurectomy for vasomotor Rhinitis,9315,10712
