source_page,extracted_table_index,S No,TREATMENT PROCEDURE and Investigations in CARDIOLOGY,CGHS package rates for NABH Hospitals,CGHS package rates for Non- NABH Hospitals
5,1,1,Balloon coronary angioplasty/PTCA,"92,000","78,200"
5,1,2,Balloon coronary angioplasty/PTCA without Vascular Closure Device,"83,725","71,150"
5,1,3,Rotablation,"56,206","47,775"
5,1,4,Balloon Mitral Valvotomy / Percutaneous transvenous mitral commissurotomy (PTMC) -,"90,700","77,000"
5,1,5,Cardiac Catheterization (CATH),"13,545","11,510"
5,1,6,Coaractation dilatation,"71,600","60,860"
5,1,7,Temporary Pacemaker Implantation (TPI) (Temporary Cardiac Pacing) Single Chamber,"19,200","16,320"
5,1,8,Permanent pacemaker implantation (PPI)- Single chamber,"32,000","27,200"
6,1,9,Permanent pacemaker implantation- Dual Chamber,"43,000","36,550"
6,1,10,Permanent pacemaker implantation (PPI)- Biventricular,"49,625","42,180"
6,1,11,Automatic implantable Cardioverter defibrillator AICD Single chamber,"50,000","42,500"
6,1,12,Automatic implantable Cardioverter defibrillator AICD - Dual Chamber,"52,350",44500
6,1,13,Combo device implantation,"59,000","50,150"
6,1,14,Diagnostic Electrophysiological studies conventional( including catheter),"66,000","56,100"
6,1,15,Ambulatory BP monitoring,"1,000","1,000"
6,1,16,External Loop/event recording ( maximum up to 7 days),"1,500 first day and 1,000 for subsequent days","1,500 first day and 1,000 for subsequent days"
6,1,17,Radiofrequency (RF) ablation conventional,"96,000","81,600"
6,1,18,Radiofrequency (RF) ablation Atrial Tachycardia/with 3-D mapping – all inclusive,"1,81,000","1,53,850"
6,1,19,Endomyocardial biopsy,Deleted,Deleted
6,1,20,Intra-aortic balloon pump (IABP) including Cost of Balloon,"50,000","42,500"
6,1,21,Intravascular coils,"75,000","63,750"
6,1,22,Septostomy- Balloon,"30,000","25,500"
6,1,23,Aortic valve balloon dilatation (AVBD) / Pulmonary valve Balloon Dilatation(PVBD),"56,400","47,940"
6,1,24,Digital subtraction angiography-Peripheral artery,"14,610","12,400"
6,1,25,Digital subtraction angiography- venogram,"14,610","12,400"
7,1,26,Peripheral Angioplasty,"55,500",,"46,750"
7,1,27,Renal Angioplasty,"55,000",,"46,750"
7,1,28,Intravascular ultrasound (IVUS) –,"50,000",,"50,000"
7,1,29,Holter analysis,"2,500",,"2,125"
7,1,30,Inferior Vena Cava (IVC) filter implantation (Cost of Filter extra),"30,000",,"25,500"
7,1,31,ASD/VSD/PDA device closure,"ASD 98,900 VSD 1,09,900 PDA – 55,000",,"ASD 84,065 VSD 93,415 PDA 46,750"
7,1,32,Head--up tilt test (HUTT),"4,000",,"3,400"
7,1,33,Stress Myocardial Perfusion Imaging(MPI)-exercise,9000,,"7,650"
7,1,34,Stress Myocardial Perfusion Imaging (MPI) – pharmacological,9000,,"7,650"
7,1,35,Coronary angiography,13225,,"11,240"
7,1,36,Pericardiocentesis,"10,000",,"8,,500"
7,1,37,Intracoronary optical coherence tomography (OCT) / Intravascular optical coherence tomography (IVOCT) /Intravascular Ventricular Assist System,"65,000",,"65,000"
7,1,38,Fractional Flow Reserve (FFR) inclusive of cost of wire,"Rs.30,000",,"30,000"
7,1,New Procedures included,,,,
7,1,1,TAVI/TAVR Implant,,"12,84,000","12,84,000"
7,1,,TAVI/TAVR Procedure cost,,"1,00,000","85,000"
7,1,2,IVL (Coronary Intra Vascular Lithotripsy / Short wave Lithotripsy) – including GST,,"2,68,000","2,68,000"
8,1,FDG Whole body PET/CT Scan,"11,500","10,000"
8,1,Brain/Heart FDG PET/CT Scan,,
8,1,Gallium-68 Peptide PET/CT imaging for Neuroendocrine tumor,,
